phone_number,grade9swdfilledflag12,grade9gefilledflag5,appperseat5specialized,interest12,academicopportunities2,method5,boys,seats9swd3,requirement_3_1,international,grade9geapplicants9,admissionspriority212,seats105,eligibility6,admissionspriority19,program5,admissionspriority24,offer_rate3_5,admissionspriority27,requirement_3_8,seats9swd7,psal_sports_girls,requirement_3_2,common_audition3,common_audition5,grade9geapplicants8,grade9gefilledflag8,ell_programs,offer_rate1_4,requirement_4_2,grade9swdapplicantsperseat2,pct_stu_safe,requirement_4_1,admissionspriority110,interest1,requirement_3_5,grade9geapplicantsperseat8,admissionspriority26,bus,appperseat6specialized,prgdesc11,grade9gefilledflag6,offer_rate3_2,diadetails,prgdesc2,fax_number,admissionspriority17,common_audition8,appperseat4specialized,grade9swdfilledflag4,code5,grade9geapplicants6,offer_rate3_4,method6,seats9swd12,requirement_3_9,grade9swdapplicants1,program1,grade9geapplicants3
718-333-7750,,,,,"Art and Film Production courses including cinematography, storyboarding art, video editing, script writing, voice over",,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,,,,,,,,0.76999998,,,Visual Art & Design,,,,"B1, B3, B4, B6, B64, B82, X28, X38",,,,,,,718-333-7775,,,,,,,,,,,96,Life Academy High School for Film and Music,
212-458-0800,,,,,All 9th graders take a year-long field class called Introduction to New York Harbor in which they experience all CTE programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88999999,,,Science & Math,,,,"M15, M20, BM1, BM2, BM3, BM4, X12, X14, X17, X17A, X19, X3, X31, X42, X5, X8, X9",,,,,Priority to applicants eligible for free or reduced price lunch for 69% of seats,,212-458-0801,,,,,,,,,,,165,Marine Science and Technology,
212-865-9260,,,,,"We offer the following advanced Science & Math courses: Physics, Chemistry, Forensic Science, Anatomy & Physiology, Calculus, Pre-Calculus",,,,,,,,,,,,,,,,,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,,,,,,,,0.81,,,Science & Math,,,,"M1, M10, M102, M11, M116, M2, M3, M4, M7",,,,,,,212-865-9281,,,,,,,,,,,111,The Douglass STEM Institute,
718-657-3181,,,,,"Students have the opportunity to enter science, mathematics, and technology competitions at the city, state, and national levels",,,,,,,,,,,,,,,,,Bowling,,,,,,,,,,0.92000002,,,Science & Math,,,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q60, Q65, Q76, Q8, Q83, Q84, Q85, Q9, X64",,,,,,,718-657-2579,,,,,,,,,,,,Queens High School for the Sciences at York College,
718-946-6812,,,,,"Diploma Plus, CUNY, Urban Neighborhood Services, C.I. Coalition Against Violence, I Love My Life Initiative, NYPD, Operation H.O.O.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.89999998,,,Humanities & Interdisciplinary,,,,"B36, B64, B68, B74, B82, X28, X38",,,,,,,718-946-6825,,,,,,,,,,,6,Liberation Diploma Plus High School,
212-757-2680,,,,,"Our lead partner, Facing History, supports engaging, real-world curriculum, opportunities for internships, leadership, and community involvement.",,,,,,,,,,,,,,,,,"Basketball, Volleyball",,,,,,,,,,0.88,,,Humanities & Interdisciplinary,,,,"M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",,,,,,,212-757-2156,,,,,,,,,,,147,The Facing History School,
718-221-1097,,,,,"PLTW courses in Engineering & Biomedical Engineering, Coding, Video Game Design, Advanced Placement Courses.",,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,,,,,,,,0.87,,,Humanities & Interdisciplinary,,,,"B12, B17, B43, B44, B44-SBS, B49",,,,,,,718-221-1794,,,,,,,,,,,247,"Humanities, Arts & STEM",
718-922-1145,,,,,"Blended instruction, online courses, emphasis on math",,,,,,,,,,,,,,,,,"Basketball, Outdoor Track",,,,,,,,,,0.87,,,Humanities & Interdisciplinary,,,,"B12, B14, B25, B47, B60, B7",,,,,,,718-922-2347,,,,,,,,,,,130,Brooklyn Collegiate Preparatory HS: A College Board School,
718-969-5510,,,,,"CUNY College Now at Queens College Campus, University in the High School-Farmingdale State College, University in the High School-Albany (SUNY)",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.83999997,,,Humanities & Interdisciplinary,,,,"Q20A, Q20B, Q25, Q34, Q44-SBS, Q46, Q64, Q65, QM1, QM31, QM35, QM36, QM4, QM44, QM5, QM6, QM7, QM8",,,,,,,718-969-5524,,,,,,,,,,,119,College Head-Start,
718-727-6201,,,,,CUNY CSI STEP; Eagle Up enrichment opportunities,,1.0,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",,,,,,,,,,0.83999997,,,Humanities & Interdisciplinary,,,,"S51, S52, S74, S76, S78, S84, S86",,,,,,,718-727-6207,,,,,,,,,,,39,The Eagle Academy for Young Men of Staten Island,
718-875-1473,,,,,Paid Internships with Industry Partners,,,,,,,,,,,,,,,,,"Basketball, Handball, Softball, Volleyball",,,,,,,,,,0.77999997,,,Engineering,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",,,,,,,718-875-1947,,,,,,,,,,,254,"City Polytechnic High School of Engineering, Architecture and Technology",
718-561-0113,,,,,"Mentoring, Internships, Student Fieldwork, Federal Reserve Challenge, Moot Court, Mock Trial, Model UN",,,,,,,,,,,,,,,,,"Basketball, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.80000001,,,Law & Government,,,,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100",,,,,,,718-561-0595,,,,,,,,,,,90,Bronx School of Law and Finance,
718-815-0186,,,,,"Unique, flexible, individualized programming encourages independence and builds organizational, time management and college readiness skills",,,,,,,,,,,,,,,,,"Basketball, Bowling, Golf, Lacrosse, Soccer, Softball, Swimming, Volleyball",,,,,,,,,,0.77999997,,,Humanities & Interdisciplinary,,,,"S53, S66, S78, S93, X14",,,,,,,718-815-9638,,,,,,,,,,,126,Comprehensive Academic,
212-475-4148,,,,,"Design Courses in Fashion and Textile Design, Graphic Design, Entrepreneurship, and Art Portfolio",,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,,,,0.88999999,,,Visual Art & Design,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,,,,,,212-674-2128,,,,,,,,,,,320,New Design High School,
718-978-1837,,,,,"College Now (CUNY) with York College or Queens College, which offers free credit-bearing courses including Biology, Sociology, Computer Science, Psychology, Math and STEM courses.",,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.81,,,Computer Science & Technology; Performing Arts/Visual Art & Design,,,,"Q27, Q4, Q77, Q83, X64",,,,,,,718-978-2063,,,,,,,,,,,42,"Science, Technology, Engineering, Arts and Mathematics (S.T.E.A.M.)",
718-991-4634,,,,,Student Work Place Learning,,,,,,,,,,,,,,,,,"Badminton, Basketball, Soccer, Softball",,,,,,,,,,0.73000002,,,Humanities & Interdisciplinary,,,,"Bx11, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6, Bx6-SBS",,,,,,,718-542-7294,,,,,,,,,,,43,The Metropolitan High School,
718-543-1000,,N,,,"Macy Honors Early College Program offers a Liberal Arts college experience, where students take Honors & Advanced Placement courses, Syracuse University Project Advance courses, PLTW Computer Science, Biomedical or Engineering courses",Ed. Opt.,,24,,,,,1.0,,,Clinton School of Visual Arts,Then to New York City residents,,Then to New York City residents,,N/A - new program,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,,,94% of offers went to this group,,1,0.75999999,,,Science & Math,,,Then to New York City residents,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx3, Bx30, Bx38, BxM3, BxM4",,,,,,"This program is for students who have been in the country for less than three years and are English Language Learners. The curriculum is designed to develop the students' conversational language and writing skills using ESL strategies. After completing one full year of ELA instruction in the Newcomers'-Global Community, students will transition into one of our Pathway Majors.",718-548-0036,Priority to Bronx students or residents,,,Y,X10L,N/A - new program,,Ed. Opt.,,,71,Clinton School of Health Professions,411
718-232-2500,,Y,,,"Academic Honors Academy, Honors & Advanced Placement (AP) courses for eligible students, Trailblazers College Enrichment Program, CUNY College Now",Screened,,7,,,,,0.0,,,Honors Academy,,,,,,"Badminton, Basketball, Bowling, Flag Football, Handball, Soccer, Softball, Swimming, Tennis, Volleyball",,,,N/A - zoned program,N/A - zoned program,"Transitional Bilingual Education: Arabic, Chinese, Spanish",,,22,0.80000001,,,Health Professions,2019-20 Marking Period Grades - 40%,N/A - zoned program,,"B1, B4, B64, B8, X28, X38",,,Y,,,"Introduction to Legal Studies, Constitutional Law, Criminal Justice, Criminology, Public Speaking & Debate, Moot Court/Mock Trial, Legal Writing, and Senior Internship.",718-259-5526,,,,Y,K28H,1302,,Ed. Opt.,,,195,Medical Professions & Health Careers,534
718-625-6130,,N,,,Opportunities for students to take College Now courses beginning in the 10th grade,Ed. Opt.,,9,,,,,1.0,,,Computer Systems Support,,,,,,"Basketball, Handball, Softball, Volleyball",,,,,,,,,11,0.79000002,,,Computer Science & Technology; Science & Math,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",,,,,,"Students learn all aspects of the culinary industry, including various food preparation techniques, safety, and sanitation. All students must take the NYC Department of Health Food Handler's course/exam and the NOCTI performance and written assessment. Careers through Culinary Arts Program (C-CAP) partners with our school and provides various career and scholarship opportunities. Students are expected to participate in work-based learning activities including job shadowing and internships.",718-596-9434,,,,Y,K70I,,,D75 Special Education Inclusive Services,,,92,Computer Science,142
718-332-5000,,N,,,"CTE program(s): A+ Computer Repair (NYSED-Approved), Automotive Technician (NYSED-Approved), Construction Technology (NYSED-Approved), Culinary Arts (NYSED-Approved), Nursing Assistant (NYSED-Approved)",Ed. Opt.,,9,,,,,1.0,,,Construction Technology Academy,,,,,,"Basketball, Bowling, Softball, Volleyball",,,,,,,,,7,0.80000001,,,Culinary Arts,,,,"B1, B36, B4, B68, BM3",,,,,,"State certified program in A+ Computer Repair and Networking. Students learn computer maintenance, operating systems, and troubleshooting. Internships available for eligible students. All students take the IC3 and A+ exams for certification. Students are prepared for college and industry positions.",718-332-2544,,,,Y,K67R,,,D75 Special Education Inclusive Services,,,102,Culinary Arts,199
718-698-4200,,Y,,,"Learning Centers continued: Institute for Law and Politics, Theatrical Arts, Music, Digital Media, Air Force JROTC, Vocational Prep, Career Exploration",Audition,,8,2019-20 Marking Period Grades - 20%,,,,0.0,,,Music,Then to New York City residents,,Then to New York City residents,,12,"Badminton, Basketball, Bowling, Cross Country, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,1.0,232,Y,,100% of offers went to this group,,11,0.82999998,,Guaranteed offer to students who live in the zoned area,Business,,12,Then to New York City residents,"S54, S57, S61",,,Y,,,"This program aims to educate and train high school cadets in citizenship, promote community service, instill responsibility, character, and self-discipline, and provide instruction in air and space fundamentals, leadership, and wellness. The program is grounded in the Air Force core values of integrity first, service before self, and excellence in all we do.",718-698-5213,Priority to Staten Island students or residents,1.0,,Y,R17G,477,,Audition,,,106,Academy of Finance,830
718-570-8230,,,,,Poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,Humanities & Interdisciplinary,,,,"Q10, Q24, Q37, Q41, Q55, Q56, Q8, QM18",,,,,,,718-570-8231,,,,,,,,,,,132,Interdisciplinary,
212-289-7593,,,,,Classes use collaborative engagement with intellectually rigorous and interesting content to prepare students to be successful on standardized exams.,,,,2019-20 Marking Period Grades - 33%,,,,,,,,,,,,,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,,,,,,,,0.89999998,,,Science & Math,,,,"BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M98",,,,,,,212-289-7728,,,,,,,,,,,90,Young Women's Leadership School,
718-272-1926,,,,,"Advanced Placement (AP) Courses in English Language, US History, and Computer Science Principles",,,,,,,,,,,,,,,,,"Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball, Wrestling",,,,,,,,,,0.93000001,,,,,,,,,,,,,,718-272-5713,,,,,,,,,,,,Olympus Academy,
