alphabetic_name_long,city,census_tract,se_services,end_time,advanced_placement_courses,school_sports,ninth_priority09,nta,:@computed_region_f5dn_yrer,last_year_bus
Bronx Bridges High School,Bronx,16.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, Calculus AB, French Language, French Literature, Government and Politics: United States, Spanish Language, Spanish Literature, World History","Baseball, Soccer; all PSAL sports listed above are offered through the Adlai E. Stevenson Educational Campus",,Soundview-Castle Hill-Clason Point-Harding Park                            ,58,
Gotham Professional Arts Academy,Brooklyn,379.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,,,,Stuyvesant Heights                                                         ,69,
Maspeth High School,Elmhurst,49302.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Chemistry, World History","Baseball, Basketball, Bowling, Crew, Golf, Soccer, Swimming, Tennis, Track & Field, Volleyball, Wrestling",,Maspeth                                                                    ,54,
Clara Barton High School,Brooklyn,213.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,"Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, European History, United States History, World History",,,Crown Heights South                                                        ,17,
Manhattan Academy for Arts & Language,New York,72.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:40 PM,,,,Murray Hill-Kips Bay                                                       ,11,
"Young Women's Leadership School, Queens, The#",Jamaica,236.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:30 PM,"Biology, Calculus AB, English Literature and Composition, Spanish Literature",,,Briarwood-Jamaica Hills                                                    ,25,
Queens Preparatory Academy,Springfield Gardens,330.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:57 PM,"Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition",QPA Fit For Life Intramural Program,,Springfield Gardens North                                                  ,41,
Crotona International High School,Bronx,393.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:15 PM,,Soccer,,Belmont                                                                    ,35,
Humanities Preparatory Academy,New York,89.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,,Table Tennis (Ping-Pong),,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12,
Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,211.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Art History, English Literature and Composition, Environmental Science, Spanish Language, Studio Art: Drawing",,,Fort Greene                                                                ,68,
International High School at Lafayette,Brooklyn,306.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:00 PM,,"Basketball, Volleyball, Weightlifting",,Gravesend                                                                  ,21,
Bronx Theatre High School,Bronx,309.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, Calculus AB, English Literature and Composition, Spanish Literature, United States History",Students have the opportunity to participate in after-school PSAL activities through the John F. Kennedy Educational Campus,,Marble Hill-Inwood                                                         ,48,
Manhattan Village Academy,New York,58.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:20 PM,"Calculus AB, English Literature and Composition, Environmental Science, United States History",,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11,
Baccalaureate School for Global Education,Astoria,55.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,,Varies yearly based on student interest,,Queensbridge-Ravenswood-Long Island City                                   ,39,
Channel View School for Research,Rockaway Park,94201.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"English Language and Composition, United States History","Basketball, New York City Road Runners Track Club",,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,51,
Central Park East High School,New York,17401.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Calculus AB, Economics: Micro, English Language and Composition, English Literature and Composition, United States History","Cheerleading Squad, Intramural Soccer, Weightlifting",,East Harlem South                                                          ,7,
Cultural Academy for the Arts and Sciences,Brooklyn,936.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Calculus AB, Chemistry, Psychology",Our school offers male and female Ultimate Athlete and Fitness classes. We also have campus intramural tournaments. All PSAL sports teams are campus-wide.,,Rugby-Remsen Village                                                       ,61,
York Early College Academy,Jamaica,258.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,,Girls Step Team,,South Jamaica                                                              ,41,
John Dewey High School,Brooklyn,308.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:05 PM,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Economics: Macro, Economics: Micro, English Language and Composition, English Literature and Composition, European History, Government and Politics: United States, Physics B, Psychology, Spanish Language, Statistics, United States History, World History","We also offer a variety of after-school sports such as Intramural Soccer, Flag Football, Volleyball, Basketball and Badminton, Boys and Girls Basketball",,Gravesend                                                                  ,21,
John Adams High School,Ozone Park,864.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,"Biology, Calculus AB, Calculus BC, Chemistry, English Literature and Composition, Environmental Science, Spanish Language, United States History, World History","Cheerleading, Intramural Sports",,South Ozone Park                                                           ,62,
High School for Law and Public Service,New York,277.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Environmental Science, Government and Politics: Comparative, Government and Politics: United States, Psychology, Spanish Language, Spanish Literature, United States History, World History",,,Washington Heights North                                                   ,47,
Antonia Pantoja Preparatory Academy: A College Board School,Bronx,16.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,,"Baseball, Basketball, Capoeira, Rugby, Soccer, Tennis, Volleyball",,Soundview-Castle Hill-Clason Point-Harding Park                            ,58,
Life Academy High School for Film and Music,Brooklyn,306.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,,,,Gravesend                                                                  ,21,
Kingsbridge International High School,Bronx,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,English Language and Composition,Our school participates in the Walton Educational Campus PSAL Program,,Van Cortlandt Village                                                      ,24,
High School of Hospitality Management,New York,135.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"English Literature and Composition, United States History","Intramural Basketball, Flag Football",,Clinton                                                                    ,12,
Rachel Carson High School for Coastal Studies,Brooklyn,354.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"English Language and Composition, English Literature and Composition, Government and Politics: United States, Psychology",Our school athletes join students from William E. Grady Career and Technical Education High School to compete in the PSAL program; Intramural Sports program,,West Brighton                                                              ,21,
Park East High School,New York,170.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Calculus AB, English Language and Composition, English Literature and Composition, Environmental Science, United States History, World History","Basketball, Cheerleading, Mixed Martial Arts, Soccer, Swimming, Volleyball",,East Harlem South                                                          ,7,
Discovery High School,Bronx,409.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, English Language and Composition, Environmental Science, United States History",Our students are eligible to participate in the Public Schools Athletic League Program (PSAL) on the Walton Educational Campus,,Van Cortlandt Village                                                      ,24,
New Utrecht High School,Brooklyn,182.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Economics: Macro, Economics: Micro, English Language and Composition, Human Geography, Physics B, United States History, World History",,,Bensonhurst West                                                           ,1,
Hign School for Energy and Technology,Bronx,393.0,This school will provide students with disabilities the supports and services indicated on their IEPs,3:45 PM,,"Boys: Baseball, Basketball, Bowling; Girls: Basketball, Bowling, Softball, Volleyball",,Belmont                                                                    ,35,
Hudson High School of Learning Technologies,New York,89.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 AM,,"A range of PSAL, Varsity and Junior Varsity, sports teams through collaboration with the schools located on the Humanities Campus",,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12,
High School of Telecommunication Arts and Technology,Brooklyn,70.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, Calculus AB, Chemistry, English Language and Composition, Physics B, Spanish Language, Statistics, United States History, World History",,,Bay Ridge                                                                  ,10,
"Queens High School for Information, Research and Technology",Far Rockaway,100802.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,English Literature and Composition,Campus-wide sports,,Far Rockaway-Bayswater                                                     ,51,
University Heights Secondary School,Bronx,71.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, English Language and Composition, United States History","Intramural Basketball, Flag Football, Track",,Melrose South-Mott Haven North                                             ,49,
All City Leadership Secondary School,Brooklyn,433.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:30 PM,"Calculus AB, English Literature and Composition, Physics B, Spanish Language, Statistics, United States History",,,Bushwick North                                                             ,42,
"Cinema School, The",Bronx,56.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:45 PM,"Biology, Calculus AB, Economics: Macro, English Language and Composition, Government and Politics: United States, United States History","All students are eligible to participate in the James Monroe High School Campus sports teams. School-based sports in our Physical Education and/or after-school curriculum have included Archery, Basketball, Capoeira, Open Gym, Volleyball",,West Farms-Bronx River                                                     ,58,
Ralph R. McKee Career and Technical Education High School,Staten Island,9.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:00 PM,"Biology, English Language and Composition","Adaptive Physical Education, Cheerleading",,West New Brighton-New Brighton-St. George                                  ,4,
Frederick Douglass Academy IV Secondary School,Brooklyn,291.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:50 PM,"English Language and Composition, United States History",Basketball Team,,Stuyvesant Heights                                                         ,69,
Bronx High School for the Visual Arts,Bronx,228.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,"English Literature and Composition, Environmental Science, United States History",Intramural Seasonal Athletic Program; students participate in the Christopher Columbus PSAL Sports Teams,,Pelham Parkway                                                             ,59,
Bronxdale High School,Bronx,324.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:55 PM,"Biology, English Language and Composition, United States History",,,Bronxdale                                                                  ,59,
Urban Assembly School for Careers in Sports,Bronx,61.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:30 PM,,Annual Campus Olympics,,East Concourse-Concourse Village                                           ,50,
Academy of Medical Technology: A College Board School,Far Rockaway,100802.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,,,,Far Rockaway-Bayswater                                                     ,51,
Landmark High School,New York,89.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:20 PM,,"Co-ed Intramural Softball, Flag Football",,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12,
Gaynor McCown Expeditionary Learning School,Staten Island,27702.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:20 PM,"Biology, Calculus AB, English Literature and Composition, Government and Politics: United States, Physics B, United States History","Basketball, Volleyball",,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,30,
Frank Sinatra School of the Arts High School,Astoria,57.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,3:15 PM,"Biology, Calculus AB, English Language and Composition, Spanish Language, United States History",,,Astoria                                                                    ,39,
Young Women's Leadership School of Brooklyn,Brooklyn,485.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,2:45 PM,,"Basketball, Soccer, Tennis; as we expand we plan to offer additional sports",,Bushwick South                                                             ,36,
Urban Assembly New York Harbor School,New York,9.0,This school will provide students with disabilities the supports and services indicated on their IEPs.,4:00 PM,"Calculus AB, English Literature and Composition, Environmental Science","Fishing, Rowing, Sailing, Swimming",,Battery Park City-Lower Manhattan                                          ,56,1.0
