bn,school_accessibility_description,school_phone_number,program_highlights,progcount,grade_span_2014_2015_max,boro,grade_span_2014_2015_min,school_type2,communitydistrictnumber,header01,fourth_priority04,campus_name,bbl,longitude,neighborhood,psal_sports_boys,postalcode,overview_paragraph,borough,extra_leadership_support
K071,Functionally Accessible,718-302-7900,"4-year sequence of talent courses culminating in an Arts Endorsed Diploma opportunity, Advanced Placement courses, college readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, blended/online learning for credit through APEX/AVENTA, mentoring with working professionals through iMentor, art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, technology courses",4,12,K,6.0,,301,2013 Audition Dates,,,3022270001.0,-73.9532557,Williamsburg,"Baseball, Basketball",11206,"Juan Morel Campos Secondary School offers students a unique learning model focused on both the arts and college readiness. Every student at Campos is enrolled in a talent class (band, chorus, dance, or visual arts) on a daily basis. Partnerships with major community arts organizations and the College Bound Initiative (CBI) ensure that student experiences are grounded in a real-life application of learning. In addition to mastering the talent of their choice, an in-house CBI counselor ensures that students are prepared for college acceptance and enrollment upon graduation. Furthermore, our medium size, flexible instructional model, and commitment to team teaching ensure that all students get the attention and services they deserve as they prepare for college, artistic, and career experiences after graduation. Furthermore, our medium size, flexible instructional model, and commitment to team teaching ensure that all students get the attention and services they deserve as they prepare for college, artistic, and career experiences after graduation.",BROOKLYN ,"Extended Learning Time instruction and tutoring, Student Government, National Honor Society, Archon Society, PSAT/SAT preparatory courses, MOUSE Squad, evening performances, gallery openings, evening and Saturday academies for English Language Learners, Yearbook, Sports, Fitness, School Newspaper, Robotics, History Club, Chess"
Q896,Not Accessible,718-725-0402,"CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",1,12,Q,6.0,All-Girls School,408,,Then to New York City residents,,4097070048.0,-73.804153,Briarwood,,11432,"The Young Women's Leadership Schools (TYWLS) were established to nurture the intellectual curiosity and creativity of young women by supporting the “whole girl” in order to maximize academic achievement, social emotional well-being, and postsecondary success. TYWLS, Queens is supported by Young Women's Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Queens opened in 2005 as the third school in the network. TYWLS, Queens strives to instill in students a sense of selfefficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.",QUEENS   ,"Advisory, Community Service Projects, Extended Day, National Junior Honor Society, Saturday Tutoring, Student Ambassadors, Student Government"
Q520,Functionally Accessible,718-392-3330,"The focus in grades 9 and 10 (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the 10th grade students become eligible to apply for college courses. During their senior year, students can apply to remain a 5th year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students are required to enroll in college classes. All students who are enrolled in college classes receive extra support through daily seminar classes.",1,12,Q,9.0,,402,,,Middle College Campus,4002490001.0,-73.9336253,Sunnyside,"Baseball, Basketball, Golf, Soccer, Volleyball, Wrestling",11101,Our mission is to offer students opportunities to achieve success by providing a small personalized environment on a college campus. We provide concrete experiences which will help students connect to the next stages of their academic and social lives as well as their careers. They have open access to the campus of LaGuardia Community College and may enroll in college classes as part of their high school instructional program.,QUEENS   ,"Conflict Resolution, Early College Program, Middle College National Consortium, National Honor Society, Peer Counseling, Yearbook, Senior Council Committee, Beginner Guitar, Chess Club, Community Service Project, Digital Storytelling, Robotics Club"
X565,Not Accessible,718-733-3080,"CTE Program Sequences in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-based Learning, Work-based Internship Opportunities, College Trips, College Prep Counseling, Career Counseling. As we expand, we plan to offer Online AP courses in Calculus AB, Calculus BC, World History, United States History, Environmental Science, and English Literature",1,11,X,9.0,CTE School,206,,Then to New York City residents,Grace Dodge Educational Campus,2031040007.0,-73.8824885,Belmont,"Baseball, Basketball, Bowling",10458,The High School for Energy and Technology is committed to fostering a safe and nurturing culture of learning in a practical program that prepares students for professional careers in engineering and building technology. Students are known and supported as they move through our college and career preparatory sequence. We balance our challenging academic program with hands-on project-based learning. Our graduates have both college and career options based on the values of sustainability. We offer local and national partnerships that provide students with the tools they need to succeed in the engineering and technical fields.,BRONX    ,"After-school Tutoring, Art, Music, Peer Mediation/Conflict Resolution, Regents Prep, Environmental Club, Acting Club, Photography Club, Student Senate."
X508,Functionally Accessible,718-944-3655,"Advisory, Pre-College and Career Planning, Read 180, AP's Springboard, Great Books, Technology in every classroom, Arts, Culinary Arts, College Visits, Artist-in-Residence for Drama, Inquiry-Based Learning, Partnership with the Institute for Student Achievement",1,12,X,9.0,,211,,Then to New York City residents,Christopher Columbus Educational Campus,2043580001.0,-73.8607428,Bronxdale,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Football & JV Football, Golf, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",10469,"Bronxdale High School is dedicated to fostering a realistic, relevant and hands-on educational experience for all students. As an inquiry-based school, we use collaborative approaches that benefit students by teaching them skills they'll need beyond high school, such as the ability to work in teams, to solve multi-faceted problems, and apply what they learn in various settings. In order for our inquiry-based approach to be successful, our class sizes are smaller, with approximately twenty-two students per academic course, and our class times are longer; core courses are ninety minutes long on alternating days. We have planned an extended school day to provide structured time, individual attention, and other supports students may need to succeed. Bronxdale follows a Distributed Counseling model through which students learn to develop relationships and build community, leading to overall student success. Each student is assigned an advisor and becomes part of an Advisory group. Bronxdale High School will help each child develop the critical thinking skills and habits of work necessary for post-secondary success.",BRONX    ,"Student Government, Drama, Dance, STEP, Symphonic Band"
M463,Functionally Accessible,212-927-1841,"Visual Arts Program, Creative Writing/Theater Arts Program, Honors-level courses in English, Global History, and United States History; Journalism/School Newspaper, Student Leadership Program, Freshman Advisory Program, National Honor Society, Writing for College, Introduction to Film, Achieve Now Academy Program, Student Government, College Now Program at The City College of New York",1,12,M,9.0,,112,,,George Washington Educational Campus,1021600018.0,-73.926579,Washington Heights,"Baseball & JV Baseball, Basketball & JV Basketball, Football & JV Football, Soccer",10040,"The High School for Media and Communications is a small learning community whose mission is to provide a rigorous education that encourages and inspires inquiry, creativity, critical thinking and free expression. Our responsibility is to provide a learning environment that is engaging and culturally and socially responsive in order to develop life-long learners who will succeed in college and future careers, and become productive citizens.",MANHATTAN,"National Honor Society, Brave/Respect for All/Diversity Club, Double Discovery Center at Columbia University, Journalism/School Newspaper Club, Leadership Program, Dance Club, Cooking Club with Health Corps, Creative Writing, G.W. Campus Youth Theater Company, Peer Mediation, Achieve Now Academy, SAT Preparation Program"
K558,Functionally Accessible,718-388-1260,"Students may receive CTE endorsement in the following areas: Architectural Drafting & Architectural CAD/CADD. As part of our studio and portfolio requirements, students are challenged to build working prototypes of their designs. This course of study has made our students highly desirable for paid internship positions at industry partners. Students are also given opportunities to engage in the ACE mentoring, SkillsUSA and College Now programs.",1,12,K,9.0,,301,,Then to New York City residents,Harry Van Arsdale Educational Campus,3023300011.0,-73.9548008,Williamsburg,"Baseball, Basketball, Handball, Indoor Track, JV Basketball, Outdoor Track, Volleyball",11211,"Partnered with the World Monuments Fund and the Park Avenue Amory, Williamsburg High School for Architecture and Design (WHSAD) has a unique curriculum that focuses on architectural preservation. Our inter-disciplinary concentration on Architecture, Studio Art and the Visual Arts threads artisan skills training and internship experiences throughout core academic content areas. All of our students are given the opportunity to participate in paid internships with industry partners. The alignment of architecture and design with core academic areas prepares our students for multiple college and career pathways in architecture, design and other related professions. Students from WHSAD can earn up to 6 college credits upon graduation from our program.",BROOKLYN ,"Students organize to establish clubs that interest them. Students have organized clubs such as the video game club, architecture club, photography club, peer tutoring, and skateboarding club. WHSAD invites honor roll students to free incentive field trips at the end of each marking period. Past trips have included court-side seats to a Brooklyn Nets basketball game, ice skating at Central Park, as well as Broadway plays and musicals."
K540,Not Accessible,718-373-6400,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",8,12,K,9.0,,313,,,,3071850020.0,-73.9818322,Gravesend,"Basketball, Cross Country, Outdoor Track, Soccer",11223,"We offer an innovative form of education that empowers students to make responsible decisions. We offer a liberal arts, science, mathematics and technological curriculum with an interdisciplinary focus. Our small learning communities allow teachers to work with students for enrichment, remediation and social engagement. Students receive the individualized attention found in a small school within the setting of a comprehensive high school. Our small learning communities prepare students for a variety of Career Pathways and College Readiness programs in core subject areas including the Arts, Business, and Technology. Our school is comprised of four small learning communities: International House, STEM/Health, Computer/Finance, Senior, and Arts House.",BROOKLYN ,"Anime Club, Asian-American Club, ASPIRA of New York Leadership Program, Book Worms, Ceramics, Cheerleading, Christian Culture, Classic Rock Club, Council For Unity, Fashion Show, Health Occupations Students of America (HOSA), MOUSE Squad, Space Science Club, Angelo Del Toro Puerto Rican/Hispanic Leadership Internship Program, Dance, Enviro-Horticulture, Fashion Design, Foreign Languages Honor Society, Hebrew Culture, Junior Achievement, Key Club, Marine Science, Math Team, Modeling, Multicultural Club, Honor Society, Peer Mediation & Conflict Resolution, Princeton Model Congress, Robotics, Spanish National Honor Society, Student Organization & Leadership, Student-Faculty Activities (Softball, Volleyball, Ice Skating, Chess, Scrabble, Table Tennis, Badminton, Karaoke), Theater & Performing Arts, Theatre Development Fund (TDF) - Open Doors and Stage Doors, Visual & Studio Arts Exposition, Talent Show"
R064,Functionally Accessible,718-370-6950,"Expeditionary Learning: in-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character",1,12,R,9.0,,502,,Then to New York City residents,Jerome Parker Educational Campus,5024500320.0,-74.15936,New Springville,"Basketball & JV Basketball, Cross Country, Fencing, Indoor Track, Outdoor Track, Soccer, Wrestling",10314,"Our school provides a small, academically challenging learning community that prepares students for college success and beyond. We offer a learning community supported by problem-solving to develop our students' respect for excellence in scholarship, character and to energize their creativity. It's all about attitude - wanting to excel, striving to meet potential, overcoming challenges and looking to make a difference.",STATEN IS,"Cheerleading, Chess, Close Up, Culinary, Debate Team, Do Something Club, Foreign Film, Gay-Straight Alliance (GSA), Guitar, Knitting/Crocheting, Martial Arts, Music, Peer Mediators, Philosophy, School Newspaper, SING!, Student Government, Theatre Arts"
M304,Not Accessible,212-690-5501,"Online grading system for parents and students, Before- and -after school tutoring, Saturday Academy, Tutoring with City College, College Now, College for Every Student (CFES), College Prep with Columbia University, Regents Prep Program, iZone, Advanced Placement courses, Credit Recovery Electives",1,12,M,9.0,,110,,Then to New York City residents,,1019600001.0,-73.947563,Harlem,"Baseball, Basketball",10030,"Our school was founded in September 2004 with the help of Replications, Inc., a non-profit organization dedicated to the creation of new, small, successful schools. Our school is based on the same concepts of the nationally renowned Mott Hall Middle Schools. Utilizing a challenging curriculum, our emphasis is on academics, college and career preparation. Students use laptops and engage in cutting edge technology in the classroom as active participants, sharing their learning and education. Experiential, hands-on learning is an important part of the school's curriculum. We are committed to helping students develop into leaders, independent thinkers and enthusiastic lifelong learners.",MANHATTAN,"Chess, Knitting & Crochet, Newspaper, Community Service (Helping-Hands), Song/Writing Guitar, Yoga, Drama, Sci-Fi, Anime, International, Dance Team, College and Scholarship, Ballroom Dancing, Music Band"
