end_date,zip_code,procedure_name
2023-07-26T00:00:00.000,10468,DEP Variance
2025-04-18T00:00:00.000,11233,Exterior Vertical Surface
2025-04-08T00:00:00.000,10025,Exterior Vertical Surface
2023-02-10T00:00:00.000,11206,Tent
2023-01-11T00:00:00.000,10451,DEP Variance
2025-04-10T00:00:00.000,11224,Full Containment
2020-10-13T00:00:00.000,11224,Tent
2021-12-28T00:00:00.000,10036,Interior Foam
2026-11-18T00:00:00.000,11212,DEP Variance
2023-04-24T00:00:00.000,11224,Tent
2026-11-10T00:00:00.000,10075,Exterior Vertical Surface
2025-06-30T00:00:00.000,10023,Tent
2022-07-01T00:00:00.000,11101,Interior Foam
2026-01-09T00:00:00.000,11236,VAT Protocol in NYCHA Apt
2025-09-22T00:00:00.000,10004,Exterior Vertical Surface
2018-12-11T00:00:00.000,10016,Tent
2026-06-05T00:00:00.000,11205,Exterior Vertical Surface
2020-08-13T00:00:00.000,10019,DEP Variance
2026-07-15T00:00:00.000,11208,DEP Variance
2026-11-05T00:00:00.000,10022,Subchapter G
2022-10-11T00:00:00.000,11224,DEP Variance
2022-04-14T00:00:00.000,10103,DEP Variance
2022-04-13T00:00:00.000,11236,Exterior Vertical Surface
2020-05-20T00:00:00.000,10017,Full Containment
2025-11-24T00:00:00.000,11373,DEP Variance
2026-02-04T00:00:00.000,11212,Exterior Vertical Surface
2024-05-29T00:00:00.000,11357,Tent
2026-07-15T00:00:00.000,11208,DEP Variance
2023-04-27T00:00:00.000,10027,Full Containment
2026-10-19T00:00:00.000,10027,Tent
2021-11-27T00:00:00.000,11218,Tent
2026-05-08T00:00:00.000,11205,Tent
2025-11-04T00:00:00.000,10469,DEP Variance
2025-04-11T00:00:00.000,10271,Exterior Vertical Surface
2024-08-14T00:00:00.000,11374,Tent
2024-07-16T00:00:00.000,10038,Interior Foam
2026-07-22T00:00:00.000,11432,VAT Protocol in NYCHA Apt
2026-09-24T00:00:00.000,11212,Exterior Vertical Surface
2025-12-16T00:00:00.000,11206,Tent
2020-03-10T00:00:00.000,10023,DEP Variance
2020-04-09T00:00:00.000,11375,Exterior Foam
2024-03-05T00:00:00.000,10462,Tent
2026-06-19T00:00:00.000,11212,Exterior Vertical Surface
2021-06-09T00:00:00.000,10451,Exterior Vertical Surface
2023-07-31T00:00:00.000,11206,Exterior Vertical Surface
2021-06-30T00:00:00.000,11226,Interior Foam
2026-03-12T00:00:00.000,10019,Subchapter G
2023-03-17T00:00:00.000,11201,Exterior Foam
2026-11-05T00:00:00.000,10022,Subchapter G
2023-02-17T00:00:00.000,10451,VAT Protocol in NYCHA Apt
2026-03-02T00:00:00.000,11206,Tent
2025-06-19T00:00:00.000,11213,Exterior Vertical Surface
2026-06-04T00:00:00.000,11208,DEP Variance
2025-07-10T00:00:00.000,10451,Exterior Vertical Surface
2026-07-15T00:00:00.000,11208,DEP Variance
2024-05-28T00:00:00.000,10474,Exterior Foam
2026-03-31T00:00:00.000,10456,Exterior Vertical Surface
2026-06-04T00:00:00.000,11208,DEP Variance
