construction_permit_id,permit_start_date,mass_mailing_1_received_date,final_acceptance_letter_date,primary_scope_of_work,latest_inspection_site_visit,punchlist_generated,latest_permit_extension_amendment_request_date,preliminary_public_design_commission_approval,project_received_date,project_id_number_op
,,,,Sewer/Water Main,,,,,2019-08-02T00:00:00.000,SEQNS004
M186.20190503,2019-05-06T00:00:00.000,,,,,,,,2018-07-10T00:00:00.000,
QZ281.20190521,2019-05-27T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2019-05-14T00:00:00.000,
,,,2018-05-24T00:00:00.000,Pedestrian Safety,2017-04-17T00:00:00.000,2016-10-13T00:00:00.000,,,2009-08-07T00:00:00.000,HWK1310
,,,,Sewer/Water Main,,,2017-09-06T00:00:00.000,,2011-11-16T00:00:00.000,SE734
B320.20190604,2019-06-05T00:00:00.000,,,Park Improvement/New Park,,,,,2019-06-03T00:00:00.000,
B-31-14NF,2014-06-30T00:00:00.000,,,Bridge Component Rehabilitation,,,2016-06-29T00:00:00.000,,2014-06-10T00:00:00.000,VN-80C/35
X126.20201114,,,,Bridge Component Rehabilitation,,,,,2020-04-14T00:00:00.000,
,,,,Sewer/Water Main,,,,,2014-10-28T00:00:00.000,SEK20068
B073.20190702,2019-07-08T00:00:00.000,,,"Utility (gas, electric, telephone)",,,,,2019-03-06T00:00:00.000,
Q408.20190814,2019-08-16T00:00:00.000,,,Public Building,,,,,2019-07-31T00:00:00.000,
,,,,Bridge Reconstruction (Major),,,,,2016-03-25T00:00:00.000,HBESA15A
B385.20190705,2019-08-26T00:00:00.000,,,Private Development,,,,,2018-01-08T00:00:00.000,
,,,,Pedestrian Safety,,,,,2020-05-27T00:00:00.000,HWPR19K2
X263.20190703,2019-07-08T00:00:00.000,,,Park Improvement/New Park,,,2020-07-29T00:00:00.000,,2019-03-08T00:00:00.000,
