telephone,geseats_prog9,swdfilled_prog12,swdseats_prog13,geapps_prog9,swdapps_prog12,name_prog2,overview,languageclasses,gefilled_prog13,code_prog14,swdfilled_prog4,geappsperseat_prog6,swdappsperseat_prog6,elaprof,activities_description,swdfilled_prog10,geappsperseat_prog14,accessibility_description,swdseats_prog1,code_prog5,swdseats_prog5,district,eligibility_prog10,other_features,diversityinadmissions,acceleratedclasses,swdfilled_prog9,eligibility_prog5,admissionsmethod_prog10,eligibility_prog2,swdappsperseat_prog8,swdseats_prog4,swdfilled_prog2,gefilled_prog10,geapps_prog4,swdapps_prog14,swdappsperseat_prog14,eligibility_prog11,priority2_prog3,postcode,geapps_prog2
718-236-9003,,,,,,,"P.S./I.S. 163ÃÂÃÂ¢ÃÂÃÂÃÂÃÂs primary mission is to educate, motivate, and nurture students in a collaborative learning environment. A strong home-school partnership ensures success and encourages a love of learning so that each child flourishes and develops the skills necessary to become a lifelong learner and a productive citizen.",Spanish,,,,,,60.0,,,,Fully Accessible,15.0,,,20,,,,Spanish,,,,,,,,,,,,,,11214.0,
718-410-3430,,,,,,,"The Bronx School for Law, Government and Justice (LGJ) is an educational community that believes learning is a product of thinking. Students at LGJ are engaged in hands-on, minds-on learning in their core classes as well as through the law curriculum, mentoring, and extracurricular activities. Both students and parents like that when you come to LGJ you become a part of a family. Our families appreciate the many partnerships that create opportunities for mentoring, internships, and shadow days for our students. The LGJ middle school is small and allows for students and parents to receive one-on-one attention. We were founded in September 1997 by the Urban Assembly, and share a campus with the Bronx Criminal Court Complex",Spanish,,,,,,49.0,"Dance, Debate, Math Team, National Junior Honor Society, Step Team, Student Council, Mock Trial, Youth Court, Project Boost, Gear Up, Young Professional's Club",,,Fully Accessible,17.0,,,9,,"Extended Day,Summer Session,Weekend Program,Uniform",,"Spanish,Algebra I,Earth Science",,,,,,,,,,,,,,10451.0,
2 12-923-4057,,,,,,,"MS324 is a school where students and their families are supported in achieving academic and socio-emotional success. Principal Carlos Guzman was raised just four blocks from Patria Mirabal and is very much aware of the challenges that students face on a daily basis. This separates Patria from many of the other schools as their leader is a product of the environment and has his heart set on making Patria a school where all students feel valued, safe and all of their academic needs are met. Patria Mirabal has a staff that goes above and beyond for their students. Teachers are extremely dedicated, professional and competent in their craft. Teachers do not leave Patria Mirabal and it is a place where they would send their own children. Patria Mirabal offers a variety of programs before and after school for students. Programs include Art, Music, Stem, Theatre and many more. Academically, students have the opportunity to graduate with High School credits in Living Environment and Algebra I, and many students are accepted into the specialized High Schools around the city. Using restorative practices and approaches, our staff is equipped to provide a wealth of emotional support for our students no matter what they are experiencing.",,,,,,,35.0,"Art, Band, Chess, Chorus, Debate, Fashion, Fitness, Gardening, Green Team, Guitar, Homework Help, Leadership, Math Team, Music, Musical Theater, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Science Club, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Urban Arts, Visual Arts, Yearbook",,,Fully Accessible,6.0,,,6,,"Extended Day,Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10032.0,
212-571- 9268,,,,,,,"At I.S. 289, students engage in many interdisciplinary and collaborative projects. Additionally, I.S. 289 has an exciting and enriching after-school program on-site that includes sports, academic support, arts, and technology classes. Parents appreciate the small size of the school and easy access to staff. The school has high expectations for all students, accompanied by high levels of support.",Spanish,,,,,,72.0,,,,Fully Accessible,19.0,,,2,,,,Algebra I,,,,,,,,,,,,,,10282.0,
718-574-2804,,,,,,,"Madiba Prep Middle School of Social Justice and Innovation is a District 16 school serving scholars in grades 6-8. We are a learning community where scholars are steeped in the rigorous pursuit of critical thinking skills, communication and technological literacy, self-awareness, and social and character development. Parents and community stakeholders support the development of scholars who are productive, contributing citizens in the local and global contexts. Our learning projects will position scholars to take the information that they have learned and propose a solution to a real-world problem within their local community and make connections to our global community. Our students have access to Theater, Art, Jazz, Tap, Hip-Hop, Digital Music Production, Fabrication Lab, Fencing, Golf, Archery, and a range of clubs and teams, and national travel opportunities. From video game and APP design to boat making, Botany and Space Camp we offer activities that nurture and stimulate scholars. We offer a warm and caring environment with a variety of learning opportunities that include double period Honors English, Algebra, and Living Environment Regents classes. After-school provides an eclectic mix of activities and academic support.",Spanish,,,,,,26.0,,,,Fully Accessible,12.0,,,16,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,11221.0,
718-326-2111,,,,,,,"P.S.\I.S. 49 is a zoned school serving a diverse student body in kindergarten through eighth grade. We offer a liberal arts program with high academic standards and a strong emphasis on the arts. In all content areas students are challenged to work collaboratively, think critically, and to engage in authentic tasks that connect their work to the outside world. We strive to create a supportive, caring environment in which every student can reach their full potential. In addition to their course work students have the opportunity to participate in a wide variety of extra curricular activities including drama performances, band, sports teams, school newspaper, and technology and baking clubs. We partner with organizations such as Maspeth Town Hall, the New York Road Runners, and Studio in a School to enhance our after school offerings.",Spanish,,,,,,64.0,"Art, Band, Chess, Coding, Creative Writing, Dance, Drama, Fashion, Fitness, Homework Help, Math Team, Music, Musical Theater, Saturday Academy, Spelling Bee, Student Council, Technology, Theater, Yearbook, Yoga",,,Fully Accessible,26.0,,,24,,"Extended Day,Summer Session,Weekend Program",,"Algebra I,Living Environment",,,,,,,,,,,,,,11379.0,
212-281-6339,,,,,,,"10 Fun Facts About New Design Middle School  1- NDMS is a small, friendly, educational environment.  2- NDMS has a technology program with a focus on virtual reality.  3- NDMS is located in West Harlem near Riverbank Park, Apollo Theater, City College and Columbia University.  4- NDMS is a uniform school.  5- NDMS has a Soccer Team.  6- Our after school program provides students with music, art and dance classes.   7- NDMS provides field trips to popular locations around the city.  8- Our curriculum is inclusive to ALL STUDENTS with a focus on critical thinking and problem solving skills.  9- NDMS has shown gradual increase on state test scores.  10- We offer a 3 week summer bridge program for all incoming 6th graders to ease the transition from elementary to middle school.",Greek,,,,,,9.0,"Book Club, Chess, Dance, Fashion, Glee Club, Homework Help, Restorative Circles, Saturday Academy, Spelling Bee, Student Council, Technology, Theater, Tutoring, Video Game Club, Yearbook",,,Fully Accessible,5.0,,,5,,"Extended Day,Summer Session,Weekend Program,Uniform",,,,,,,,,,,,,,,,10027.0,
,,,,,,,"The Academy at PS122 strives to provide all students with an opportunity to meet their maximum potential and be prepared for even the most difficult of academic challenges at the high school level and beyond. The modern world moves rapidly and a major goal of our school is to prepare students to meet the unknown challenges of tomorrow. To achieve this the school administers accelerated courses which focus on key mathematical concepts, critical thinking, written, and verbal communication skills. Students will graduate with credit on the Algebra I and Living Environment Regents and the Spanish Proficiency Exam. The Academy provides a large menu of elective club classes to further student proficiency in areas of interest. Examples of clubs are the guitar club, hydroponic club, movie club, Latin dance club, robotics club, and the chess club. PS122 believes that it is imperative to support our student's social emotional learning. All students at the Academy will be enrolled in an Advisory section to support their academic and social development during the critical middle school years. Finally, our school fosters a strong community among the students through the student council, college trips, student fund-raisers and school dances.",Spanish,,,,,,98.0,"Art, Band, Chess, Chorus, Dance, Drama, Fitness, Guitar, Latin Dance, Music, National Junior Honor Society, Robotics, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook",,,Not Accessible,0.0,,,30,,,,"Spanish,Algebra I,Living Environment",,,,,,,,,,,,,,11105.0,
718-574-0390,,,,,,,"Students at our school are assigned instructional programs that meet their individual gifts and talents. Philippa Schuyler offers a variety of acceleration and enrichment opportunities that include advanced language arts and math classes, Regents classes in algebra, living environment, earth science, French, and Spanish. Major performing arts courses are offered in a variety of dance styles including: jazz, modern, ballet, world and urban dance. Additional major performing arts courses include: theater, steel pan, and chorus. Major visual arts courses and other electives include: medical studies, technology, robotics, hydroponic gardening, and African American studies. In addition, we offer preparation courses for Specialized High School testing. Our school also offers a state-of-the-art hydroponic science lab. Our instructional program focuses on project-based instruction and assessment to promote rigorous critical-thinking and citizenship skills.",French;Spanish,,,,,,57.0,,,,Partially Accessible,56.0,,,32,,,,"Algebra I,Earth Science,Living Environment",,,,,,,,,,,,,,11237.0,
718-294-8504,,,,,,,"At the School of Mathematics, Science and Technology Through Arts (MSTA), our motto is Learning Today to Create a Better Tomorrow. In a world dominated by technology, our mission is to prepare our students to be leaders and critical thinkers that are ready to take on the challenges that lay ahead. Our curriculum is grounded in a projects-based approach, ensuring that all students are provided with the hands-on learning and experiences that engage them in solving real world problems. During their eighth-grade year, all students are prepared for the opportunity to take the New York State Regents Exams in Algebra I and Living Environment. MSTA offers during school and extended day programs that include advanced music, music production, film production, video production, podcasting, media, dance and basketball.",,,,,,,22.0,"Art, Coding, Homework Help, Photography, Restorative Circles, Saturday Academy, Step Team, Student Council, Talent Show, Technology, Video Game Club, Music Production",,,Partially Accessible,36.0,,,12,,"Extended Day,Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10457.0,
718-528-2420,,,,,,,"The staff of The Ronald McNair School is committed to providing a rigorous academic program within an environment that offers social emotional support that will enable students to meet or exceed standards.   We create positive classroom learning environments through weekly Restorative Circles and daily Brain Power activities.  We set high academic expectations by recognizing academic achievement through the National Junior Honor Society and Honor Roll.   Chess, Girls/Boys Basketball, African Dance, Visual Arts, Vocal, Theater, Volleyball, Flag Football, My Brother's Keeper and Beautiful Me are some of the clubs students participate in.   Our goal is to help students develop into critical thinkers and lifelong learners.",Spanish,,,,,,34.0,"Art, Chess, Chorus, Debate, Math Team, Music, National Junior Honor Society, Restorative Circles, Saturday Academy, Student Council, Yearbook",,,Partially Accessible,10.0,,,29,,Uniform,,Algebra I,,,,,,,,,,,,,,11411.0,
718-365-2502,,,,,,,"At Jonas Bronck Academy (JBA) our students become scholars and their families become part of our larger JBA family. We create an environment where scholars challenge, question, and learn to think critically. We create a safe haven where scholars feel secure, supported, and understand the importance of community. JBA is a school where we model respect, integrity, and perserverance for everyone so that the children we serve have professional role models. Parents and guardians are our partners and their presence in our school, and their support at home are critical and essential to each scholar's success. We work to prepare scholars to live the furture of their dreams. JBA is the opportunity of a lifetime.",Mandarin,,,,,,60.0,"Art, Band, Choir, Chorus, Cooking, Dance, Fashion, Homework Help, Leadership, Music, Musical Theater, National Junior Honor Society, Photography, Science Olympiad, Service Learning, Spelling Bee, Student Council, Talent Show, Technology, Visual Arts, Yearbook",,,Fully Accessible,19.0,,,10,,"Extended Day,Summer Session,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10458.0,
