location,ntacode,x,remarks,borocd,city,boroname,y
North West side of Park,QN54,1033383.04345,3 free 10 min sessions,409.0,Queens,Queens,192561.434809
Along Boardwalk and Beach,SI36,962915.789704,3 free 10 min sessions,595.0,Staten Island,Staten Island,150096.666392
"90 Water Street, New York, NY 10005, USA",MN25,981948.509512,,101.0,New York,Manhattan,196017.980389
Pole 49: 126NS2E8av,MN03,998388.989099,,110.0,New York,Manhattan,234450.891384
2943 BROADWAY,MN09,994080.917334,"Tablet Internet -phone , Free 1 GB Wi-FI Service",109.0,New York,Manhattan,233475.986182
18th between 8th and 9th,MN13,983774.057042,,104.0,New York,Manhattan,209887.802059
101 EAST 29 STREET,MN20,988858.13316,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,210296.695926
230 BERRY STREET,BK73,994578.937992,"Tablet Internet -phone , Free 1 GB Wi-FI Service",301.0,Brooklyn,Brooklyn,199855.055392
825 8 AVENUE,MN15,988047.136751,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,216983.858405
211 ST ANN'S AVENUE,BX39,1006963.18225,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,233039.646503
1197 SUTTER AVENUE,BK82,1019192.38581,,305.0,Brooklyn,Brooklyn,184386.495778
FRNT OF BASKET BALL COURT N/O E 170TH ST,BX99,1009574.32139,3 free 10 min sessions,204.0,Bronx,Bronx,244487.264684
301 WEST 57 STREET,MN15,988916.025433,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,218694.054131
487 EAST 156 STREET,BX34,1008374.74472,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,238074.621013
IND-E-J-Z-JAMAICA CENTER - PARSONS / ARCHER,QN61,1039396.83786,SN 278,412.0,Queens,Queens,195150.160931
Amphitheater,MN34,999670.262455,,111.0,New York,Manhattan,232492.276207
3301 CHURCH AVE,BK95,999091.849241,"Tablet Internet -phone , Free 1 GB Wi-FI Service",317.0,Brooklyn,Brooklyn,176467.516209
172 EAST 24 STREET,MN21,988991.738864,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,208708.158749
1 Dekalb Ave.,BK38,989151.72378,,302.0,Brooklyn,Brooklyn,190688.879499
300 WEST 108 STREET,MN09,993149.331927,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,231827.457327
2601 BROADWAY,MN12,992298.652854,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,229332.839284
9 MURRAY STREET,MN24,982070.553888,,101.0,New York,Manhattan,199262.699293
181 St (1),MN35,1002621.26311,SN 301,112.0,New York,Manhattan,248782.003798
Skate Rental Area,BK99,994240.977381,3 free 10 min sessions,355.0,Brooklyn,Brooklyn,178805.93148
2306 FREDERICK DOUGLASS BOULEVARD,MN11,997618.58644,"Tablet Internet -phone , Free 1 GB Wi-FI Service",110.0,New York,Manhattan,234118.945526
2 POWERS STREET,BK73,997827.133267,"Tablet Internet -phone , Free 1 GB Wi-FI Service",301.0,Brooklyn,Brooklyn,198559.539282
pole 18: 111NS2ELe,MN11,997997.01088,,110.0,New York,Manhattan,230050.953334
675 3 AVENUE,MN19,991412.767159,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,212874.713736
159 WEST 52 STREET,MN17,989269.432535,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,216970.869586
40 WEST 20 STREET,MN13,986090.883117,,105.0,New York,Manhattan,209048.217124
Beach 108 - Comfort Station and Beach,QN10,1032410.91974,3 free 10 min sessions,414.0,Queens,Queens,150761.979038
2848 BROADWAY,MN09,993571.931804,"Tablet Internet -phone , Free 1 GB Wi-FI Service",109.0,New York,Manhattan,232342.975652
304 5 AVENUE,BK37,989024.174823,"Tablet Internet -phone , Free 1 GB Wi-FI Service",306.0,Brooklyn,Brooklyn,184663.473243
145 EAST 116 STREET,MN34,1000468.65161,"Tablet Internet -phone , Free 1 GB Wi-FI Service",111.0,New York,Manhattan,230250.776753
2135 BROADWAY,MN12,989367.184964,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,223814.123944
36-35 33 STREET,QN68,1003810.48941,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,214055.676925
948 3 AVENUE,BK32,982432.903885,"Tablet Internet -phone , Free 1 GB Wi-FI Service",307.0,Brooklyn,Brooklyn,178182.321507
61 AVENUE OF PUERTO RICO,BK90,1000142.3104,"Tablet Internet -phone , Free 1 GB Wi-FI Service",301.0,Brooklyn,Brooklyn,195641.799711
Times Square - 42nd Street,MN17,988065.227922,SN 468,105.0,New York,Manhattan,214701.986984
1330 3 AVENUE,MN40,995670.734693,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,220713.719712
1132 3 AVENUE,MN40,994345.762933,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,218375.168942
219 WEST 100 STREET,MN12,992658.747278,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,229700.939598
2939 BROADWAY,MN09,994037.333432,"Tablet Internet -phone , Free 1 GB Wi-FI Service",109.0,New York,Manhattan,233398.660221
Park Area at W63rd & Columbus,MN14,989129.303222,3 free 10 min sessions,107.0,New York,Manhattan,220539.520585
101 LAFAYETTE STREET,MN24,983983.327293,"Tablet Internet -phone , Free 1 GB Wi-FI Service",101.0,New York,Manhattan,200800.618462
359 3 AVENUE,MN20,989355.497323,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,209161.460992
22 EAST 69 STREET,MN40,993456.224358,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,219718.982528
777 7 AVENUE,MN17,988934.441079,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,216581.720758
116 St (6),MN34,1000414.5359,SN 393,111.0,New York,Manhattan,230244.448682
431 6 AVENUE,BK37,988847.445846,,306.0,Brooklyn,Brooklyn,182726.192996
731 4 AVENUE,BK32,984974.960152,"Tablet Internet -phone , Free 1 GB Wi-FI Service",307.0,Brooklyn,Brooklyn,180049.526106
McLaughlin Park,BK38,988111.606766,,302.0,Brooklyn,Brooklyn,193085.870112
3015 3 AVENUE,BX34,1008145.29144,"Tablet Internet -phone , Free 1 GB Wi-FI Service",201.0,Bronx,Bronx,237850.674939
1126 1 AVENUE,MN31,995159.272789,"Tablet Internet -phone , Free 1 GB Wi-FI Service",108.0,New York,Manhattan,216629.40078
1001 1 AVENUE,MN19,994204.085067,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,215053.848485
801 AMSTERDAM AVE,MN12,992875.143171,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,229264.906677
717 6 AVENUE,MN13,986241.916936,"Tablet Internet -phone , Free 1 GB Wi-FI Service",104.0,New York,Manhattan,210007.093487
"Franklin Av (2,3,4,5)/Botanic Garden (S)",BK63,995864.57584,SN 342,309.0,Brooklyn,Brooklyn,183626.715146
CRC Rm,MN23,982736.163777,3 free 10 min sessions,102.0,New York,Manhattan,205076.451445
"34 St-Penn Station (A,C,E)",MN17,986081.111811,SN 164,105.0,New York,Manhattan,213355.183576
Bushwick Av-Aberdeen St (L),BK78,1010529.39723,SN 131,304.0,Brooklyn,Brooklyn,188063.652466
BIRCHAll AV INDOOR LOBBY,BX37,1023040.44242,3 free 10 min sessions,211.0,Bronx,Bronx,247015.362646
1106 NOSTRAND AVENUE,BK60,997920.604865,"Tablet Internet -phone , Free 1 GB Wi-FI Service",309.0,Brooklyn,Brooklyn,180002.645622
Flushing-Main St (7),QN22,1031337.25949,SN 447,407.0,Queens,Queens,216065.161423
410 EAST 6 STREET,MN22,988101.482771,"Tablet Internet -phone , Free 1 GB Wi-FI Service",103.0,New York,Manhattan,203888.924949
right center,BX63,1005649.07202,3 free 10 min sessions,204.0,Bronx,Bronx,240887.838812
2373 BROADWAY,MN12,990782.201819,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,226624.321079
41-15 VERNON BLVD,QN68,998751.597297,Free - Up to 25 mbs Wi-Fi Service,401.0,Queens,Queens,214579.596481
