latitude,longitude,data_center_gross_floor_area,bar_nightclub_gross_floor,postcode,national_median_site_energy,green_power_offsite_kwh,natural_gas_cost,energy_star_score,medical_office_number_of_1,year_built,museum_gross_floor_area_ft,hospital_general_medical_16,parking_open_parking_lot,bank_branch_number_of,enclosed_mall_gross_floor,retail_store_weekly_operating,county,medical_office_mri_machine,estimated_savings_from_energy,other_water_sources_combined,fuel_oil_no_5_and_no_6_cost,office_worker_density_number,office_number_of_computers,fuel_oil_no_4_cost,data_center_national_median,net_emissions_metric_tons,national_median_source_energy,energy_star_certification_2,municipally_supplied_potable_4,courthouse_gross_floor_area,percent_of_electricity_that,vocational_school_gross_floor,electricity_use_grid_purchase,adult_education_gross_floor,other_weekly_operating_hours,fuel_oil_no_2_cost,parking_gross_floor_area,retail_store_number_of_open,multifamily_housing_number,weather_normalized_source_1,multifamily_housing_maximum,multifamily_housing_primary,energy_alerts,data_center_it_source_energy,green_power_onsite_kwh,estimated_data_flag_district,release_date,national_median_energy_cost,financial_office_weekly,data_center_pue,district_steam_use_kbtu,year_ending,multifamily_housing_percent_2,direct_ghg_emissions_metric
40.757534,-73.970965,Not Available,Not Available,10022,27162643.2,0,0,42,Not Available,1984,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.08571,806,Not Available,Not Available,2426,73893111.6,Not Available,5033.9,Not Available,0,Not Available,23133780.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>STEAM 7771000000</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.; One or more of the meters in use in the selected timeframe has estimated bills. Enter actual bills through the Meters tab for this property.,Not Available,Not Available,No,2014-04-18T12:53:30.000,0,Not Available,Not Available,5808345.8,2013-12-31T00:00:00.000,Not Available,29.5
40.753942,-73.989829,Not Available,Not Available,10018,21234376.8,0,Not Available,100,Not Available,1929,Not Available,Not Available,Not Available,Not Available,Not Available,52,Not Available,Not Available,0,Not Available,Not Available,1.77045,160,0,Not Available,456.5,34490156.4,Not Available,1297.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,9601957.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-07T13:12:48.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,317.4
40.756688,-73.970128,Not Available,Not Available,10022,44578787.4,0,Not Available,55,Not Available,1963,Not Available,Not Available,Not Available,Not Available,Not Available,91,Manhattan,Not Available,0,Not Available,Not Available,2.96147,1020,Not Available,Not Available,3560.1,94259141.1,Not Available,3909.7,Not Available,0,Not Available,19661320.3,Not Available,40,Not Available,Not Available,0,Not Available,87782292.8,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-30T16:50:23.000,0,45,Not Available,22142238.4,2013-12-31T00:00:00.000,Not Available,0
40.766391,-73.982119,Not Available,Not Available,10107,67377632,0,Not Available,87,Not Available,1921,Not Available,Not Available,Not Available,Not Available,Not Available,55,Not Available,Not Available,0,Not Available,0,2.5603,1500,Not Available,Not Available,3158.1,155991249.8,Not Available,Not Available,Not Available,0,Not Available,24502959.3,Not Available,Not Available,Not Available,Not Available,6,Not Available,92034872.1,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T14:01:12.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,1164.5
40.790637,-73.976591,Not Available,Not Available,10024,Not Available,0,0,Not Available,Not Available,1922,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,441.2,Not Available,Not Available,2253.4,Not Available,0,Not Available,1324589.1,Not Available,Not Available,Not Available,Not Available,Not Available,79,8577807.9,17,Fuel Oil (No. 4),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,333.4
40.755801,-73.97874,1240,Not Available,10017,Not Available,Not Available,Not Available,Not Available,Not Available,1953,Not Available,Not Available,Not Available,Not Available,Not Available,84.45,USA,Not Available,0,Not Available,Not Available,3.38106,695,Not Available,Not Available,Not Available,36215485.4,06/30/2011,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,Not Available,<b>417021069506007 Jewelry Store</b> has bills that form gaps between dates in the selected timeframe. Please resolve gaps for this meter.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; One or more of the meters in use in the selected timeframe has estimated bills. Enter actual bills through the Meters tab for this property.,Not Available,Not Available,No,2014-05-01T23:57:26.000,Not Available,Not Available,Not Available,2769458.7,2013-12-31T00:00:00.000,Not Available,0
40.705268,-73.807754,Not Available,Not Available,11435,Not Available,0,Not Available,Not Available,Not Available,1927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.1,Not Available,Not Available,Not Available,Not Available,0,Not Available,160944.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,504232.6,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-05-02T14:57:55.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,0
40.777357,-73.954614,Not Available,Not Available,10028,Not Available,0,92219.27594,Not Available,Not Available,1961,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,663.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,2320630.4,Not Available,Not Available,5017.9188,Not Available,0,175,16553916.3,18,Natural Gas,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,474.6
40.619815,-74.091487,Not Available,Not Available,10301,Not Available,0,33549.8894,Not Available,Not Available,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,265.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,202626.2,Not Available,Not Available,Not Available,Not Available,Not Available,74,5625634.3,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,248.9
40.748206,-73.943731,2378,Not Available,11101,16047191.6,0,0,Not Available,Not Available,2005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3.12965,1023,Not Available,Not Available,1839.2,40764821.2,08/31/2014,4176.1,Not Available,0,Not Available,17902764,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63757236.3,Not Available,Not Available,The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-04-18T16:25:05.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,382.6
40.585708,-73.971212,Not Available,Not Available,11223,Not Available,0,0,Not Available,Not Available,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,830.2,Not Available,Not Available,Not Available,Not Available,0,Not Available,1006742.5,Not Available,Not Available,Not Available,Not Available,Not Available,532,17822128.8,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,748.3
40.766971,-73.962639,Not Available,Not Available,10035,Not Available,0,49976.93285,Not Available,Not Available,1965,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,1252.2,Not Available,Not Available,5601.6,Not Available,0,Not Available,1191488,Not Available,Not Available,0,Not Available,0,215,26562924.7,18,Fuel Oil (No. 2),The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,1155.3
40.705415,-74.007729,Not Available,Not Available,10005,8063634.3,0,Not Available,98,Not Available,1902,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,6.66418,375,Not Available,Not Available,255.3,16177912.5,Not Available,Not Available,Not Available,0,Not Available,1237434,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>403201256500007</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,No,2014-04-30T11:37:32.000,0,Not Available,Not Available,1746638.9,2013-12-31T00:00:00.000,Not Available,0
40.838824,-73.945635,Not Available,Not Available,10024,Not Available,0,0,Not Available,Not Available,1922,Not Available,Not Available,0,Not Available,Not Available,Not Available,New York,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,374.5,Not Available,Not Available,Not Available,Not Available,0,Not Available,1081871.9,Not Available,Not Available,Not Available,1350,Not Available,166,9042153,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-30T10:01:39.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,286.5
40.759785,-73.829236,Not Available,Not Available,11354,20241993.2,0,0,1,Not Available,1967,Not Available,Not Available,Not Available,Not Available,Not Available,65,Queens,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3516.8,38749911.2,Not Available,Not Available,Not Available,0,Not Available,22442449.5,Not Available,Not Available,Not Available,Not Available,0,Not Available,103454806.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-30T15:49:02.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,1690.9
40.789792,-73.966491,Not Available,Not Available,10025,Not Available,0,0,Not Available,31,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,791.3,Not Available,Not Available,5623.1,Not Available,0,Not Available,2365698.9,Not Available,Not Available,Not Available,Not Available,Not Available,154,15494692.6,16,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-29T15:07:42.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,598.8
