program_lst_id,office_tues_to_time,description,prog_contact_email,program_zip,borough,nta,office_sun_to_time
343,,Family Treatment and Rehabilitation,tatianamusac@childcenterny.org,11432,Queens,Jamaica                                                                    ,
556,5:00 PM,General Preventive,frankelj@graham-windham.org,10456,Bronx,,
637,5:00 PM,General Preventive,nseebaran@mhaofnyc.org,10468,Bronx,,
180,5:00 PM,General Preventive,,10026,Manhattan,Central Harlem South                                                       ,
313,5:00 PM,Family Treatment and Rehabilitation,,10035,Manhattan,East Harlem North                                                          ,
414,5:00 PM,General Preventive,edaniels@mediatenyc.org,11432,Queens,Jamaica                                                                    ,
618,9:00 AM,Medically Fragile,,11579,Brooklyn,,
334,5:00 PM,General Preventive,Blumenthalj@graham-windham.com,10030,Manhattan,Central Harlem North-Polo Grounds                                          ,
412,5:00 PM,General Preventive,jJjfrancois@cflsp.org,11232,Brooklyn,Sunset Park West                                                           ,
611,5:00 PM,General Preventive,,11212,Brooklyn,Brownsville                                                                ,
219,,General Preventive,brosegreen@sesameflyers.org,11203,Brooklyn,Prospect Lefferts Gardens-Wingate                                          ,
304,5:00 PM,Family Treatment and Rehabilitation,,10455,Bronx,Melrose South-Mott Haven North                                             ,
299,,Family Treatment and Rehabilitation,,11215,Brooklyn,Park Slope-Gowanus                                                         ,
602,9:00 PM,Family Treatment and Rehabilitation,,11355,Queens,Flushing                                                                   ,
562,7:00 PM,General Preventive,,11216,Brooklyn,Crown Heights North                                                        ,
214,5:00 PM,General Preventive,rboateng@hcz.org,10027,Manhattan,Central Harlem South                                                       ,
354,5:00 PM,General Preventive,,11226,Brooklyn,Prospect Lefferts Gardens-Wingate                                          ,
286,5:00 PM,General Preventive,Tcocks@sco.org,11377,Queens,Elmhurst-Maspeth                                                           ,
601,9:00 PM,Family Treatment and Rehabilitation,zoeliang@childcenterny.org,11377,Queens,Elmhurst                                                                   ,
558,5:00 PM,Family Treatment and Rehabilitation,lcherry@ccmnyc.org,11226,Brooklyn,Prospect Lefferts Gardens-Wingate                                          ,
302,5:00 PM,Family Treatment and Rehabilitation,,10461,Bronx,Van Nest-Morris Park-Westchester Square                                    ,
639,5:00 PM,General Preventive,aliriog@childrensaidsociety.org,10302,Staten Island,Port Richmond                                                              ,
622,,General Preventive,BDoran@childrensvillage.org,10027,Manhattan,,
194,8:00 PM,General Preventive,,11428,Queens,Queens Village                                                             ,
181,5:00 PM,General Preventive,aliriog@childrensaidsociety.org,10455,Bronx,Melrose South-Mott Haven North                                             ,
201,5:00 PM,General Preventive,nwelsh@lsafhs.org,10029,Manhattan,East Harlem North                                                          ,
342,7:00 PM,General Preventive,,10458,Bronx,Belmont                                                                    ,
