project_name,construction_permit_id,impacted_parks_division_s,multisite_project,construction_permit_special_conditions,construction_permit_request_received_date,final_public_design_commission_approval,public_design_commission_approval_required,forestry_permit_status,impacted_park_id_s,latest_site_visit,park_impact_type
Central Park - Modifications to Gatehouse No. 1,,Conservancy,Single Site,as a last-minute idea and addition work area will be enclosed with CL fence on barrier. 24 hour security may be provided onsite - TBD. Runners headed CCW around the reservoir will be diverted onto a desire line path to the bridle path,,,,,M010;,2018-02-20T00:00:00.000,Partial Park Closure
NYPD Troop D Mounted Police Fence Installation,X039.20180102,Borough Operations;#Borough Forestry,Single Site,"In return for the waiver of the Forestry permit, Contractor must stake out fence line and Parks must inspect such staking prior to the Contractor proceeding with installation/excavation of the fence.",,,,,X039;,,Other;#Park Improvement;#Excavation
"Construction of Storm and Sanitary Sewers in Page Avenue & Amboy Road, etc.",RG.20170821,Borough Horticulture;#Borough Operations;#Natural Resources Group (NRG);#Borough Forestry,Multi Site,"i.	In the course of performing the Work authorized in this Permit, the Permittee shall completely avoid an area of rare plants along the western edge of Long Pond Park on Page Avenue just south of Clarendon Avenue, located approximately 10 – 20 feet behind the timber rail, as indicated on map in Attachment E. 
ii.	Permittee shall notify the Chief of Operations for the Borough 48 hours prior to commencing work in this location so that Parks may fence off the rare plants prior to any construction activity in the vicinity.",2017-06-29T00:00:00.000,,,Approved,R027;RZ286;RZ238;,,Excavation;#Sidewalk Closure;#Other;#Loss of Property
Major Deegan Expressway (I-87) Bridge Over Mosholu Parkway,X-16-13NF,Borough Operations;#Legal/MOUs;#Natural Resources Group (NRG);#ADA Accessibility;#Borough Forestry;#Planning and Parklands,Single Site,,,,,,X092;,2016-05-04T00:00:00.000,Staging;#Excavation;#Partial Park Closure;#Park Improvement
Automotive HS Overhead Protection,B058.20200828,Borough Operations;#Borough Forestry,Single Site,"Permittee shall maintain pedestrian access to the existing park path beneath the permitted overhead protection at all times.
ii. Permittee is not authorized to stage or store any equipment within the limits of the park without prior written consent from NYC Parks.",2020-08-07T00:00:00.000,,,Approved,B058;,,Sidewalk Closure
Sidewalk Replacement at McCarren Park,B058.20191031,Borough Operations,Single Site,,2019-10-30T00:00:00.000,,No,Pending,B058;,,Staging;#Excavation;#Sidewalk Closure
Perimeter Fence Replacement at Wards Island Wastewater Treatment Plant | Reconstruction of Chainlink Fence at WI WRRF,MG.20200129,Conservancy;#Borough Forestry;#Capital Projects,Multi Site,"i.	Permittee may not operate, store, or otherwise bring vehicles anywhere in the premises except on and along the multi-use path (bike path). All access to landscape areas is by foot only, including hand-wheeled tools.",2020-01-22T00:00:00.000,,No,Approved,M104;M107;,2020-03-10T00:00:00.000,Access-Only;#Excavation
24 Minetta - Façade repairs,,Borough Operations,Single Site,,2019-07-24T00:00:00.000,,,,M125B;,,
"Mitigation and Restoration Strategies for Habitat and Ecological Sustainability
(MARSHES): Saw Mill Creek Pilot
Wetland Mitigation Bank",R130.20171207; R130.20200825,Natural Resources Group (NRG);#Borough Horticulture;#Borough Forestry,Single Site,"i.	The scope of work authorized under this permit is limited to the staging and stockpile area identified in Attachment B, located west of Chelsea Road. No additional work locations on parkland as identified in the site plans for EDC Project ID 2001984: Saw Mill Creek Pilot Wetland Mitigation Bank are permitted for construction activity at this time.",2017-11-06T00:00:00.000,,,Approved,R130;,,Staging;#Other;#Excavation;#Park Improvement;#Partial Park Closure
Bronx River Parkway Safety Improvements at East Gun Hill Road,X004.20170419,Borough Operations;#Borough Forestry;#Conservancy,Single Site,,2017-03-07T00:00:00.000,,No,Approved,X004;,2019-06-26T00:00:00.000,Staging;#Park Improvement
Reconstruction of Bergen Avenue Area,,Borough Operations;#Borough Forestry;#Central Forestry;#Natural Resources Group (NRG);#ADA Accessibility,Multi Site,,,,,,BZ45;B406;B330;B190;,,Sidewalk Closure;#Park Improvement
"Rehabilitation of East 169th Street, East 175th Street, and East 180th Street Bridges Over Metro North Railroad",,,Single Site,,,,,,,,No Parkland Impact
"Simple Pedestrian Ramp Upgrades, Borough of Brooklyn",,,Multi Site,,,,,,,,Sidewalk Closure
2019 Twin Narrows Shafer Vault Maintenance,B082.20190415,Borough Operations;#Borough Forestry,Single Site,,,,,Approved,B082;,,Excavation;#Staging
FDNY Substation Upgrade at Fort Totten,Q458.20180920,Borough Operations;#Borough Forestry;#Natural Resources Group (NRG),Single Site,,,,,Approved,Q458;,,Excavation;#Park Improvement
"Extended sidewalk at My Buddy Monument, Forest Park",,Borough Operations,Single Site,,,,No,Not Required,Q015;,,Park Improvement
Marine Park Garage -,B057.20180630,Borough Operations,Single Site,,2018-03-19T00:00:00.000,,,,B057;,,Other
Painters Playground C/S Gas Upgrade,Q306.20210427,Borough Operations;#Borough Forestry,Single Site,,2021-02-23T00:00:00.000,,,Approved,Q306;,,Excavation
NYCDOT Marine When & Where Flag Repairs - Bridge Park Staging Area,X094.20190802,Borough Operations;#Natural Resources Group (NRG),Single Site,,,,,,X094;,,Staging
Replace casters on sea rail sliding gate,B135.20200320,Borough Operations;#Planning and Parklands,Single Site,,2020-03-20T00:00:00.000,,,Not Required,B135;,,Staging;#Park Improvement
Refurbishing tennis courts,Q051.20170929,Borough Operations,Single Site,,2017-09-28T00:00:00.000,,,,Q051;,,Staging;#Park Improvement;#Partial Park Closure
National Grid Gas Main Upgrade Adjacent to Overlook Park,Q299.20190704,Borough Operations;#Capital Projects,Single Site,,2019-05-30T00:00:00.000,,,,Q299;,,Excavation;#Sidewalk Closure
Installation of 17' Peace Clock Sculpture,M203A.20160719,,Single Site,,,,,,M203A;,,
Pugsley Creek Wetland Mitigation,X088.20191101,Borough Operations;#Borough Forestry;#Central Forestry;#Natural Resources Group (NRG),Single Site,,2019-09-04T00:00:00.000,,,Approved,X088;,,Staging;#Excavation;#Partial Park Closure;#Park Improvement
Combined Relief Sewer and Chambers in 7th Street between 3rd and 4th Avenue,,Borough Forestry,Single Site,,,,No,,,,No Parkland Impact
Corrective Repairs of Jewel Ave Bridge over Van Wyck Expressway Retaining Wall Repairs At Long Island Expressway,Q099.20161115,Borough Operations;#Borough Forestry;#Other,Single Site,"i.	Stakeout prior to occupation: prior to erection of fences and occupation of park area, permittee will stake out requested limits of work and have stakeout approved by Parks.
ii.	Work timing restrictions:
a)	Work on weekends is prohibited between March 31 and October 30th.
b)	There can be no deliveries or construction activities from August 28th through September 10th. (US Open 2017 Embargo)
iii.	Stockpile, staging, and storage is prohibited on landscape areas within park, even within the work zone. Any material stockpile and storage is to be under the viaduct structures.",,,,Approved,Q099;,2019-04-24T00:00:00.000,Partial Park Closure;#Park Improvement;#Staging
Landscaping Requirements Contract in New York City – All Counties,,CDOT Arterial Maintenance,Multi Borough,,,,,,,,
Spectrum/ TWC Overhead Utility Work,M350.20171106,Greenthumb,Single Site,"Only ladders and hand tools will be permitted within the garden to facilitate the work along
the rear property line of the garden.",2017-09-27T00:00:00.000,,,,M350;,,Access-Only
Complex Pedestrian Ramp Installation,,,Multi Site,,,,,,,,Sidewalk Closure
Crane Operation in AMNH Entrance Drive,M053.20180808,Borough Operations;#Borough Forestry;#Capital Projects;#Legal/MOUs,Single Site,,2018-08-03T00:00:00.000,,,Approved,M053;,2018-08-02T00:00:00.000,Staging;#Partial Park Closure
Sanitary Sewer and Water Main in 150th Avenue,,,Single Site,,,,,,,,No Parkland Impact
Todt Hill Road Improvements Phase 2,,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
Squash Court Repairs,M033.20190205,Borough Operations,Single Site,The contractor is permitted to drive in the park as long as the contractor limits the vehicle speed to no more than 5 mph and has a flagger who walks in front of the vehicle to ensure safety.,2019-02-04T00:00:00.000,,,Not Required,M033;,2019-02-08T00:00:00.000,Staging;#Partial Park Closure;#Park Improvement
East 72nd Street Reconstruction,,,Single Site,,,,,,,,No Parkland Impact
Harlem River Drive Safety Improvements,,,Single Site,,,,,,M039;,,No Parkland Impact
Bioswales adjacent to Corona Golf Playground and Frank O'Connor Playground,QG.20171101,Borough Operations;#Borough Forestry,Multi Site,,,,,Approved,,,Staging;#Excavation;#Sidewalk Closure
NYRR Mile Marker Installation at Cunningham Park,Q021.20181005,Borough Operations;#Borough Forestry,Single Site,,2018-09-25T00:00:00.000,,,Approved,Q021;,2018-10-03T00:00:00.000,Excavation;#Park Improvement
PS 219K - Kennedy King Playground,,Borough Operations;#Central Forestry;#Borough Forestry,Single Site,,,,,,,,Staging;#Partial Park Closure;#Park Improvement
Gowanus Canal Area Ph III,,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
Reconstruction of Fowler Square Plaza,BZ32.20170531,Borough Horticulture;#Arts & Antiquities;#Central Forestry;#Borough Forestry,Single Site,"Monument relocation scope cannot commence without prior approval approval of subcontractor and operation by NYC Parks, separate from this permit. Monument to be protected on site at all times during course of construction in a condition satisfactory to NYC Parks.",2017-04-17T00:00:00.000,,,Approved,BZ32;,,Total Park Closure;#Park Improvement
Repointing 2 ft stone wall,M081.20161117,,Single Site,Use a type S mortar mix in 1.5 : 1: 4 ratio.,,,,,M081;,,
The Replacement of the Existing Water Siphons Between Brooklyn and Staten Island,B-5-12NF,,Multi Borough,,,,,,,2017-10-31T00:00:00.000,
