telephone,priority1_prog6,selectioncriteria2_prog1,bin,selectioncriteria2_prog8,geappsperseat_prog11,start_time,swdapps_prog6,code_prog10,swdappsperseat_prog13,selectioncriteria6_prog9,swdfilled_prog15,swdfilled_prog11,eligibility_prog2,neighborhood,selectioncriteria2_prog4,selectioncriteria1_prog4,geseats_prog4,geapps_prog14,geapps_prog6,gefilled_prog13,swdfilled_prog2,latitude,admissionsmethod_prog5,gradespan,swdfilled_prog7,selectioncriteria6_prog4,swdapps_prog14,gefilled_prog1,eligibility_prog10,selectioncriteria4_prog7,swdseats_prog13,selectioncriteria1_prog3,swdseats_prog5,eligibility_prog15,champscoed,geappsperseat_prog1,admissionsmethod_prog3,priority3_prog2,swdapps_prog3,name_prog7,selectioncriteria6_prog8,swdappsperseat_prog4,geseats_prog7,name_prog13,champsboys,swdseats_prog1,geapps_prog9,gefilled_prog12,swdseats_prog3,othersports,selectioncriteria4_prog9,geapps_prog3,geappsperseat_prog6,swdappsperseat_prog8,geapps_prog15,end_time,swdfilled_prog5,geseats_prog2,geapps_prog13,code_prog3,selectioncriteria3_prog7,name_prog4,geapps_prog8,admissionsmethod_prog11,mathprof,priority2_prog9,eligibility_prog4,geappsperseat_prog9,geappsperseat_prog7,geapps_prog7
718-257-4061,,,3090219.0,,,8:00am,,,,,,,,East New York,,,,,,,,40.669387,,Gr 6-8,,,,1.0,,,,,,,Flag Football,3.0,,,,,,,,,,18.0,,,,,,,,,,2:20pm,,,,,,,,,10.0,,,,,
718-796-9200,,,2015472.0,,,8:10am,,,,,,,,Bedford Park,,,,,,,,40.882898,,Gr K-8,,,,0.0,,,,,,,Softball,1.0,,,,,,,,,,27.0,,,,,,,,,,3pm,,,,,,,,,30.0,,,,,
718-829-6372,,4th Grade New York State Math Exam: 20%,2080231.0,,,8:10am,,,,,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",Throggs Neck,,,,,,,,40.827471,,Gr 6-8,,,,1.0,,,,,,,"Flag Football,Soccer",4.0,Open,,93.0,,,,,,,21.0,,,21.0,"Badminton, Baseball, Basketball, Cheerleading, Dance, Flag Football, Running Club, Soccer, Softball, Step, Track and Field, Volleyball",,459.0,,,,2:30pm,,,,X101U,,,,,50.0,,,,,
212-678-2861,,Academic and Personal Behavior Scores,1055990.0,,,8:40am,,,,,,,,Upper West Side,,,,,,,,40.800119,,Gr 6-8,,,,1.0,,,,,,,,3.0,,,,,,,,,,62.0,,,,"Basketball, Cross Country, Flag Football",,,,,,3pm,,,,,,,,,88.0,,,,,
718-432-4300,,Attendance,2112838.0,,,8:04am,,,,,,,Open to students and residents of the Bronx,Spuyten Duyvil,,,,,,,0.0,40.879368,,Gr 6-12,,,,1.0,,,,,,,Flag Football,2.0,Zoned,Then to Bronx students and residents,7.0,,,,,,,5.0,,,14.0,Cheerleading,,87.0,,,,2:44pm,,20.0,,X368Z,,,,,24.0,,,,,
718-339-4355,,,3176229.0,,,8:00am,,,,,,,,Gravesend,,,,,,,,40.608862,,Gr PK-8,,,,0.0,,,,,,,,1.0,,,,,,,,,,11.0,,,,,,,,,,2:20pm,,,,,,,,,20.0,,,,,
718-834-6734,,Academic and Personal Behavior Scores,3059051.0,,,8:10am,,,,,,,,Fort Greene,Attendance,4th Grade New York State ELA and Math Exams,69.0,,,,1.0,40.688811,,Gr 6-8,,On-Site Assessment,,1.0,,,,4th Grade New York State ELA and Math Exams,,,,3.0,Screened,,33.0,,,2.0,,,,6.0,,,16.0,"Cheerleading, Flag Football, Step",,132.0,,,,2:30pm,,50.0,,K113S,,ACATS (The Academy of Computer & Technology Science),,,13.0,,Open to students and residents of District 13,,,
718-647-0913,,,3088357.0,,,7:50am,,,,,,,,East New York,,,,,,,,40.677104,,Gr 6-8,,,,1.0,,,,,,,,5.0,,,,,,,,,,25.0,,,,"Baseball, Basketball, Dance, Fitness Club, Flag Football, Football, Track and Field, Volleyball, Yoga",,,,,,2:30pm,,,,,,,,,34.0,,,,,
718-782-0918,,,3070825.0,,,8:40am,,,,,,,,Williamsburg,,,,,,,,40.709941,,Gr 6-12,,,,0.0,,,,,,,,3.0,,,,,,,,,,13.0,,,,"Basketball, Cheerleading, Dance, Soccer, Wrestling",,,,,,3pm,,,,,,,,,7.0,,,,,
718-515-0410,,Final 4th Grade Report Card,2017858.0,,,8:30am,,,,,,,Open to students and residents of the Bronx,Norwood,,,,,,,1.0,40.885116,,Gr 6-8,,,,1.0,,,,,,,,7.0,,,,,,,,,,16.0,,,,Dance,,,,,,2:50pm,,23.0,,,,,,,22.0,,,,,
