schooldbn,telephone,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,selectioncriteria2_prog2,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1
19K678,718-257-4061,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,
10X095,718-796-9200,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,
08X101,718-829-6372,Then to Bronx students and residents,,,,,,,,,,,,,,,,,,,1.0,"Art, Band, Chess, Coding, Debate, Drama, Fitness, Leadership, Math Team, Musical Theater, National Junior Honor Society, School Newspaper, Science Olympiad, Spelling Bee, Student Council, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook",,,,,BRONX,,,,,,69.0,,,,"Priority to students attending or zoned to PS 14, PS 71, PS 72, or PS 304",,,,,,,,,,13.0,,,,,,Open to students and residents of the Bronx,,,,,,
03M054,212-678-2861,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Coding, Creative Writing, Dance, Debate, Engineering, Homework Help, Leadership, Lego Robotics, Math Team, Music, Restorative Circles, School Newspaper, Science Club, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,
10X368,718-432-4300,Then to Bronx students and residents,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Book Club, Coding, Debate, Homework Help, Leadership, Musical Theater, Peer Mediation, Restorative Circles, Saturday Academy, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Yearbook",,,,,BRONX,,,,,,54.0,Then to Bronx students and residents,,,Priority to residents of the middle school zone,,,,,,,,,,11.0,,,,,,Open to students and residents of the Bronx,,,,,,
21K238,718-339-4355,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,
13K113,718-834-6734,,,,,Academic and Personal Behavior Scores,,,,,,Math and English Assessment - Multiple choice and Essay,,,,0.0,,,127.0,,0.0,"Dance, Debate, National Junior Honor Society, Service Learning, Step Team, Student Council, Technology, Yearbook",,Home Language,,,BROOKLYN,,,Lateness,,,69.0,,,,,,,,,,,0.0,,,35.0,,,4th Grade New York State ELA and Math Exams,,,Open to students and residents of District 13,,,,,,On-Site Assessment
19K661,718-647-0913,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Coding, Cooking, Creative Writing, Dance, Drama, Engineering, Fitness, Glee Club, Guitar, Homework Help, Lego Robotics, Music, Peer Mediation, Photography, Restorative Circles, Robotics, Saturday Academy, School Newspaper, STEM, Student Council, Technology, Theater, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,BROOKLYN,,,,,,,Then to District 19 students and residents who sign in at an event,,,,,,,,,,,,,37.0,,,,,,,,,,,,
14K586,718-782-0918,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Dance, Gardening, Leadership, Music, Musical Theater, Peer Mediation, Restorative Circles, Robotics, Student Council, Talent Show, Video Game Club, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
10X308,718-515-0410,,,,,Attendance,,,,,,,,,,1.0,,,,,,"Art, Band, Cooking, Dance, Drama, Homework Help, Leadership, Saturday Academy, Step Team, Talent Show, Visual Arts",,,,,BRONX,,,,,,,,,,,,,,,,,,,,11.0,,,Academic and Personal Behavior Scores,,,,,,,,,
11X529,718-515-6780,,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Chess, Coding, Fitness, Homework Help, Math Team, Music, Peer Mediation, Restorative Circles, Saturday Academy, Step Team, Tutoring, Video Game Club, Yearbook",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,12.0,,,,,,,,,,,,
18K581,718-773-3059,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,Then to District 18 students and residents who sign in at an event,,,,,,,,,,,,,41.0,,,,,,,,,,,,
24Q061,718-760-3233,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,
03M334,212-595-7193,,,,,,,,,,,,,,,,,,,,,,,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
17K189,718-756-0210,,,,,,,,,,,,,,,,,,,,,"Art, Band, Dance, Leadership, Saturday Academy, Spelling Bee, Student Council, Technology, Visual Arts",,Lateness,,,BROOKLYN,,,,,,,Then to District 17 students and residents,,,,,,,,,,,,,41.0,,,,,,,,,,,,
09X229,718-583-6266,,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Book Club, Chess, Creative Writing, Dance, Debate, Drama, Green Team, Homework Help, Peer Mediation, Restorative Circles, Saturday Academy, School Newspaper, Step Team, Student Council, Talent Show, Tutoring, Video Game Club, Yearbook",,,,,BRONX,,,,,,25.0,,,,Priority to District 9 students and residents,,,,,,,,,,16.0,,,,,,Open to students and residents of the Bronx,,,,,,
23K184,718-495-7776,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,
04M224,212-860-6047,,,,,,,,,,,,,,,,,,,,,"Art, Band, Dance, Debate, Gardening, Restorative Circles, Talent Show, Tutoring, Yearbook",,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
