source_relation,date_day,account_name,account_id,campaign_name,campaign_id,ad_group_name,ad_group_id,ad_name,ad_id,ad_type,device_os,device_type,network,currency_code,clicks,impressions,spend,conversions,conversions_value,all_conversions,all_conversions_value
"",2019-03-05,Fivetran,150175881,,349886459,,1346901938949055,WwfGmlh/43PQDdH8bbMi9Q==,84181395865934,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,1,0.0,0,0,0,0
"",2019-03-01,Fivetran,150175881,,349886459,,1346901938949055,WwfGmlh/43PQDdH8bbMi9Q==,84181395865934,Expanded Text Ad,Unknown,Computer,Bing and Yahoo! search,USD,0,1,0.0,0,0,0,0
"",2018-11-07,Fivetran,150175881,,349886460,,1346901938949039,WwfGmlh/43PQDdH8bbMi9Q==,84181395865931,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,1,3,13.86,0,0,0,0
"",2019-04-17,Fivetran,150175881,,349886460,,1346901938949039,WwfGmlh/43PQDdH8bbMi9Q==,84181395865931,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,1,0.0,0,0,0,0
"",2019-04-24,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,,1338105911256039,e7L/v/fiGh2rg37b19Quew==,83631648270349,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,4,0.0,0,0,0,0
"",2019-04-30,Fivetran,150175881,,349886460,,1346901938949039,WwfGmlh/43PQDdH8bbMi9Q==,84181395865931,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,2,0.0,0,0,0,0
"",2018-12-21,Fivetran,150175881,,349886459,,1346901938949055,WwfGmlh/43PQDdH8bbMi9Q==,84181395865934,Expanded Text Ad,Unknown,Computer,Bing and Yahoo! search,USD,0,7,0.0,0,0,0,0
"",2019-04-23,Fivetran,150175881,,349886459,,1346901938949055,WwfGmlh/43PQDdH8bbMi9Q==,84181395865934,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,1,0.0,0,0,0,0
"",2019-05-06,Fivetran,150175881,PafijluKrvfPOb+f94eCDw==,359751135,,1338105911256039,e7L/v/fiGh2rg37b19Quew==,83631648270349,Expanded Text Ad,Windows,Computer,Syndicated search partners,USD,0,1,0.0,0,0,0,0
"",2018-12-26,Fivetran,150175881,,349886459,,1346901938949055,WwfGmlh/43PQDdH8bbMi9Q==,84181395865934,Expanded Text Ad,Windows,Computer,Bing and Yahoo! search,USD,0,11,0.0,0,0,0,0
