source_relation,inventory_summary_id,asin,fn_sku,seller_sku,product_name,condition,last_updated_at,total_quantity,total_researching_quantity,total_reserved_quantity,fullfillable_quantity,total_unfulfillable_quantity,pending_customer_order_quantity,pending_transshipment_quantity,fc_processing_quantity,inblound_shipped_quantity,inbound_receiving_quantity,inbound_working_quantity,warehouse_damaged_quantity,carrier_damaged_quantity,customer_damaged_quantity,defective_quantity,distributor_damaged_quantity,expired_quantity,granularity_id,granularity_type
amazon_selling_partner.public,FIVETRAN-00000,B0E7STG6605,FNSKU-77560,SKU-1728,Laptop Stand,Used - Good,2025-01-17 19:36:52,321,17,77,211,16,6,3,4,5,15,2,9,5,1,10,4,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00001,B0E7STG6684,FNSKU-83532,SKU-7882,Bluetooth Speaker,Refurbished,2025-01-02 19:36:52,60,0,9,41,10,9,4,5,5,20,17,3,2,4,3,7,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00002,B0E7STG4721,FNSKU-94063,SKU-5712,Wireless Mouse,Used - Acceptable,2025-01-04 19:36:52,123,1,18,87,17,10,3,3,19,17,0,1,1,3,0,7,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00003,B0E7STG7286,FNSKU-47858,SKU-3563,USB Cable,Used - Like New,2025-01-16 19:36:52,175,4,5,157,9,4,0,7,2,12,0,0,5,8,3,1,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00004,B0E7STG6845,FNSKU-61023,SKU-9209,Wireless Mouse,Used - Acceptable,2025-01-25 19:36:52,340,5,55,277,3,8,5,15,19,17,12,0,8,5,0,9,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00005,B0E7STG9922,FNSKU-23744,SKU-2963,Phone Case,Refurbished,2025-01-19 19:36:52,476,4,28,411,33,10,3,14,7,11,14,4,4,5,9,2,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00006,B0E7STG1865,FNSKU-79678,SKU-8931,USB Cable,Used - Good,2025-01-07 19:36:52,138,2,6,125,5,4,1,8,16,17,17,5,2,6,8,6,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00007,B0E7STG4397,FNSKU-50615,SKU-5560,USB Cable,Refurbished,2025-01-18 19:36:52,286,6,66,189,25,1,3,0,2,0,9,8,9,1,10,4,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00008,B0E7STG6340,FNSKU-93544,SKU-2372,Phone Case,Used - Like New,2025-01-28 19:36:52,136,5,21,91,19,0,5,12,19,0,12,2,9,8,6,8,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00009,B0E7STG1461,FNSKU-57798,SKU-3196,Wireless Mouse,Used - Like New,2025-01-12 19:36:52,342,30,24,237,51,7,5,4,8,9,5,7,3,0,4,1,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00010,B0E7STG1446,FNSKU-38892,SKU-8660,Phone Case,Refurbished,2025-01-01 19:36:52,72,7,16,44,5,3,0,12,17,12,19,1,4,9,6,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00011,B0E7STG5396,FNSKU-71904,SKU-8342,Wireless Mouse,New,2025-01-28 19:36:52,181,0,10,142,29,6,4,4,2,14,1,6,10,0,0,10,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00012,B0E7STG3434,FNSKU-71225,SKU-8308,Wireless Mouse,Used - Good,2025-01-21 19:36:52,184,9,19,146,10,2,5,10,17,4,4,0,4,0,8,5,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00013,B0E7STG5263,FNSKU-60047,SKU-7224,Phone Case,Used - Like New,2025-01-13 19:36:52,184,4,4,159,17,2,4,7,9,13,18,9,6,0,1,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00014,B0E7STG5688,FNSKU-46991,SKU-4512,Wireless Mouse,Used - Good,2025-01-16 19:36:52,269,8,35,182,44,1,0,10,3,2,11,3,1,4,10,5,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00015,B0E7STG7997,FNSKU-26768,SKU-9276,Wireless Mouse,Refurbished,2025-01-18 19:36:52,391,6,90,243,52,3,0,1,11,7,20,2,3,4,3,4,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00016,B0E7STG6585,FNSKU-52112,SKU-4481,Laptop Stand,New,2025-01-28 19:36:52,294,23,40,224,7,1,5,5,3,10,5,0,4,2,9,10,5,MPIDRANDOM,Marketplace
