schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
09XAUH,"499 East 175th Street, Bronx NY 10457",,,,,Contact program,,,,Bronx,09XAUHFDPK
11X160,"4140 Hutchinson River Parkway East, Bronx NY 10475",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11X160FDPK
10XATD,"2010 Sedgwick, Bronx NY 10468",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XATDFDPK
04M072,"131 East 104th Street, Manhattan NY 10029",,,x,,Indoor (Onsite) Playspace,,,,Manhattan,04M072FDPK
11XASO,"3415 Olinville Avenue, Bronx NY 10467",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11XASOFDPK
15K015,"71 Sullivan Street, Brooklyn NY 11231",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,15K015FDPK
14KAZJ,"725 Leonard Street, Brooklyn NY 11222",,,,,Contact program,,,,Brooklyn,14KAZJFDPK
12X212,"1180 Tinton Avenue, Bronx NY 10456",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12X212FDPK
10X054,"2703 Webster Avenue, Bronx NY 10458",,,x,7:35am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10X054FDPK
03M242,"134 West 122nd Street, Manhattan NY 10027",,,x,7:45am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03M242FDPK
05M036,"123 Morningside Drive, Manhattan NY 10027",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05M036FDPK
04M375,"141 East 111th Street, Manhattan NY 10029",,,x,7:40am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M375FDPK
06MAXH,"612 West 187th Street, Manhattan NY 10033",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,06MAXHFDPK
13kceh,"50 Monroe Place, Brooklyn NY 11201",,,,Contact program for time,Indoor/Outdoor (Offsite) Playspace,,,,Brooklyn,13KCEHFDPK
05MAWM,"1841 Park Avenue, Manhattan NY 10035",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,05MAWMFDPK
19KBKC,"668 Logan Street, Brooklyn NY 11208",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBKCFDPK
19K677,"605 Shepherd Avenue, Brooklyn NY 11208",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K677FDPK
01MAUB,"184 Eldridge Street, Manhattan NY 10002",,,,8am,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,01MAUBFDPK
13KBNK,"262 Lexington Avenue, Brooklyn NY 11216",,,,,Contact program,,,,Brooklyn,Contact program to apply.
08X062,"660 Fox Street, Bronx NY 10455",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08X062FDPK
20KCOH,"927 McDonald Avenue, Brooklyn NY 11218",,,,7:30am,Contact program,,,,Brooklyn,20KCOHFDPK
11XAFA,"1770 Stillwell Avenue, Bronx NY 10469",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11XAFAFDPK
09XAOB,"141 Featherbed Lane, Bronx NY 10452",,,,,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,09XAOBFDPK
21KBCJ,"2901 Brighton 6th Street, Brooklyn NY 11235",,,,Contact program,Contact program,,,,Brooklyn,21KBCJFDPK
02MAUU,"115 Chrystie Street, Manhattan NY 10002",,,,,Outdoor (Onsite) Playspace,,,x,Manhattan,02MAUUFDPK
10XAPK,"2121 Washington Avenue, Bronx NY 10457",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XAPKFDPK
10X,"3030 Godwin Terrace, Bronx NY 10463",,,x,7:45am,Indoor (Onsite) Playspace,,,,Bronx,10X207FDPK
02MBJV,"323 Grand Street, Manhattan NY 10002",,,,7:50am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,02MBJVFDPK
17KBOI,"3316-18 Church Avenue, Brooklyn NY 11203",,,,7am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBOIFDPK
15KBKB,"460 Atlantic Avenue, Brooklyn NY 11217",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,15KBKBFDPK
13K287,"50 Navy Street, Brooklyn NY 11201",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13K287FDPK
14K319,"360 Keap Street, Brooklyn NY 11211",,,x,7:50am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14K319FDPK
03MACU,"535 West 121st Street, Manhattan NY 10027",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Manhattan,03MACUFDPK
02M151,"421 East 88th Street, Manhattan NY 10128",,,,,Contact program,x,,,Manhattan,02M151FDPK
11XAAA,"1180 East 214th Street, Bronx NY 10469",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11XAAAFDPK
16K308,"616 Quincy Street, Brooklyn NY 11221",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K308FDPK
08XASC,"575 Soundview Avenue, Bronx NY 10473",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08XASCFDPK
21K215,"415 Avenue S, Brooklyn NY 11223",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,21K215FDPK
10X340,"25 West 195th Street, Bronx NY 10468",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Bronx,10X340FDPK
14o084,"250 Berry Street, Brooklyn NY 11211",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14K084FDPK
17KBKY,"670 Parkside Avenue, Brooklyn NY 11226",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBKYFDPK
14KCII,"14 Hope Street, Brooklyn NY 11211",,May utilize flexible scheduling policy. Contact for more information.,,7:30am,Indoor/Outdoor (Offsite) Playspace,,,,Brooklyn,14KCIIFDPK
15KBNA,"4616 4th Avenue, Brooklyn NY 11220",,,,7:30am,Outdoor (Offsite) Playspace,,,,Brooklyn,15KBNAFDPK
09X236,"1871 Walton Avenue, Bronx NY 10453",,,,,Outdoor (Onsite) Playspace,,,,Bronx,09X236FDPK
19K325,"875 Williams Avenue, Brooklyn NY 11207",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K325FDPK
20KCLI,"1360 42nd Street, Brooklyn NY 11219",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20KCLIFDPK
14KABG,"563 Bedford Avenue, Brooklyn NY 11211",,,,,Contact program,,,,Brooklyn,Contact program to apply.
08X075,"984 Faile Street, Bronx NY 10459",x,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08X075FDPK
17KBJH,"420 Lefferts Avenue, Brooklyn NY 11225",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,17KBJHFDPK
08XAIC,"888 Westchester Avenue, Bronx NY 10459",,,,,Contact program,,,,Bronx,08XAICFDPK
07X043@,"165 Brown Place, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X043FDPK
12X150,"920 East 167th Street, Bronx NY 10459",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Bronx,12X150FDPK
04M083,"219 East 109th Street, Manhattan NY 10029",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M083FDPK
21K095,"345 Van Sicklen Street, Brooklyn NY 11223",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K095FDPK
04M171,"19 East 103rd Street, Manhattan NY 10029",,,x,7:30am,Outdoor (Onsite) Playspace,,,,Manhattan,04M171FDPK
11XAPW,"3950 Bronxwood Avenue, Bronx NY 10466",,,,,Outdoor (Offsite) Playspace,,,,Bronx,11XAPWFDPK
09X042,"1537 Washington Avenue, Bronx NY 10457",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X042FDPK
10XAVS,"3220 Arlington Avenue, Bronx NY 10463",,,,7:30am,Outdoor (Onsite) Playspace,,,,Bronx,10XAVSFDPK
20K164,"4211 14th Avenue, Brooklyn NY 11219",,,,,Outdoor (Onsite) Playspace,x,,,Brooklyn,20K164FDPK
