uid,facname,latitude,ct2020,opabbrev,servarea,policeprct,longitude-facdomain
&0454adb00f5d7e6749b83ff695db31b7,SUNSHINE LEARNING CENTER,40.8149617726,7300.0,Non-public,Local,40,"-73.9087768364-EDUCATION, CHILD WELFARE, AND YOUTH"
0406efe7267ad5fe3173b65d17319fd8,CAMBA INC,40.6490612608,51200.0,,Local,70,-73.9634337748-HEALTH AND HUMAN SERVICES
0174a937eee5a67ebd4e3a27d5a1223b,"KIDS-CENTRIC, INC COMM PARENT FAR RO",40.5955092163,99200.0,Non-public,Local,101,"-73.7731347752-EDUCATION, CHILD WELFARE, AND YOUTH"
006b8603543da11106f7416600c67036,MASBIA OF BORO PARK,0.0,,Non-public,Local,0,0.0-HEALTH AND HUMAN SERVICES
05064335c0c617f3fe6ef1633d42a356,ART TRANSFORMS INC,40.6764500276,63200.0,,Local,116,"-73.740579267-EDUCATION, CHILD WELFARE, AND YOUTH"
03f85e9badea4d0c04eb6d8adc26847c,SAGESSE COMMERCE & LOGISTICS LLC,40.762669,11402.0,Non-public,Regional,19,-73.968262-CORE INFRASTRUCTURE AND TRANSPORTATION
02385a4aa22667bd03d723ccb4fee1d1,CITY & SUBURBAN HOMES COMPANY'S FIRST AVENUE ESTATE HISTORIC DIST,40.7625810295,11600.0,,Local,19,"-73.9583423164-PARKS, GARDENS, AND HISTORICAL SITES"
019b398c13566b01b1163cc4742e8022,MASBIA,40.6361897318,22200.0,,Local,66,"-73.9912430875-EDUCATION, CHILD WELFARE, AND YOUTH"
00353af605ed6e8ac897d55508fc381f,HRA BENEFITS ACCESS CENTER DYCKMAN,40.8701013636,29900.0,NYCHRA,Local,34,-73.9138567624-HEALTH AND HUMAN SERVICES
03db8dabc947d9234ace5380f17793d3,HUNTERS POINT SOUTH PARKING CORP.,40.73929,101.0,Non-public,Local,108,-73.961175-CORE INFRASTRUCTURE AND TRANSPORTATION
04c58a7cbba3526c9d0d25857cc28f0a,FAST BREAK ECHO PARK,40.8057111534,24200.0,Non-public,Regional,25,-73.9380089549-HEALTH AND HUMAN SERVICES
049a16dd260cb32699977c97fed8e3f5,BOHEMIAN BENEVOLENT AND LITERARY ASSOCATION OF THE CITY OF NEW YORK,0.0,,Non-public,Regional,0,0.0-LIBRARIES AND CULTURAL PROGRAMS
03b11656cfea79cc9ed2962aed3b0133,60TH STORAGE CORP.,40.761617,11000.0,Non-public,Local,19,-73.965386-CORE INFRASTRUCTURE AND TRANSPORTATION
01066f0712139df3cdb0cd5307f288bb,515 WEST 36TH STREET PARKING CORP.,40.756503,9903.0,Non-public,Local,10,-73.998997-CORE INFRASTRUCTURE AND TRANSPORTATION
0011155e33ae4c3e93192065de4135ea,ST. BARNABAS HOSPITAL PSYCHIATRIC INPATIENT UNIT,40.8533700223,37504.0,Non-public,Regional,48,-73.8908467235-HEALTH AND HUMAN SERVICES
03e365d4d37361394ee0120868345524,CHELSEA PARK,40.749941648,9700.0,NYCDPR,Local,10,"-74.0007282581-PARKS, GARDENS, AND HISTORICAL SITES"
0589abe428ff9ef59da81e993b31d659,THE BREARLEY SCHOOL,40.772957328,13604.0,Non-public,Local,19,"-73.9466185891-EDUCATION, CHILD WELFARE, AND YOUTH"
05601de94006cc0b5ec99e025c6bfe0b,GRAND CONCOURSE LIBRARY,40.8440100646,22703.0,NYPL,Local,44,-73.9100923152-LIBRARIES AND CULTURAL PROGRAMS
0024ba8b2f4caafc9144056eb196f818,CEDAR TREE GARDEN,40.6877534145,23300.0,NYCDPR,Local,79,"-73.9591242673-PARKS, GARDENS, AND HISTORICAL SITES"
0376e710226e7e669b04f0607e8f097e,"DON THOMAS BUSES, INC. (B2321)",40.8369187627,6000.0,Non-public,Regional,48,-73.8758092201-CORE INFRASTRUCTURE AND TRANSPORTATION
045baf12136a9b3893c4e0bf7aa35973,EARLY CHILDHOOD LEARNING CTR,40.6485940731,8000.0,Non-public,Local,72,"-74.009697907-EDUCATION, CHILD WELFARE, AND YOUTH"
021816a86979b543efbc317d123ff2d2,FUERTE PARKING LOT INC,40.80975,3900.0,Non-public,Local,40,-73.923688-CORE INFRASTRUCTURE AND TRANSPORTATION
069d58ed7e5f975a5c1ca10193227b3f,CAMP ABBA,40.7362342454,122703.0,Non-public,Local,107,"-73.8044117313-EDUCATION, CHILD WELFARE, AND YOUTH"
010f5c8e1c3ca5527829e90ecb3f06bc,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,40.8157962841,6301.0,NYCDOE,Local,40,"-73.9299823677-EDUCATION, CHILD WELFARE, AND YOUTH"
00571a26e6f9f8d51b1da56132da831f,G.V.C. LTD. (B2192),40.8150408728,9000.0,Non-public,Regional,43,-73.8445183185-CORE INFRASTRUCTURE AND TRANSPORTATION
001502a4cc9bdab567a0da8d6debdf9b,WALTON WALK,40.8454726638,22701.0,NYCDPR,Local,46,"-73.9122583107-PARKS, GARDENS, AND HISTORICAL SITES"
05f91cd194080492ce3d8d2303ba15c5,BRONXWORKS INC,40.8325534845,18102.0,,Local,44,"-73.9187773131-EDUCATION, CHILD WELFARE, AND YOUTH"
04b6961a4374b85c1e011afc7db6a529,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMM CTR,40.8643147025,31000.0,,Local,49,"-73.8365524412-EDUCATION, CHILD WELFARE, AND YOUTH"
01d14eff2c7029de2ad5ea63dae1368b,LEFFERTS MANOR HISTORIC DISTRICT BOUNDARY INCREASE,40.6582835135,80200.0,,Local,71,"-73.9549706887-PARKS, GARDENS, AND HISTORICAL SITES"
036516d221f1afd9a66a4e56b3ce596a,HOWARD,40.6708823958,90600.0,NYCHA,Local,73,-73.9086717403-HEALTH AND HUMAN SERVICES
0620ab37daf2939dea8fd0967852021b,WELL STATION #6,40.694923,25800.0,NYCDEP,Regional,103,-73.7876-CORE INFRASTRUCTURE AND TRANSPORTATION
00ed14e4ac94a818b1477edbdcead6dc,INTERNATIONAL ACADEMY OF NEW YORK,40.7836921378,15002.0,Non-public,Local,19,"-73.9582006501-EDUCATION, CHILD WELFARE, AND YOUTH"
0066bfc3efa3205ae4420f8cb010ee3d,SOUTHEAST BRONX NEIGHBORHOOD CENTERS INC,40.8217591964,13300.0,,Local,42,"-73.9045638775-EDUCATION, CHILD WELFARE, AND YOUTH"
055eca104e21604396d815b374e086bb,LEGION TRIANGLE,40.6864170875,600.0,NYCDPR,Local,102,"-73.8666981797-PARKS, GARDENS, AND HISTORICAL SITES"
0274d26083adf238614768d6fde5aa83,MOFFAT STREET COMMUNITY GARDEN FOOD DROP-OFF SITE,40.6835817006,40300.0,,Regional,83,-73.9106506775-CORE INFRASTRUCTURE AND TRANSPORTATION
047eda58d1b7ef0fdc8ee816f6667d43,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,40.7432932451,43900.0,Non-public,Local,110,-73.8554532746-HEALTH AND HUMAN SERVICES
013166ba7674fa53a312926751eebd03,GRAMERCY 24 PARKING LLC,40.73799,6400.0,Non-public,Local,13,-73.980842-CORE INFRASTRUCTURE AND TRANSPORTATION
