account_name,user_id,post_caption,created_timestamp,post_id,is_comment_enabled,is_story,media_type,media_url,post_url,shortcode,thumbnail_url,username,carousel_album_engagement,carousel_album_reach,carousel_album_saved,carousel_album_shares,carousel_album_views,comment_count,like_count,story_exits,story_reach,story_replies,story_taps_back,story_taps_forward,story_shares,story_views,video_photo_engagement,video_photo_reach,video_photo_saved,video_photo_shares,video_photo_views,reel_comments,reel_likes,reel_reach,reel_shares,reel_total_interactions,reel_views,source_relation,carousel_album_impressions,carousel_album_video_views,story_impressions,video_photo_impressions,video_views,reel_plays
Fivetran Developers,17841439536867616,,2020-08-27 10:00:40,18159174778061853,,f,IMAGE,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/118457248_170984787886563_5668485179003740363_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=oukI4nadryQAX9A47Cm&_nc_ht=scontent-atl3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=b984310f2e75e8a25fe604618a4f49c6&oe=617AF88A,https://www.instagram.com/p/CEY31KPsSuK/,CEY31KPsSuK,,fivetrandevelopers,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,
Fivetran Developers,17841439536867616,,2020-08-27 10:00:40,17868012922976664,,f,IMAGE,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/118475060_794036944676034_3593811485130120193_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=PvhDYZtcf0gAX_-Z9Bj&_nc_ht=scontent-atl3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=9321ba1afaa978d69e6c89aa92d8c08f&oe=617E3BBB,https://www.instagram.com/p/CEY31KPMbMT/,CEY31KPMbMT,,fivetrandevelopers,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,
Fivetran Developers,17841439536867616,,2020-08-17 12:25:20,17875951606801054,t,f,IMAGE,https://scontent-atl3-1.cdninstagram.com/v/t51.29350-15/117680587_696490407604808_7907625367180472479_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=tYvQaEgNHqUAX_Hx92o&_nc_ht=scontent-atl3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=d961a5cfeea4574c3022ea80bf933b75&oe=617E7272,https://www.instagram.com/p/CD_Yb7DMakV/,CD_Yb7DMakV,,fivetrandevelopers,4,47,2,1,22,1,3,1,33,0,0,1,2,25,4,43,0,1,56,1,2,4,5,6,78,"",68,0,88,56,54,11
Tech Innovators,17841439536867617,Cloud computing fundamentals,2020-09-28 14:30:00,18159174778061928,t,f,IMAGE,https://scontent.cdninstagram.com/tech_post_004.jpg,https://www.instagram.com/p/TechPost004/,TechPost004,,techinnovators,16,178,8,6,98,24,62,0,0,0,0,0,0,0,78,218,11,7,295,7,13,238,18,38,332,"",195,52,0,315,278,48
Tech Innovators,17841439536867617,AI and machine learning trends,2020-09-19 14:30:00,18159174778061919,t,f,VIDEO,https://scontent.cdninstagram.com/tech_video_001.mp4,https://www.instagram.com/p/TechPost003/,TechPost003,,techinnovators,24,268,15,10,152,38,102,0,0,0,0,0,0,0,126,325,19,13,445,11,20,342,28,59,485,"",295,78,0,465,398,68
Tech Innovators,17841439536867617,Innovation in technology,2020-09-10 14:30:00,18159174778061910,t,f,IMAGE,https://scontent.cdninstagram.com/tech_post_002.jpg,https://www.instagram.com/p/TechPost002/,TechPost002,,techinnovators,7,92,3,2,48,13,30,0,0,0,0,0,0,0,37,98,5,3,132,2,6,105,9,17,145,"",95,28,0,162,145,24
Tech Innovators,17841439536867617,Amazing tech innovations in 2021!,2020-09-01 14:30:00,18159174778061901,t,f,IMAGE,https://scontent.cdninstagram.com/tech_post_001.jpg,https://www.instagram.com/p/TechPost001/,TechPost001,,techinnovators,6,85,3,2,45,12,28,0,0,0,0,0,0,0,34,92,4,3,120,2,5,95,8,15,135,"",90,25,0,150,98,20
Digital Marketing Pro,17841439536867618,Email marketing campaigns,2020-09-29 15:45:00,18159174778061929,t,f,IMAGE,https://scontent.cdninstagram.com/marketing_post_006.jpg,https://www.instagram.com/p/MarketPost004/,MarketPost004,,digitalmarketpro,14,165,7,5,88,21,55,0,0,0,0,0,0,0,69,198,9,6,268,6,12,218,16,34,305,"",182,48,0,285,252,42
Digital Marketing Pro,17841439536867618,Content marketing success stories,2020-09-20 15:45:00,18159174778061920,t,f,IMAGE,https://scontent.cdninstagram.com/marketing_post_004.jpg,https://www.instagram.com/p/MarketPost003/,MarketPost003,,digitalmarketpro,11,138,5,4,72,16,38,0,0,0,0,0,0,0,49,152,7,5,202,4,8,162,11,23,225,"",142,35,0,212,188,28
Digital Marketing Pro,17841439536867618,SEO best practices,2020-09-11 15:45:00,18159174778061911,t,f,IMAGE,https://scontent.cdninstagram.com/marketing_post_002.jpg,https://www.instagram.com/p/MarketPost002/,MarketPost002,,digitalmarketpro,10,128,5,4,65,17,40,0,0,0,0,0,0,0,50,142,8,5,185,4,8,152,13,25,205,"",132,36,0,195,172,30
Digital Marketing Pro,17841439536867618,Digital marketing tips for success,2020-09-02 15:45:00,18159174778061902,t,f,IMAGE,https://scontent.cdninstagram.com/marketing_post_001.jpg,https://www.instagram.com/p/MarketPost001/,MarketPost001,,digitalmarketpro,8,120,5,4,67,18,42,0,0,0,0,0,0,0,50,135,7,6,178,3,8,142,12,23,195,"",125,38,0,185,165,28
Creative Studio,17841439536867619,Color theory in design,2020-09-30 16:20:00,18159174778061930,t,f,IMAGE,https://scontent.cdninstagram.com/creative_post_004.jpg,https://www.instagram.com/p/CreativePost004/,CreativePost004,,creativestudio,19,205,10,7,115,28,75,0,0,0,0,0,0,0,94,248,13,9,342,8,16,268,21,45,385,"",225,62,0,368,325,55
Creative Studio,17841439536867619,UI/UX design principles,2020-09-21 16:20:00,18159174778061921,t,f,IMAGE,https://scontent.cdninstagram.com/creative_post_003.jpg,https://www.instagram.com/p/CreativePost003/,CreativePost003,,creativestudio,15,168,7,5,88,22,55,0,0,0,0,0,0,0,70,195,10,7,265,6,12,208,17,35,292,"",178,48,0,278,248,42
Creative Studio,17841439536867619,Design thinking workshop,2020-09-12 16:20:00,18159174778061912,t,f,IMAGE,https://scontent.cdninstagram.com/creative_post_002.jpg,https://www.instagram.com/p/CreativePost002/,CreativePost002,,creativestudio,13,145,6,4,78,20,48,0,0,0,0,0,0,0,61,168,9,6,225,5,10,182,15,30,248,"",158,45,0,238,205,38
Creative Studio,17841439536867619,Creative design showcase,2020-09-03 16:20:00,18159174778061903,t,f,IMAGE,https://scontent.cdninstagram.com/creative_post_001.jpg,https://www.instagram.com/p/CreativePost001/,CreativePost001,,creativestudio,12,95,4,3,52,15,35,0,0,0,0,0,0,0,47,105,5,4,145,4,7,110,10,21,160,"",102,30,0,140,132,25
Brand Agency,17841439536867620,Logo design best practices,2020-09-22 17:00:00,18159174778061922,t,f,IMAGE,https://scontent.cdninstagram.com/brand_post_003.jpg,https://www.instagram.com/p/BrandPost003/,BrandPost003,,brandagency,18,195,9,7,108,27,72,0,0,0,0,0,0,0,90,238,13,9,322,8,15,252,20,43,365,"",212,58,0,342,298,52
Brand Agency,17841439536867620,Brand identity development,2020-09-13 17:00:00,18159174778061913,t,f,IMAGE,https://scontent.cdninstagram.com/brand_post_002.jpg,https://www.instagram.com/p/BrandPost002/,BrandPost002,,brandagency,16,172,8,6,92,24,62,0,0,0,0,0,0,0,78,205,11,8,275,7,13,218,18,38,308,"",188,52,0,285,258,48
Brand Agency,17841439536867620,Brand building strategies,2020-09-04 17:00:00,18159174778061904,t,f,VIDEO,https://scontent.cdninstagram.com/brand_video_001.mp4,https://www.instagram.com/p/BrandPost001/,BrandPost001,,brandagency,15,180,8,6,98,25,68,0,0,0,0,0,0,0,83,215,12,9,285,6,12,225,18,36,320,"",195,55,0,298,248,45
Social Media Expert,17841439536867621,Instagram algorithm updates,2020-09-23 18:30:00,18159174778061923,t,f,IMAGE,https://scontent.cdninstagram.com/social_post_003.jpg,https://www.instagram.com/p/SocialPost003/,SocialPost003,,socialmediaexpert,21,228,12,8,132,31,85,0,0,0,0,0,0,0,106,278,15,11,385,10,18,298,24,52,425,"",248,68,0,398,355,62
Social Media Expert,17841439536867621,Engagement metrics analysis,2020-09-14 18:30:00,18159174778061914,t,f,VIDEO,https://scontent.cdninstagram.com/social_video_001.mp4,https://www.instagram.com/p/SocialPost002/,SocialPost002,,socialmediaexpert,22,235,13,9,128,32,88,0,0,0,0,0,0,0,110,285,16,11,385,9,17,295,23,49,425,"",252,68,0,398,345,58
Social Media Expert,17841439536867621,Social media trends 2021,2020-09-05 18:30:00,18159174778061905,t,f,IMAGE,https://scontent.cdninstagram.com/social_post_001.jpg,https://www.instagram.com/p/SocialPost001/,SocialPost001,,socialmediaexpert,20,250,12,8,145,35,95,0,0,0,0,0,0,0,115,298,18,12,398,8,18,315,25,51,425,"",268,78,0,425,365,62
Content Creator Hub,17841439536867622,Storytelling through video,2020-09-24 19:15:00,18159174778061924,t,f,VIDEO,https://scontent.cdninstagram.com/content_video_001.mp4,https://www.instagram.com/p/ContentPost003/,ContentPost003,,contentcreatorhub,25,285,16,11,168,42,118,0,0,0,0,0,0,0,143,352,21,15,495,13,23,375,32,68,548,"",325,88,0,525,458,78
Content Creator Hub,17841439536867622,Video content strategies,2020-09-15 19:15:00,18159174778061915,t,f,IMAGE,https://scontent.cdninstagram.com/content_post_002.jpg,https://www.instagram.com/p/ContentPost002/,ContentPost002,,contentcreatorhub,12,142,5,4,68,18,42,0,0,0,0,0,0,0,54,165,7,5,218,4,9,178,12,25,242,"",145,38,0,228,198,32
Content Creator Hub,17841439536867622,Content creation tips,2020-09-06 19:15:00,18159174778061906,t,f,IMAGE,https://scontent.cdninstagram.com/content_post_001.jpg,https://www.instagram.com/p/ContentPost001/,ContentPost001,,contentcreatorhub,9,110,4,3,58,14,32,0,0,0,0,0,0,0,41,125,6,4,168,3,6,132,9,18,178,"",118,32,0,152,155,22
Visual Stories,17841439536867623,Photo editing workflows,2020-09-25 20:00:00,18159174778061925,t,f,IMAGE,https://scontent.cdninstagram.com/visual_post_003.jpg,https://www.instagram.com/p/VisualPost003/,VisualPost003,,visualstories,13,152,6,4,78,19,48,0,0,0,0,0,0,0,61,178,8,6,238,5,10,192,13,28,268,"",165,42,0,252,225,38
