latitude,longitude,phone,borocd,police_precinct,ntaname,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,assembly_district,pickupstatus
40.872065,-73.854725,(718) 881-4176,Bronx,49.0,Pelham Gardens,32.0,5.0,83.0,
40.71336,-73.961842,(864) 663-3463,Brooklyn,90.0,Williamsburg,56.0,2.0,53.0,
40.673456,-73.953834,(347) 414-5436,Brooklyn,77.0,Crown Heights (North),49.0,2.0,57.0,
40.659513,-73.99712,(917) 742-6441,Brooklyn,72.0,Sunset Park (West),45.0,2.0,51.0,
40.613687,-73.821183,(718) 474-5029,Queens,100.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,58.0,3.0,23.0,
40.747123,-73.991777,(212) 203-4760,Manhattan,13.0,Midtown South-Flatiron-Union Square,7.0,4.0,75.0,
40.692735,-73.928244,(516) 801-0355,Brooklyn,81.0,Bedford-Stuyvesant (East),52.0,2.0,56.0,
40.732531,-73.997357,(646) 478-7301,,6.0,,3.0,4.0,66.0,
40.851499,-73.894866,(813) 426-5234,,48.0,,31.0,5.0,86.0,
40.680304,-73.752222,(718) 525-4260,Queens,116.0,Laurelton,63.0,3.0,29.0,
40.726843,-73.990234,(212) 505-5313,Manhattan,9.0,East Village,5.0,4.0,66.0,
40.706609,-73.944246,(718) 388-3176,Brooklyn,90.0,East Williamsburg,56.0,2.0,53.0,
40.714443,-73.959471,(111) 111-1111,Brooklyn,90.0,Williamsburg,56.0,2.0,50.0,
40.53073,-74.228363,(718) 943-1200,,,,77.0,1.0,62.0,
40.701074,-73.899812,(718) 456-2000,Queens,104.0,Ridgewood,62.0,3.0,38.0,
40.723637,-73.727766,(718) 347-7411,Queens,105.0,Bellerose,63.0,3.0,33.0,
40.753799,-73.86493,(718) 651-4535,Queens,115.0,North Corona,73.0,3.0,35.0,
40.678417,-73.909328,(718) 342-1404,Brooklyn,73.0,Ocean Hill,46.0,2.0,55.0,
40.723475,-73.994099,(347) 398-4190,Manhattan,5.0,SoHo-Little Italy-Hudson Square,2.0,4.0,65.0,Pickup
40.702188,-73.812648,(718) 908-6303,,103.0,,61.0,3.0,24.0,
40.698664,-73.834853,(718) 846-2099,,102.0,,60.0,3.0,24.0,
40.626201,-74.133102,(718) 442-2145,Staten Island,121.0,Westerleigh-Castleton Corners,75.0,1.0,61.0,
40.84864,-73.831132,(347) 208-3975,Bronx,45.0,Pelham Bay-Country Club-City Island,28.0,5.0,82.0,
40.630214,-74.081094,(718) 447-0526,Staten Island,120.0,Tompkinsville-Stapleton-Clifton-Fox Hills,74.0,1.0,61.0,
40.84864,-73.831132,(347) 208-3975,Bronx,45.0,Pelham Bay-Country Club-City Island,28.0,5.0,82.0,
40.66659,-73.744995,(347) 973-9655,Queens,116.0,Laurelton,63.0,3.0,29.0,
40.764893,-73.771387,(718) 767-2341,Queens,111.0,Bayside,69.0,3.0,26.0,
40.737333,-73.921332,(718) 784-2123,Queens,108.0,Sunnyside,66.0,3.0,37.0,
40.693131,-73.843549,(212) 354-1056,Queens,102.0,Richmond Hill,60.0,3.0,38.0,Pickup
40.863083,-73.920252,(201) 519-2384,Manhattan,34.0,Inwood,22.0,4.0,72.0,
40.753685,-73.999164,(212) 586-8700,,10.0,,6.0,4.0,75.0,Pickup
40.757246,-73.861094,(718) 651-0096,,115.0,,73.0,3.0,35.0,
40.720773,-73.959981,(718) 388-4111,Brooklyn,94.0,Williamsburg,57.0,2.0,50.0,
40.762246,-73.991221,(212) 582-0340,Manhattan,18.0,Hell's Kitchen,10.0,4.0,75.0,
40.7701,-73.902454,(718) 932-8133,Queens,114.0,Astoria (North)-Ditmars-Steinway,72.0,3.0,34.0,
40.69885,-73.919655,(718) 907-4327,Brooklyn,83.0,Bushwick (West),53.0,2.0,53.0,
40.718866,-73.955916,(718) 486-3771,Brooklyn,94.0,Williamsburg,57.0,2.0,50.0,
40.844994,-73.785913,(927) 596-0320,Bronx,45.0,Pelham Bay-Country Club-City Island,28.0,5.0,82.0,
40.746643,-73.982963,(212) 366-4459,Manhattan,14.0,Midtown South-Flatiron-Union Square,8.0,4.0,73.0,
40.631417,-73.980535,(718) 436-5565,Brooklyn,66.0,Borough Park,39.0,2.0,48.0,
