house_no,comments,late_filing_amt,prior_status,borough,qewi_city,current_status,owner_zip,filing_status
233,LFF and FTF Civil Penalties Stopped on: 8/8/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1008990-10C-I1,0.0,,BROOKLYN,,UNSAFE,,No Report Filed
35,ADDED TO FISP UNIVERSE 9/16/2015 (CAW)FIRST TEMP 4/15/2009LFF and FTF Civil Penalties Stopped on: 1/11/2021LFF and FTF Civil Penalties till EFD of TR6 : TR6-914676-9C-I1,12000.0,,MANHATTAN,,SAFE,,No Report Filed
3-10,,0.0,,QUEENS,,SWARMP,,No Report Filed
406,,6000.0,,MANHATTAN,,SAFE,,No Report Filed
287,,0.0,,MANHATTAN,,No Report Filed,,No Report Filed
50-21,LFF and FTF Civil Penalties Stopped on: 2/29/2024LFF and FTF Civil Penalties till EFD of TR6 : TR6-910536-9A-I3,82750.0,,QUEENS,,SWARMP,,No Report Filed
767,,12850.0,,MANHATTAN,,SWARMP,,No Report Filed
87-14,,15000.0,,QUEENS,,SAFE,,No Report Filed
92,,17500.0,,MANHATTAN,,SAFE,,No Report Filed
57,LFF and FTF Civil Penalties Stopped on: 8/12/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1000315-10C-I1,16500.0,,MANHATTAN,,SAFE,,No Report Filed
44,Civil Penalty Stopped on: 4/22/2020,7250.0,,MANHATTAN,,SWARMP,,No Report Filed
5240,,0.0,,MANHATTAN,,UNSAFE,,No Report Filed
217,ADD TO FISP UNIVERSE 3/24/2015 (CAW)FIRST TEMP 2006,21000.0,,MANHATTAN,,SAFE,,No Report Filed
16,LFF and FTF Civil Penalties Stopped on: 8/15/2025LFF and FTF Civil Penalties till EFD of TR6 : TR6-1016512-10C-I1,17000.0,,MANHATTAN,,SAFE,,No Report Filed
1560,,43000.0,,BRONX,,SAFE,,No Report Filed
3-02,,0.0,,QUEENS,,UNSAFE,,No Report Filed
275,,2500.0,,MANHATTAN,,SWARMP,,No Report Filed
20,ADDED TO FISP UNIVERSE 4/9/2015 (CAW)FIRST TEMP 4/29/2008,11000.0,,BROOKLYN,,SAFE,,No Report Filed
$3,,62500.0,,MANHATTAN,,SAFE,,No Report Filed
18,ADDED TO FISP UNIVERSE 4/7/2015 (CAW)FIRST TEMP 9/4/2007,20750.0,,MANHATTAN,,SAFE,,No Report Filed
156-20,,46500.0,,MANHATTAN,,SAFE,,No Report Filed
