code1,academicopportunities3,seats102,diplomaendorsements,directions2,seats3specialized,admissionspriority22,admissionspriority51,ell_programs,admissionspriority43,auditioninformation7,requirement7_1,start_time,grade9swdapplicants10,admissionspriority54,method9,eligibility6,appperseat4specialized,grade9geapplicantsperseat9,interest1,admissionspriority53,requirement4_1,directions4,grade9swdfilledflag5,directions3,grade9swdapplicants1,grade9swdapplicantsperseat8,school_sports,admissionspriority25,program5,admissionspriority28,requirement4_6,seats104,requirement1_3,admissionspriority19,admissionspriority36,grade9swdfilledflag1,applicants1specialized,requirement5_5,grade9geapplicants2,college_career_rate,code7,grade9geapplicants5,international,code10,auditioninformation2,admissionspriority29,grade9geapplicantsperseat7,earlycollege,requirement4_4,auditioninformation1,grade9swdfilledflag2,requirement4_8
K38R,AP exams in various languages,,,,,,,English as a New Language,,,,9:15am,,,,,,,Humanities & Interdisciplinary,,,,,,26.0,,"Basketball, Volleyball, Weightlifting",,,,,,,,,N,,,,0.53,,,1.0,,,,,,,,,
K09X,Coursework teaches marketable and unique skill sets that bolster student employability and college admissions.,,"CTE, Math",,,,,English as a New Language,,,,8:20am,,,,,,,Architecture,,,,,,203.0,,"PSAL Boys: Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball / PSAL Girls: Basketball, Flag Football, Softball, Tennis, Volleyball",,,,,,,,,Y,,,,0.49,,,,,,,,,,,,
M86A,"Expanded Success Initiative, AP for All (Advanced Placement) Program, National Honor Society, Heckscher Scholars Program, Peer Health Exchange",,,,,,,English as a New Language,,,,9:05am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts (2.4-4.5), Math (2.5-4.5)",,,,489.0,,"Cheerleading Squad, Running Club, Weightlifting",,,,,,,,,Y,,,,0.92,,,,,,,,,,,,
M23A,Advisory program (all grades); Advancement Via Individual Determination (AVID): four-year college-readiness program; The Future Project,Yes-5,,,,,,English as a New Language,,,,8:30am,,,,,,,Teaching,,,,,,48.0,,,,,,,,,,,Y,,,100,0.44,,,,,,,,,,,N,
M54A,"College Board Advanced Placement (AP) classes: Biology, Language and Composition, Literature and Composition and United States History",,,,,,,English as a New Language,,,,8:15am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",,,,22.0,,"Clubs: Archery, Basketball, Cheerleading (All Coed), Soccer, Volleyball",,,,,,,,,N,,,,0.41,,,,,,,,,,,,
Q75X,iLearnNYC: Program for expanded online coursework and self-paced learning,,,,,,,English as a New Language,,,,8:20am,,,,,,,Humanities & Interdisciplinary,,,,,,54.0,,"Football, Basketball, Step Team, Modern Dance, Hip Hop Dance",,,,,,,,,N,,,,0.24,,,,,,,,,,,,
A23A,"Technology coursework in: Networking, Cybersecurity, Photoshop, Illustrator, MAYA & 3D Animation, Java, Javascript, Python, Scratch, HTML/CSS, CFM",,CTE,,,,,English as a New Language,,,,8:15am,,,,,,,Computer Science & Technology,,,,,,339.0,,"Cheerleading, Flag Football, Handball, Martial Arts, Ping Pong, Running, Skateboarding, Soccer, Tennis, Weight Training",,,,,,,,,Y,,,,0.71,,,,,,,,,,,,
Y56A,CTE program sequences in Digital Media,,CTE,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,26.0,,Soccer,,,,,,,,,N,,,,0.32,,,1.0,,,,,,,,,
L53A,"All students but especially non-actors can opt for the Science Research path that leads to Chemistry, AP Environmental ,and AP Biology courses.",,,,,,,English as a New Language,,,,8am,,,,,,,Performing Arts,,,,,,43.0,,Fitness and Yoga classes,,,,,,,,,N,,,,0.42,,,,,,,,,,,,
X62X,"Health Career Awareness, Lehman College-Pathways to Nursing, Montefiore Hospital-Mentoring In Medicine, New York University-Mini-Meds Program.",,,,,,,English as a New Language,,,,8:10am,,,,,,,Health Professions,,,,,,99.0,,Boys Basketball,,,,,,,,,N,,,,0.61,,,,,,,,,,,,
Q26G,,,"Math, Science",,,,,English as a New Language,,,,8:15am,,,,,,,Science & Math,,,,,,171.0,,"Cheerleading, Weightlifting",,,,,,,,,Y,,,,0.82,,,,,,,,,,,,
M25A,"Mathematics: Algebra I, Algebra II, Applied Math, Geometry, Precalculus",,"Math, Science",,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,381.0,,"Track, Ultimate Frisbee",,,,,,,,,N,,,,0.87,,,,,,,,,,,,
K04X,,,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,69.0,,,,,,,,,,,N,,,,0.68,,,,,,,,,,,,
L65A,"Creative Writing, Ethics, Psychology, Automotive Tech, Music Production, Graphic Design, Computer Tech",,,,,,Then to New York City residents,English as a New Language,,,,8:45am,,,,,,,Humanities & Interdisciplinary,,,,,,116.0,,"Basketball, Football, Lacrosse, Tennis, Track",,,,,,,,,Y,,,,0.67,,,,,,,,,,,,
A15A,Humanities sequence includes Philosophy coursework; Electives in the Sciences and Creative Arts,,,,,,,English as a New Language,,,,8am,,,,,,,Science & Math,,Standardized Test Scores: Average (3.7-4.5),,,,158.0,,"PSAL Coed: Cross Country. Coed Fitness Program: Basketball, Biking, Cheerleading, Soccer.",,,,,,,,,Y,,,,0.97,,,,,,,,,,,,
X27A,"Honors Classes, College Trips, Cultural Field Trips, Regular Community Service Trips, College-Level Research Projects",,,,,,Then to New York City residents,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,93.0,,"JV Basketball, Step Team, Dance Team, TriLatino",,,,,,,,,Y,,,,0.48,,,,,,,,,,,,
X86R,,,,,,,,English as a New Language,,,,7:45am,,,,,,,Humanities & Interdisciplinary,,,,,,39.0,,,,,,,,,,,N,,,,0.37,,,1.0,,,,,,,,,
Q39Z,,,"Math, Science",,,,,English as a New Language,,,,8:00am,,,,,,,Zoned,,,,,,,,Triathlon Team,,,,,,,,,N/A - zoned program,,,,0.72,,,,,,,,,,,,
A25A,Partnership with Institute of Play (IOP),No,,,,,,English as a New Language,,,,8:05am,,,,,,,Humanities & Interdisciplinary,,,,,,208.0,,"Basketball, Campus Cheerleading Squad, Cross Country, Wrestling",,,,,,,,,Y,,,N/A - continuing program,,,,,,,,,,,,N/A - continuing program,
X07R,Credit Recovery for students to make up for shortfalls in required courses.,,,,,,,English as a New Language,,,,8:20am,,,,,,,Health Professions,,,,,,98.0,,"Intramural Basketball, Dance, Double Dutch, Soccer, Step, Track, Volleyball, Weight Training",,,,,,,,,N,,,,0.48,,,,,,,,,,,,
A17A,"Academic Partners: Hochman Writing, Generation Citizen, Solar One, Stock Market Game, One to World, NY Cares, Project Rousseau",,Science,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,148.0,,,,,,,,,,,Y,,,,0.56,,,,,,,,,,,,
Y61A,"Courses in Game Design, Garageband, Adobe Illustrator, Garage Robotics, Software Engineering",,,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,181.0,,Intramural basketball,,,,,,,,,Y,,,,,,,,,,,,,,,,
K27A,Senior English and Brooklyn History have both received the advanced DOE designation as college preparatory courses.,No,,,,,,English as a New Language,,,,8:25am,,,,,,,Humanities & Interdisciplinary,,,,,,124.0,,"Basketball, Soccer, Swimming, Cheerleading, Track, Baseball, Softball",,,,,,,,,Y,,,N/A - continuing program,0.5,,,,,,,,,,,N/A - continuing program,
K61D,,Yes-10,,,,Then to New York City residents who signed in at a fair or at an information session,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8:05am,,,,,,,Performing Arts,,,,,,28.0,,,,,,,Yes-5,Demonstrated Interest: School Visit,,,N,,,107,0.34,,,,,,,,,,,N,
L72A,Liberation Diploma Plus uses multiple resources and employers to enhance our Learn to Work Program.,,,,,,,English as a New Language,,,,8:50am,,,,,,,Humanities & Interdisciplinary,,,,,,3.0,,Basketball,,,,,,,,,N/A - transfer school,,,,,,,,,,,,,,,,
Q70A,"CUNY College Now at RFK Campus-Queensborough Community College, Advanced Art, Digital Photography, Computer Applications, Web Design, Criminal Justice",,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,109.0,,"Handball, Track, Badminton, Wrestling",,,,,,,,,Y,,,,0.69,,,,,,,,,,,,
X63X,Bridge program which supports transition to high school,,,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,109.0,,"Cheerleading, Dance, Double Dutch, Extreme Fitness, Step, Flag Football, Track and Field, Tennis, Volley Ball and Softball",,,,,,,,,N,,,,0.5,,,,,,,,,,,,
X94A,"Studio Art, Advanced Art, Drawing, Publishing, Photography, Advanced Spanish.",,,,,,,English as a New Language,,,,8:20am,,,,,,,Humanities & Interdisciplinary,,,,,,76.0,,"Baseball, Girls Basketball, Track",,,,,,,,,N,,,,0.23,,,,,,,,,,,,
M42J,"Partners: American Folk Art Museum, Buffalo State, CSC, ETA, Park Avenue Armory, Roundabout Theater, Tribeca Film Institute, UCB, Western Wind",Yes-2,Arts,Please review audition requirements and rubrics and register for an audition timeslot on our website tuhs.nyc,,,,English as a New Language,,,,8:10am,,,,,,,Performing Arts,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.8-4.5)",Please review audition requirements and rubrics and register for an audition timeslot on our website tuhs.nyc,N,Please review audition requirements and rubrics and register for an audition timeslot on our website tuhs.nyc,36.0,,,,Instrumental Music,,,Yes-2,Initial Filter: Audition,,,N,,Interview,306,0.85,,157,,," OR (B) a classical or musical theater selection. For the classical or musical theater selection applicants must bring the sheet music in the key in which they will sing. Applicants must sing with the provided accompanist. Applicants should be able to demonstrate both chest and head voice and will be asked to repeat vocal phrases in order to demonstrate rhythm, tonal memory, and basic vocal technique. Ability to take direction will be strongly considered.",,,,"Standardized Test Scores: English Language Arts (2.2-4.5), Math (2.0-4.5)","Come prepared to (1) sing a memorized song from a Broadway musical; AND (2) present a memorized one-minute monologue from a published play or musical, or a poem. Applicants must bring the sheet music in the key in which they will sing and must sing with the provided accompanist. Applicants may also be asked to repeat vocal phrases in order to demonstrate rhythm, tonal memory and basic vocal technique, and/or replicate a dance combination. Ability to take direction will be strongly considered.",Y,
