source_relation,amazon_order_id,order_item_id,promotion_id
amazon_selling_partner.public,ORDER00000,ITEM00000,promo2024
amazon_selling_partner.public,ORDER00001,ITEM00001,promo2024
amazon_selling_partner.public,ORDER00002,ITEM00002,promo2024
amazon_selling_partner.public,ORDER00003,ITEM00003,promo2024
amazon_selling_partner.public,ORDER00004,ITEM00004,promo2024
amazon_selling_partner.public,ORDER00005,ITEM00005,promo2024
amazon_selling_partner.public,ORDER00006,ITEM00006,promo2024
amazon_selling_partner.public,ORDER00007,ITEM00007,promo2024
amazon_selling_partner.public,ORDER00008,ITEM00008,promo2024
amazon_selling_partner.public,ORDER00009,ITEM00009,promo2024
amazon_selling_partner.public,ORDER00010,ITEM00010,promo2024
amazon_selling_partner.public,ORDER00011,ITEM00011,promo2024
amazon_selling_partner.public,ORDER00012,ITEM00012,promo2024
amazon_selling_partner.public,ORDER00013,ITEM00013,promo2024
amazon_selling_partner.public,ORDER00014,ITEM00014,promo2024
amazon_selling_partner.public,ORDER00015,ITEM00015,promo2024
amazon_selling_partner.public,ORDER00016,ITEM00016,promo2024
amazon_selling_partner.public,ORDER00017,ITEM00017,promo2024
amazon_selling_partner.public,ORDER00018,ITEM00018,promo2024
amazon_selling_partner.public,ORDER00019,ITEM00019,promo2024
amazon_selling_partner.public,ORDER00020,ITEM00020,promo2024
amazon_selling_partner.public,ORDER00021,ITEM00021,promo2024
amazon_selling_partner.public,ORDER00022,ITEM00022,promo2024
amazon_selling_partner.public,ORDER00023,ITEM00023,promo2024
amazon_selling_partner.public,ORDER00024,ITEM00024,promo2024
amazon_selling_partner.public,ORDER00025,ITEM00025,promo2024
amazon_selling_partner.public,ORDER00026,ITEM00026,promo2024
amazon_selling_partner.public,ORDER00027,ITEM00027,promo2024
amazon_selling_partner.public,ORDER00028,ITEM00028,promo2024
amazon_selling_partner.public,ORDER00029,ITEM00029,promo2024
amazon_selling_partner.public,ORDER00030,ITEM00030,promo2024
amazon_selling_partner.public,ORDER00031,ITEM00031,promo2024
amazon_selling_partner.public,ORDER00032,ITEM00032,promo2024
amazon_selling_partner.public,ORDER00033,ITEM00033,promo2024
amazon_selling_partner.public,ORDER00034,ITEM00034,promo2024
amazon_selling_partner.public,ORDER00035,ITEM00035,promo2024
amazon_selling_partner.public,ORDER00036,ITEM00036,promo2024
amazon_selling_partner.public,ORDER00037,ITEM00037,promo2024
amazon_selling_partner.public,ORDER00038,ITEM00038,promo2024
amazon_selling_partner.public,ORDER00039,ITEM00039,promo2024
amazon_selling_partner.public,ORDER00040,ITEM00040,promo2024
amazon_selling_partner.public,ORDER00041,ITEM00041,promo2024
amazon_selling_partner.public,ORDER00042,ITEM00042,promo2024
