source_relation,amazon_order_id,order_item_id,asin,seller_sku,title,product_info_detail_number_of_items,scheduled_delivery_start_date,scheduled_delivery_end_date,quantity_ordered,quantity_shipped,item_price_amount,item_price_currency_code,item_tax_amount,item_tax_currency_code,shipping_discount_amount,shipping_discount_currency_code,shipping_discount_tax_amount,shipping_discount_tax_currency_code,shipping_price_amount,shipping_price_currency_code,shipping_tax_amount,shipping_tax_currency_code,promotion_discount_amount,promotion_discount_currency_code,promotion_discount_tax_amount,promotion_discount_tax_currency_code,condition_id,condition_note,condition_subtype_id,buyer_requested_cancel_reason,is_buyer_requested_cancel,deemed_reseller_category,ioss_number,is_gift,is_transparency,is_serial_number_required,store_chain_store_id,tax_collection_model,tax_collection_responsible_party,order_purchase_date,order_total_amount,order_total_currency_code,order_status,marketplace_id,order_total_number_of_items_shipped,order_total_number_of_items_unshipped,count_promotions_used,item_name,display_name,brand,color,size,style,product_type,package_quantity,item_classification
amazon_selling_partner.public,ORDER00000,ITEM00000,B0E7STG6605,SKU-2307,Bluetooth Speaker,3,2025-01-28,2025-01-29,2,1,-32.520000,USD,8.620000,,-9.080000,USD,-0.940000,USD,-4.520000,USD,-2.850000,USD,11.010000,USD,-3.030000,USD,New,Note for condition 0,New,Delayed delivery,f,IOSS,IOSS-43539,f,f,t,Store-78,MarketplaceFacilitator,Amazon Services,2024-12-31 18:11:28,2329.860000,USD,Canceled,MPIDRANDOM,3,0,1,flatscreen TV,product_1,Waystar Royco,Gold,Gifting Sizing Kit,Brutalist,FOOD,1,BASE_PRODUCT
amazon_selling_partner.public,ORDER00001,ITEM00001,B0E7STG6684,SKU-2112,Bluetooth Speaker,7,2025-01-23,2025-01-31,5,6,8099.240000,USD,8.000000,,1000.010000,USD,1000.130000,USD,1700.760000,USD,2111.190000,USD,3000.750000,USD,-0.320000,USD,New,Note for condition 1,Mint,Found cheaper,t,IOSS,IOSS-11208,f,f,t,Store-83,MarketplaceFacilitator,Amazon Services,2025-01-07 18:11:28,-242.450000,USD,Unshipped,MPIDRANDOM,5,2,1,massage chair,product_1,Waystar Royco,Tan,Sizing Kit,Minimalist,CAMPING,1,OTHER
amazon_selling_partner.public,ORDER00002,ITEM00002,B0E7STG4721,SKU-6455,Phone Case,1,2025-01-26,2025-02-01,8,9,-2001.980000,USD,-2.630000,,-4000.220000,USD,0.010000,USD,-1000.540000,USD,-3123.690000,USD,-19.200000,USD,3000.870000,USD,New,Note for condition 2,Very Good,Changed mind,f,IOSS,IOSS-98378,f,t,t,Store-91,MarketplaceFacilitator,Amazon Services,2025-01-20 18:11:28,284.360000,USD,Pending,MPIDRANDOM,6,0,1,jacket,product_1,Waystar Royco,Charteuse,1,Maximilist,PET_SUPPLIES,1,PRODUCT_BUNDLE
amazon_selling_partner.public,ORDER00003,ITEM00003,B0E7STG7286,SKU-8147,Laptop Stand,6,2025-01-28,2025-01-31,9,4,39.010000,USD,3.110000,,0.920000,USD,-1000.380000,USD,5.680000,USD,1.100000,USD,-1900.860000,USD,0.090000,USD,New,Note for condition 3,Acceptable,Found cheaper,f,IOSS,IOSS-33025,f,f,t,Store-22,MarketplaceFacilitator,Amazon Services,2025-01-16 18:11:28,-2036.140000,USD,Unshipped,MPIDRANDOM,3,6,1,cable subscription,product_1,Waystar Royco,ginger,2,Postmodern,PET_SUPPLIES,1,VARIATION_PARENT
amazon_selling_partner.public,ORDER00004,ITEM00004,B0E7STG6845,SKU-9543,Bluetooth Speaker,8,2025-01-26,2025-01-29,3,9,57.610000,USD,3.550000,,9.740000,USD,1.130000,USD,16.480000,USD,4.870000,USD,16.670000,USD,0.120000,USD,New,Note for condition 4,Poor,Changed mind,t,IOSS,IOSS-18590,t,f,f,Store-99,MarketplaceFacilitator,Amazon Services,2025-01-16 18:11:28,294.030000,USD,Pending,MPIDRANDOM,3,2,1,laptop,product_1,Waystar Royco,cerulean,3,Elegant,CAMPING,1,BASE_PRODUCT
amazon_selling_partner.public,ORDER00005,ITEM00005,B0E7STG9922,SKU-2514,Phone Case,7,2025-01-28,2025-02-01,7,7,74.440000,USD,1.870000,,0.140000,USD,0.210000,USD,11.350000,USD,0.730000,USD,19.820000,USD,-3001.970000,USD,New,Note for condition 5,Club,Delayed delivery,f,IOSS,IOSS-95905,t,t,f,Store-47,MarketplaceFacilitator,Amazon Services,2025-01-07 18:11:28,124.380000,USD,Shipped,MPIDRANDOM,1,2,1,banker's lamp,product_1,Waystar Royco,oxblood,4,Modern,CAMPING,1,OTHER
amazon_selling_partner.public,ORDER00006,ITEM00006,B0E7STG1865,SKU-7898,Wireless Mouse,4,2025-01-24,2025-01-31,7,1,42.370000,USD,3.480000,,3.190000,USD,0.410000,USD,4.290000,USD,0.400000,USD,0.370000,USD,4.340000,USD,New,Note for condition 6,OEM,Found cheaper,t,IOSS,IOSS-74555,f,f,f,Store-92,MarketplaceFacilitator,Amazon Services,2025-01-05 18:11:28,65.240000,USD,Shipped,MPIDRANDOM,4,2,1,standing desk,product_1,Waystar Royco,banana,5,"Modern, Elegant",CLOTHING,1,PRODUCT_BUNDLE
amazon_selling_partner.public,ORDER00007,ITEM00007,B0E7STG4397,SKU-3309,Wireless Mouse,4,2025-01-28,2025-02-02,7,6,39.380000,USD,8.560000,,7.310000,USD,0.970000,USD,12.990000,USD,4.100000,USD,19.750000,USD,3.990000,USD,New,Note for condition 7,Warranty,Found cheaper,t,IOSS,IOSS-55443,t,t,f,Store-76,MarketplaceFacilitator,Amazon Services,2024-12-30 18:11:28,359.600000,USD,Shipped,MPIDRANDOM,2,10,1,water bottle,product_1,Waystar Royco,salmon,6,Heritage,CAMPING,1,VARIATION_PARENT
amazon_selling_partner.public,ORDER00008,ITEM00008,B0E7STG6340,SKU-4194,Laptop Stand,5,2025-01-25,2025-01-29,10,7,-25.260000,USD,7.480000,,5.110000,USD,0.450000,USD,19.240000,USD,1.340000,USD,6.310000,USD,3.080000,USD,New,Note for condition 8,Refurbished Warrnty,Changed mind,t,IOSS,IOSS-65630,f,f,f,Store-33,MarketplaceFacilitator,Amazon Services,2025-01-19 18:11:28,34.990000,USD,Unshipped,MPIDRANDOM,0,5,1,iphone 16s,product_1,Waystar Royco,olive,7,Traditional,CAMPING,1,BASE_PRODUCT
amazon_selling_partner.public,ORDER00009,ITEM00009,B0E7STG1461,SKU-5170,Bluetooth Speaker,9,2025-01-24,2025-01-30,2,2,-53.520000,USD,1.640000,,3.490000,USD,0.530000,USD,3.390000,USD,4.730000,USD,11.210000,USD,1.350000,USD,New,Note for condition 9,Refurbished,Found cheaper,t,IOSS,IOSS-67162,t,f,f,Store-52,MarketplaceFacilitator,Amazon Services,2025-01-24 18:11:28,60.210000,USD,Unshipped,MPIDRANDOM,3,2,1,golden doodle puppy,product_1,Waystar Royco,merlot,8,Horizon,FOOD,1,OTHER
