source_relation,_fivetran_synced,asin,identifier,identifier_type,marketplace_id
amazon_selling_partner.public,2024-04-12 06:55:44,B0E7STG6605,5947985,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-07-11 07:45:16,B0E7STG6684,5947986,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-02-08 06:24:11,B0E7STG4721,5947987,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-07-31 11:21:12,B0E7STG7286,5947988,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-01-27 16:13:49,B0E7STG6845,5947989,JAN,MPIDRANDOM
amazon_selling_partner.public,2025-01-19 09:21:28,B0E7STG9922,5947990,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-09-24 01:51:33,B0E7STG1865,5947991,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-12-29 02:34:50,B0E7STG4397,5947992,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-09-26 06:32:51,B0E7STG6340,5947993,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-05-16 21:05:57,B0E7STG1461,5947994,EAN,MPIDRANDOM
amazon_selling_partner.public,2024-07-28 14:39:31,B0E7STG1446,5947995,GTIN,MPIDRANDOM
amazon_selling_partner.public,2025-01-07 08:17:22,B0E7STG5396,5947996,ISBN,MPIDRANDOM
amazon_selling_partner.public,2025-01-08 18:35:37,B0E7STG3434,5947997,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-09-05 20:08:07,B0E7STG5263,5947998,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-11-22 03:20:38,B0E7STG5688,5947999,SKU,MPIDRANDOM
amazon_selling_partner.public,2024-07-24 01:40:40,B0E7STG7997,5948000,UPC,MPIDRANDOM
amazon_selling_partner.public,2024-03-05 02:17:25,B0E7STG6585,5948001,ASIN,MPIDRANDOM
amazon_selling_partner.public,2024-12-10 17:41:12,B0E7STG2159,5948002,EAN,MPIDRANDOM
amazon_selling_partner.public,2025-01-03 05:20:51,B0E7STG5684,5948003,GTIN,MPIDRANDOM
amazon_selling_partner.public,2024-10-11 00:58:35,B0E7STG6114,5948004,ISBN,MPIDRANDOM
amazon_selling_partner.public,2024-02-21 23:11:58,B0E7STG6075,5948005,JAN,MPIDRANDOM
amazon_selling_partner.public,2024-05-21 13:25:55,B0E7STG7881,5948006,MINSAN,MPIDRANDOM
amazon_selling_partner.public,2024-11-26 15:25:26,B0E7STG8292,5948007,SKU,MPIDRANDOM
