maprojid,projectid,adopt_citycost,spent_ccexempt,plannedcommit_noncitycost,allocate_citycost,spent_total_checkbooknyc,spent_noncitycost,magency,adopt_ccexempt,plannedcommit_citycost,plannedcommit_nccother,allocate_nccother,commit_total,allocate_total,adopt_nccfederal,description,spent_nccstate,maxdate,spent_nccfederal,commit_citycost,magencyacro
846P-304CRLB,P-304CRLB,3363000.0,0.0,0.0,904.49,2725242.94,0.0,846,0.0,0.0,0.0,0.0,41305.47,904.49,0.0,"CHELSEA REC CTR ROOF DECK, LOCKER RM & BTHRM M260-114M",0.0,2028-06-01T00:00:00.000,0.0,41305.47,DPR
846P-1PAVBRX,P-1PAVBRX,5775000.0,0.0,0.0,772074.37,662432.75,0.0,846,0.0,892000.0,0.0,0.0,2156461.42,772074.37,0.0,Bronx Pavement Reconstruction (SoGR) XG-419M,0.0,2031-06-01T00:00:00.000,0.0,2156461.42,DPR
856CO278TOIL,CO278TOIL,0.0,0.0,0.0,0.0,0.0,0.0,856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360 ADAMS ST. - CODE COMPLIANT TOILET UPGRADE,0.0,2030-06-01T00:00:00.000,0.0,0.0,DCAS
826PS-291,PS-291,48006000.0,3468100.3,0.0,10411592.11,1082072.76,0.0,826,48006000.0,10410000.0,0.0,0.0,34126307.59,10411592.11,0.0,154TH STREET PUMPING STATION,0.0,2033-06-01T00:00:00.000,0.0,34126307.59,DEP
072C75NICADA,C75NICADA,677000.0,0.0,0.0,496537.56,102880.0,0.0,72,0.0,0.0,0.0,0.0,17120.0,496537.56,0.0,NIC Annex Shower-2010 ADA Compliance-Dorm 1& 2B,0.0,2028-06-01T00:00:00.000,0.0,17120.0,DOC
039LQMTGRMS,LQMTGRMS,60000.0,0.0,0.0,60000.0,0.0,0.0,39,0.0,60000.0,0.0,0.0,0.0,60000.0,0.0,"BRIARWOOD, KGH, POMONOK, AND HILLCREST",0.0,2027-06-01T00:00:00.000,0.0,0.0,QPL
850LNEM14WKF,LNEM14WKF,1152000.0,0.0,0.0,16126.71,684062.16,0.0,850,0.0,0.0,0.0,0.0,1300.0,16126.71,0.0,Bolier Replacement,0.0,2026-06-01T00:00:00.000,0.0,1300.0,DDC
806HAM21LMPG,HAM21LMPG,275000.0,0.0,0.0,275000.0,0.0,0.0,806,0.0,275000.0,0.0,0.0,0.0,275000.0,0.0,LEGGET MEMORIAL PLAYGROUND UPGRADE GAYLORD WHITE HOUSES,0.0,2026-06-01T00:00:00.000,0.0,0.0,HPD
846SANDY5-18,SANDY5-18,3432000.0,0.0,0.0,2883902.69,4955525.64,4438299.33,846,0.0,2869000.0,0.0,0.0,0.0,2892603.36,4447000.0,SANDY-Midland Beach Protective Berm Emergency,0.0,2033-06-01T00:00:00.000,4438299.33,0.0,DPR
126PV274-AH2,PV274-AH2,4450000.0,0.0,0.0,4450000.0,0.0,0.0,126,0.0,3950000.0,0.0,0.0,0.0,4450000.0,0.0,NYHOS -  New York Hall of Science - Air Handlers Replacement,0.0,2033-06-01T00:00:00.000,0.0,0.0,DCLA
826CS-GC-SFS,CS-GC-SFS,2488073000.0,757889885.1,0.0,1317485381.45,634527141.95,0.0,826,2488073000.0,641858000.0,0.0,0.0,412697733.45,1317485381.45,0.0,CONSTRUCTION OF GOWANUS CSO RETENTION FAC SUPERFUND SITE,0.0,2035-06-01T00:00:00.000,0.0,412697733.45,DEP
850C75EWAMKC,C75EWAMKC,22725000.0,0.0,0.0,-1280.0,21822882.98,0.0,850,0.0,0.0,0.0,0.0,418384.87,-1280.0,0.0,Emergency Work for AMKC,0.0,2030-06-01T00:00:00.000,0.0,418384.87,DDC
850PWMNYORKA,PWMNYORKA,61000.0,0.0,0.0,61000.0,0.0,0.0,850,0.0,61000.0,0.0,0.0,0.0,61000.0,0.0,NEW YORK ACADEMY OF SCIENCES,0.0,2029-06-01T00:00:00.000,0.0,0.0,DDC
