name,swdseats_prog15,swdfilled_prog8,selectioncriteria5_prog7,swdseats_prog2,swdapps_prog9,code_prog12,swdapps_prog2,swdapps_prog12,swdfilled_prog12,name_prog11,swdseats_prog9,selectioncriteria3_prog3,bbl,geappsperseat_prog13,swdappsperseat_prog2,geappsperseat_prog2,priority6_prog1,languageclasses,admissionsmethod_prog9,sharedbuilding,name_prog2,name_prog10,swdfilled_prog1,geappsperseat_prog3,name_prog3,selectioncriteria1_prog13,swdseats_prog6,geappsperseat_prog14,admissionsmethod_prog10,champsgirls,eligibility_prog6,geapps_prog2,admissionsmethod_prog15,priority2_prog3,swdappsperseat_prog3,selectioncriteria1_prog5,swdfilled_prog14,district,swdappsperseat_prog5,selectioncriteria4_prog2,ellprograms,eligibility_prog12,admissionsmethod_prog7,gefilled_prog9,selectioncriteria2_prog3,other_features,swdappsperseat_prog9,swdapps_prog7,nta,name_prog5,selectioncriteria1_prog7,tophs3,geapps_prog11,community_board,swdseats_prog4,eligibility_prog1,name_prog14,swdappsperseat_prog14,name_prog8
East New York Middle School of Excellence (19K678),,,,,,,,,,,,,3040690001.0,,,,,French,,1,,,1.0,,,,,,,,,,,,,,,19,,,English as a New Language,,,,,,,,East New York,,,,,305.0,,Open to students and residents of District 19,,,
P.S. 095 Sheila Mencher (10X095),,,,,,,,,,,,,2032520182.0,,,,,French,,0,,,0.0,,,,,,,,,,,,,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,,,,Van Cortlandt Village,,,,,208.0,,Open to students and residents of the Bronx,,,
M.S. X101 Edward R. Byrne (08X101),,,,,,,,,,,,,2055470001.0,,,,,Spanish,,0,M.S. X101 Edward R. Byrne D75 Inclusion Program,,0.0,7.0,The Edward R. Byrne School (M.S. 101) Academic Program,,,,,,,,,Then to District 8 students and residents,4.0,,,8,,,English as a New Language,,,,,Uniform,,,Schuylerville-Throgs Neck-Edgewater Park,,,Pelham Preparatory Academy,,210.0,,Open to students and residents of the Bronx,,,
J.H.S. 054 Booker T. Washington (03M054),,,,,,,,,,,,,1018620011.0,,,,,French;Latin;Mandarin;Other Language;Spanish,,0,,,0.0,,,,,,,,,,,,,,,3,,,English as a New Language,,,,,"Diversity in Admissions,Extended Day",,,Morningside Heights,,,Stuyvesant High School,,107.0,,Open to students and residents of District 3,,,
In-Tech Academy (M.S. / High School 368) (10X368),,,,5.0,,,5.0,,,,,,2057160725.0,,1.0,2.0,,Spanish,,0,Application Program,,0.0,2.0,Zoned Program,,,,,,,48.0,,Then to District 10 students and residents,1.0,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Spuyten Duyvil-Kingsbridge,,,,,208.0,,Open to students and residents of the Bronx,,,
P.S. 238 Anne Sullivan (21K238),,,,,,,,,,,,,3066400013.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,21,,,English as a New Language;Dual Language: Spanish,,,,,,,,Homecrest,,,Edward R. Murrow High School,,315.0,,Open to continuing 5th grade students and students residing in the zone,,,
M.S. 113 Ronald Edmonds Learning Center (13K113),,,,10.0,,,36.0,,,,,Attendance,3021030004.0,,4.0,2.0,,,,0,Fine Arts & Design,,1.0,2.0,Academy of Performing Arts,,,,,,,120.0,,,2.0,,,13,,Final 4th Grade Report Card,English as a New Language;Dual Language: Spanish,,,,Academic and Personal Behavior Scores,"Extended Day,Summer Session,Uniform",,,Fort Greene,,,,,302.0,16.0,Open to students and residents of Brooklyn,,,
Vista Academy (19K661),,,,,,,,,,,,,3039690001.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,19,,,English as a New Language,,,,,"Extended Day,Uniform,Weekend Program",,,East New York,,,,,305.0,,Open to students and residents of District 19,,,
Lyons Community School (14K586),,,,,,,,,,,,,3030250001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,14,,,English as a New Language,,,,,"Extended Day,Summer Session,Weekend Program",,,East Williamsburg,,,New Visions A.I.M. Charter High School I,,301.0,,Open to students and residents of Brooklyn and Queens,,,
Bronx Dance Academy School (10X308),,,,7.0,,,62.0,,,,,,2033290124.0,,9.0,11.0,,Spanish,,1,Visual Arts (Visual Art & Design),,1.0,,,,,,,,,255.0,,,,,,10,,Final 4th Grade Report Card,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Norwood,,,Bronx Envision Academy,,207.0,,Open to students and residents of the Bronx,,,
One World Middle School at Edenwald (11X529),,,,,,,,,,,,,2049350001.0,,,,,American Sign Language,,1,ONE WORLD MIDDLE SCHOOL AT EDENWALD ASD NEST PROGRAM,,1.0,,,,,,,,,,,,,,,11,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Eastchester-Edenwald-Baychester,,,Harry S Truman High School,,212.0,,Open to students and residents of the Bronx,,,
East Flatbush Community Research School (18K581),,,,,,,,,,,,,3046060025.0,,,,Then to Brooklyn students and residents,Korean,,1,,,0.0,,,,,,,,,,,,,,,18,,,English as a New Language,,,,,,,,Prospect Lefferts Gardens-Wingate,,,,,317.0,,Open to students and residents of Brooklyn,,,
I.S. 061 Leonardo Da Vinci (24Q061),,,,,,,,,,,,,4018910032.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,24,,,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,,,,,,,,Corona,,,High School for Arts and Business,,404.0,,Open to students residing in the zone,,,
