schooldbn,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1,nan with telephone,Academic and Personal Behavior Scores with telephone,All student applicants must come for our open Auditions in January. with telephone,Attendance with telephone
22K206,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chorus, Coding, Creative Writing, Dance, Debate, Drama, Fitness, Guitar, Homework Help, Leadership, Math Team, Music, Musical Theater, Peer Mediation, Restorative Circles, School Newspaper, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Urban Arts, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,718-743-5598,,,
04M224,,,,,,,,,,,,,,,,,,,,"Art, Band, Dance, Debate, Gardening, Restorative Circles, Talent Show, Tutoring, Yearbook",,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,212-860-6047,,,
31R080,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Chorus, Dance, Fitness, National Junior Honor Society, Technology",,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,718-815-0186,,,
17K722,,,,,,,,,,,,,,,,,,,,"Coding, Cooking, Dance, Debate, Engineering, Homework Help, Leadership, Lego Robotics, National Junior Honor Society, Peer Mediation, Robotics, Saturday Academy, Science Olympiad, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook, Medgar Evers College S.T.E.P., Girls Empowerment Movement (GEM), Peer Group Connection Peer Leaders, Achievement Mentoring , National Junior Broadway",,,,,BROOKLYN,,,,,,,Then to District 17 students and residents who sign in at an event,,,,,,,,,,,,,41.0,,,,,,,,,,,,,718-467-4501,,,
06M278,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Green Team, Guitar, Music, Musical Theater, Photography, Saturday Academy, Student Council, Technology, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,,917-521-2060,,,
11X180,Then to Bronx students and residents,,,,,,,,,,,,,1.0,,,,,1.0,"Art, Band, Chorus, Coding, Dance, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, STEM, Visual Arts",,,,,BRONX,,,,,,112.0,,,,Priority to residents of the middle school zone,,,,,,,0.0,,,12.0,,,Academic and Personal Behavior Scores,,,Open to students and residents of the Bronx,,,,,,,,,718-904-5650,
24Q061,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,718-760-3233,,,
12X318,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Chorus, Coding, Comic Book Club, Dance, Debate, Drama, Engineering, Green Team, Guitar, Leadership, Lego Robotics, Math Team, Music, Musical Theater, National Junior Honor Society, Peer Mediation, Photography, Restorative Circles, Robotics, Rock Band, Saturday Academy, Science Club, Service Learning, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook, Mock Trials",,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,718-294-8504,,,
01M188,,,,,,,,,,,,,,0.0,,,,,,"Saturday Academy, Student Council, Technology, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,2.0,,,4th Grade New York State ELA and Math Exams,,,,,,,,,,,212-677-5710,,
18K068,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Cooking, Dance, Gardening, Leadership, STEM",,,,,BROOKLYN,,,,,,50.0,,,,Priority to residents of the middle school zone,,,,,,,,,,46.0,,,4th Grade New York State ELA and Math Exams,,,Open to students and residents of District 18,,,,,,,,718-241-4800,,
21K288,,,,,,,,,,,,,,0.0,,,,,,"Chorus, Dance, Leadership, Math Team, Student Council",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,718-382-2100,,,
15K464,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,39.0,,,,,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.",,,,,,,,718-832-4300,,,
19k678,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-257-4061,,,
17K590,,,,,,,,,,,,,,,,,,,,"Art, Chess, Choir, Chorus, Coding, Comic Book Club, Dance, Engineering, Homework Help, Leadership, Lego Robotics, Music, National Junior Honor Society, Peer Mediation, Robotics, Saturday Academy, School Newspaper, STEM, Student Council, Technology, Tutoring, Visual Arts, Yearbook",,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,718-703-5400,,,
03M250,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Comic Book Club, Cooking, Dance, Drama, Fitness, Homework Help, Restorative Circles, Service Learning, Spelling Bee, Student Council, Talent Show, Theater, Tutoring, Visual Arts, Yearbook, Blended Online Learning Modules, Customized Online Student Portals, High School Articulation Workshops, One-on-One Academic Coaching, Hands In 4 Youth Free After-School Program",,On-Site Assessment,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,6.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,,212-866-6313,,,
11X529,,,,,,,,,,,,,,0.0,,,,,,"Art, Book Club, Chess, Coding, Fitness, Homework Help, Math Team, Music, Peer Mediation, Restorative Circles, Saturday Academy, Step Team, Tutoring, Video Game Club, Yearbook",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,12.0,,,,,,,,,,,,,718-515-6780,,,
10X003,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,15.0,,,,,,,,,,,,,718-584-1899,,,
23K392,,,,,,,,,,,,,,,,,,,,,,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,718-498-2491,,,
13K492,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,718-222-1605,,,
20K192,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chorus, Coding, Engineering, Fitness, Homework Help, Math Team, Music, Peer Mediation, School Newspaper, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,718-633-3061,,,
