code1,fax_number,academicopportunities1,requirement1_2,admissionspriority18,state_code,requirement2_5,grade9gefilledflag9,common_audition2,eligibility7,appperseat6specialized,requirement5_4,grade9swdapplicantsperseat7,offer_rate2_2,admissionspriority31,method8,requirement5_6,method9,interest8,appperseat5specialized,requirement3_4,seats107,code6,seats108,requirement5_8,requirement1_3,offer_rate1_9,grade9geapplicants6,auditioninformation2,seats109,requirement3_7,seats9swd3,grade9swdapplicantsperseat4,code3,grade9swdapplicants6,program3,admissionspriority41,program7,auditioninformation6,common_audition1,seats9swd1,seats9ge1,grade9gefilledflag10,grade9swdapplicants10,admissionspriority21,grade9geapplicantsperseat9,grade9swdfilledflag1,requirement7_3,admissionspriority43,requirement3_8,prgdesc10,offer_rate1_8,requirement6_1,seats9swd5,method7,transfer,admissionspriority22,grade9geapplicants1,seats9ge5,requirement6_8,interest5,applicants1specialized,seats104,method6,grade9swdapplicantsperseat3,extracurricular_activities,requirement1_4,seats4specialized
Y28A,718-893-5982,"Character Development: advisory, career development/occupational studies, leadership elevate, peer group connection (PGC Leaders), global leadership",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,27.0,,,Open to New York City residents,,N,,,,,,,,,,,483.0,,,,,,,,"Activities Men of BSSWA, My Black is Beautiful, We Rise, Global Kids, Lyricist Lounge, Peer Mediation, SAT Prep, Student Council, Academic Clinic, Casita Maria, Theater, Gender & Sexuality Alliance (GSA), band, Regents Prep  PSAL SPORTS - GIRLS Basketball, Rugby, Volleyball and Wrestling  PSAL SPORTS - BOYS Basketball, Rugby, Soccer and Wrestling",,
X20B,718-584-5102,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",Attendance,,NY,Standardized Test Scores: Average,,1.0,,,,,94% of offers went to this group,Then to New York City residents,,,,,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,,,Attendance,,,"Perform a song without accompaniment. Audition includes on-site music tasks in which originality, pitch, one's ability to harmonize with other singers will be assessed. Check school website (www.tapconyc.org) for suggestions.",,,7.0,2.0,X20R,,Dance,,,,1.0,7.0,27.0,,,Then to Bronx students or residents,,N,,,,,,,7,,,Then to Bronx students or residents,91.0,27,,Performing Arts/Visual Art & Design,,Yes,,2.0,"Charter School Athletic League- Girls & Boys Basketball, Softball, & Baseball, Piano & Guitar Lessons, HITN, Elisa Monte Dance, Gardening, Grow NYC, Hip Hop Conservatory, PAL w Tony Danza, REDi Dance, Roundabout Theater, Special Effects & Makeup, Student Council, Latin Jazz Band, Music Production, Roundabout Theatre Company, Elisa Monte Dance, Hip Hop Dance Conservatory, Fred Dolan Art Academy, Broadway Bridges, Bronx Borough Arts Festival, Upright Citizen's Brigade Improv Contest (past winners)",Attendance,
Y56A,718-561-8707,Students graduate with Career and Technical Education Diploma,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,65.0,,,,,Y,,,,,,,,,,,163.0,,,,,,,,"PSAL SPORTS  Soccer, Softball, Volleyball, Baseball, Basketball, Pickleball ENRICHMENT Music Club, Art Club, Zumba Club, Right Brain Club, Graphic Designing Club, Movie Club, Student Government, Writing Club, French club, Muslim student support club, Hispanic heritage club ACADEMIC ENRICHMENT CLUB Regents prep, English class, Parent English classes, SAT prep, College Now classes, Saturday Academy SCHOOL-WIDE ACTIVITIES Park Trip, Ice skating trip, Team building activities, Mentor-mentee programs etc.",,
K97R,718-333-7675,"Sports Management Executive Leadership, Business of Sport Journal, Student Leadership Council, Event Planning of PSAL Sporting Events.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to New York City residents,,N,,,,,,,,,,,331.0,,,,,,,,,,
M64A,212-524-4365,"""IB for All""-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.",,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,90.0,,,Then to Manhattan students or residents,,Y,,,,,,,,,,,2500.0,,,,,,,,"Art Club, Chasing Corals Ambassadors, Cheer, Chess, Climbing Club, Clinton Soup (Literary Magazine), CUNY College Now with Baruch College, Dungeons and Dragons, Film Club, Gender Equality, GSA, Math Team, Model UN, National Honor Society, Pre-Med Club, School Leadership Team, SETA, Social Justice Club, Student Council, The Clinton Post (School Newspaper)",,
Q46A,718-658-1613,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,92.0,,,Then to New York City residents,,Y,,,,,,,,,,,665.0,,,,,,,,"Athletes Helping Athletes, COSA, Dance Club, Debate Team, DJ Production, Drama, Literary Magazine, Math Competitions, Math Honors Society, Mural Club, National Honor Society, PM School Courses, Saturday Day School and After-School Tutoring, Student Government, Studio Art, Yearbook Club",,
L74A,718-342-6329,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,25.0,,,,,N/A - transfer school,,,,,,,,,1.0,,27.0,,,,,,,,,,
X42A,718-295-3655,Academic programs are humanities-based and aligned to Common Core standards which ensure that students are prepared for college and university life.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,1574.0,,,,,,,,,,
Y42A,718-620-2561,Four-Year cinema studies curriculum in narrative filmmaking,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,65.0,,,,,Y,,,,,,,,,,,1045.0,,,,,,,,"Acting & Directing in Film, Art, Filmmaking, Film Screenings, Fitness, French, Knitting & Anime, National Honor Society, Regents Preparation, Student Activities Committee, Student Advisory Council, Tutoring, Yearbook",,
X30A,718-696-6030,The Aviation program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School and pass the FAA Written Exam,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,151.0,,,Then to New York City residents,,N,,,,,,,,,,,335.0,,,,,,,,,,
