school_name,admissionspriority34,common_audition7,bus,grade9swdfilledflag5,requirement2_4,borough,program5,requirement4_6,grade9gefilledflag1,website,offer_rate1_7,requirement4_1,grade9swdapplicantsperseat6,admissionspriority35,code8,grade9swdapplicants7,admissionspriority17,diplomaendorsements,common_audition8,interest1,offer_rate1_4,eligibility5,requirement2_9,code2,requirement4_7,boys,seats105,requirement5_7,grade9swdapplicants8,specialized,offer_rate2_3,school_sports,offer_rate2_5,auditioninformation1,seats106,admissionspriority19,grade9swdfilledflag3,seats9swd2,grade9geapplicantsperseat7,requirement4_2,shared_space,requirement7_2,requirement3_9,academicopportunities5,code10,grade9gefilledflag8,program4,pbat,grade9geapplicantsperseat4,requirement1_5,admissionspriority32,subway,interest6,seats9swd6,interest10,prgdesc8,program1,grade9gefilledflag2,grade9geapplicantsperseat10,eligibility2,requirement8_5,requirement6_3,admissionspriority210,seats9ge8,borocode,building_code,grade9geapplicantsperseat2,grade9swdapplicants2,pct_stu_safe,admissionspriority38,eligibility9,prgdesc3,admissionspriority29,prgdesc1,program10,admissionspriority26,requirement6_9,advancedplacement_courses
Bronx Studio School for Writers and Artists,,,"Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6, Bx6-SBS",,,BRONX,,,N,www.bsswa.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Rugby, Volleyball, Soccer, Wrestling",,,,,,,,,,,,"Science and Math  Elective Courses- Forensics, Everyday Physics, Global Environment, Statistics, Financial Literacy",,,,,,,,"2, 5 to Simpson Street; 6 to Hunts Point Ave",,,,,Bronx Studio School for Writers and Artists,,,,,,,,X,X392,,,0.77,,,,,,,,,"AP Drawing, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP United States History"
Theatre Arts Production Company School,Then to New York City residents,,"Bx1, Bx15, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",N,Standardized Test Scores: Average,BRONX,Visual Arts,,N,www.tapcoauditions.org,,Audition with common components,,Then to New York City residents,,,,,,Performing Arts,29% of offers went to this group,,,X20C,,,Yes,,,,82% of offers went to this group,"Baseball/Softball, Basketball, Soccer, Volleyball",75% of offers went to this group,"You may audition on more than one instrument. Perform a prepared solo selection (memorized or with sheet music). Bring your own instrument(s) (except piano, tuba, double bass, harp, percussion and guitar amplifiers, which are provided by the school). Audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory, or improvisation task).",,,N,7.0,,Audition with common components,Yes,,,,,,Drama,,3.0,Attendance,Then to New York City residents,"4 to 183rd St; B, D to 182nd-183rd Sts",,,,,Instrumental Music,N,,,,,,,X,X137,3.0,12.0,0.77,,,"Students learn modern dance, ballet, hip-hop, composition technology, and principles of dance. Pedagogy is blended to help students develop their own unique voice and gain competitive skills needed to succeed after high school.",,"Small group instruction in traditional Band Instruments. Jazz Band, Latin Band, Music Theory, Music History, Improvisation, Sight Singing, and Piano. On- or off-site private lessons by audition.",,,,"AP Computer Science Principles, AP English Language and Composition, AP Seminar, AP United States History"
Crotona International High School,,,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9",,,BRONX,,,N,www.crotonaihs.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Soccer, Softball, Volleyball, Baseball, Basketball, Pickleball, Floorball",,,,,,,,,Yes,,,"College courses, Saturday classes, after school enrichment, college and team building trips, work based learning, paid and unpaid internships, warm and inviting environment, individual student support",,,,1.0,,,,,,,,,Digital Media/Recording Entertainment Technology,,,,,,,,X,X660,,,0.92,,,,,,,,,
High School of Sports Management,,,"B1, B3, B4, B6, B64, B82, X28, X38",,,BROOKLYN,,,N,https://www.schools.nyc.gov/schools/K348,,,,,,,,,,Business,,,,,,,,,,,,,,,,,,,,,Yes,,,Early College Program with LIU-Brooklyn Campus,,,,,,,,D to Bay 50th St; N to 86th St,,,,,Sport Management,,,,,,,,K,K400,,,0.78,,,,,"A college preparatory exposure with a four-year expectation in mathematics and science rounded with a concentration in sport management. The courses available in this area are: Introduction to Sport Management, Business Communication, Event Planning, Media, Operations and Facilities Management, etc.",,,,"AP Calculus AB, AP Computer Science Principles, AP United States History"
The Clinton School,,,"BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M2, M20, M23-SBS, M3, M55, M7, M8, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,MANHATTAN,,,Y,theclintonschool.net,,Coure Grades,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Track/Cross Country, Volleyball, Ultimate Frisbee, Table Tennis",,,,,,,,,,,,"Students must devise (CAS) creativity, activity, service projects, and reflect on how the experiences helped them develop IB Learner Profile traits.",,,,,,,,"1, 2, 3, F, M to 14th St; 4, 5, 6, L, N, Q, R, W to Union Square; A, C, E, B, D to West 4th St",,,,,The Clinton School,,,,,,,,M,M868,,,0.9,,,,,"We are an International Baccalaureate (IB) World School, offering the Diploma Programme (DP). Clinton students become active, compassionate and lifelong learners. We pair the DP with The Yale Center for Emotional Intelligence to develop global citizens. Our program is an ""IB for ALL."" Students complete NYS Regents by the end of 10th grade. All IB DP candidates complete a 4,000 word research essay, a theory of knowledge course (ToK), and engage in creativity, action, and service projects (CAS).",,,,
Hillside Arts & Letters Academy,,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q65, Q76, Q77, X68",,,QUEENS,,,Y,hillsidearts.org,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,Cheerleading,,,,,,,,,Yes,,,"Partnership: FYREZONE (Finding Your Rhythm thru Education) _students learn video and music production, songwriting, and dance production.",,,,,,,,F to 169th St,,,,,Hillside Arts & Letters Academy,,,,,,,,Q,Q470,,,0.9,,,,,"All students have the opportunity to take AP courses. All juniors have the opportunity to take CUNY College Now courses for college credit. Seniors are offered the opportunity to take St. John's University approved courses and receive a transcript from the university. Incoming ninth grade students choose an art or music track. Music students are able to choose: band, chorus or piano. Students have the opportunity to take four years of art/music and graduate with an Arts Endorsed Diploma.",,,,"AP Biology, AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP Spanish Language and Culture, AP United States History"
Metropolitan Diploma Plus High School,,,"B15, B35, B60, B8",,,BROOKLYN,,,N/A - transfer school,https://www.schools.nyc.gov/schools/K647,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,3 to Rockaway Ave; L to New Lots Ave,,,,,Metropolitan Diploma Plus High School,,,,,,,,K,K275,,,0.9,,,,,,,,,"AP English Language and Composition, AP Environmental Science, AP Statistics, AP United States History"
Belmont Preparatory High School,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",,,BRONX,,,Y,belmontprephs.org,,Writing Exercise (On-Site),,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Academic partnerships with Fordham Univ. Mentoring Latinas, College Bound @ Fordham, STEP with Bronx Community College, Fordham Univ. Summer Bridge",,,,,,,,"B, D to Fordham Rd",,,,,College and University Transitional Seminar,,,,,,,,X,X435,,,0.85,,,,,"Our early college awareness program helps students explore at an early age the academic, social, financial, and personal rewards of college and to address their areas of concern and build on their strengths. In order to facilitate our mission of college preparation, all juniors and seniors are invited to participate in SAT prep courses. A college advisor and guidance staff direct students from 9-12th grade in facilitating college awareness and understanding the application process.",,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP Statistics, AP United States History"
The Cinema School,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,BRONX,,,Y,www.thecinemaschool.com,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.7-4.5)",,,,,,,,Film/Video,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,6 to Elder Ave,,,,,The Cinema School,,,,,,,,X,X423,,,0.89,,,,,We offer a rigorous liberal arts college preparatory curriculum and a four-year curriculum in narrative filmmaking.,,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Statistics, AP U.S. Government and Politics, AP United States History"
Bronx Aerospace High School,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X545,,,,,,,,,,Engineering,,,,,,,,,,,,,,,,,,,,,Yes,,,"College Now, SAT Bronx prep",,,,,,,,"2, 5 to Gun Hill Rd",,,,,Bronx Aerospace High School,,,,,,,,X,X425,,,0.75,,,,,Qualifying students will be admitted into our Aviation Program. Accepted students will learn about the engineering and aerodynamics behind flying aircrafts. Students will attend Vaughn College for Aeronautics to complete Ground School and earn college credits while preparing to pass the FAA Written Exam. Students will have access to the FMX REDBIRD Flight Simulator to begin flight training in addition to logging flight hours that can be applied towards their Private Pilot's License.,,,,"AP Computer Science Principles, AP English Language and Composition, AP Spanish Language and Culture, AP United States History"
