dbn,code1,school_10th_seats,requirement2_8,requirement3_6,bin,admissionspriority15,eligibility6,admissionspriority14,applicants2specialized,requirement1_6,code4,admissionspriority12,requirement2_7,grade9swdfilledflag9,prgdesc4,grade9swdfilledflag2,grade9geapplicantsperseat1,seats9swd8,applicants5specialized,offer_rate3_2,requirement6_6,code5,eligibility1,offer_rate1_3,grade9swdapplicants3,interest9,grade9swdapplicantsperseat10,interest3,seats101,grade9gefilledflag4,grade9swdfilledflag10,grade9gefilledflag3,academicopportunities6,offer_rate1_2,program9,admissionspriority28,requirement5_9,seats9ge2,appperseat2specialized,common_audition4,grade9swdapplicantsperseat2,requirement6_5,seats9ge4,auditioninformation8,code9,offer_rate2_4,grade9swdapplicantsperseat8,psal_sports_girls,academicopportunities4,international,bbl,applicants6specialized,grade9gefilledflag7,admissionspriority11,city,requirement4_9,seats9swd7,overview_paragraph,longitude,:@computed_region_efsh_h5xi,geocoded_column,finalgrades,:@computed_region_sbqj_enih
08X269,Y28A,,,,2116211,,,,,,,,,,,,18.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Rugby, Volleyball, Wrestling","English & History Elective Courses: Effective Writing, Creative Writing, History of Hip-Hop, and History Through Film",,2027230033,,,Priority to continuing 8th graders,BRONX,,,"Our mission is to educate, empower and embolden our students, school and community.  Our faculty and partners work tirelessly to ensure that our school is a learning environment open to all students, regardless of academic ability, and that every student is prepared for college and the world beyond. We value academic challenge, social justice, individualization, and high-quality teaching.",-73.893128,10937.0,"{'type': 'Point', 'coordinates': [-73.893128, 40.820579]}",6 to 12,24
10X225,X20B,Y,,,2013307,Priority to continuing 8th graders,,Priority to continuing 8th graders,,,X20S,Priority to continuing 8th graders,,,"Students learn acting technique, scene study, voice and diction, movement, musical theater, theater history, audition preparation, digital resume building, script analysis, directing, lighting design, and stagecraft. Students perform in full stage and small studio classical, modern, and musical theater productions.",N,3.0,,,,,X20T,,14% of offers went to this group,16.0,,,Performing Arts/Visual Art & Design,No,Y,,N,,0% of offers went to this group,,,,27.0,,1.0,2.0,,27.0,,,67% of offers went to this group,,,"Saturday school, Regents Prep, LINCT program for raising Math & ELA Regents' scores to increase college readiness",,2031430043,,,Priority to continuing 8th graders,BRONX,,,"Featured in US News and World Report's Best High Schools in America '16 & '17, students graduate with the skills necessary for success in the 21st century. Our freshman students major in Theater, Dance, Vocal Music, Instrumental Music, or Visual Studies. We typically achieve a 99% college acceptance rate with over $800,000 in offered scholarships. We have the DOE's only rooftop garden/outdoor performance space with a sustainable living-oriented curriculum. Our school's philosophy is to ""take care of ourselves and each other."" We use the Arts and Technology to provide innovative and engaging instruction that inspires students to develop their academic, creative, and world-citizen potential through a heart and hands on approach to learning.",-73.896703,10935.0,"{'type': 'Point', 'coordinates': [-73.896703, 40.854515]}",6 to 12,29
10X524,Y56A,,,,2012887,,,,,,,,,,,,3.0,,,,,,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,No,,,,CTE program(s): Recording Entertainment Technology,,,,,,,,,,,,,,,"Softball, Volleyball",Graduation with portfolio presentation in place of some Regents,1.0,2031040007,,,,BRONX,,,"Our mission is to partner with families and local organizations to serve English Language Learners who have recently immigrated to the United States from countries around the globe. Our graduates are prepared for success both in college and in careers in media & communications. Our school and classes are small; every student is known and supported to achieve. Staff and students work and learn collaboratively in heterogeneous groups. Students develop English language literacy and critical thinking skills by engaging in classroom projects, service learning, and internship programs. They learn to advocate for themselves and their families and to become active leaders in their communities.",-73.882715,10936.0,"{'type': 'Point', 'coordinates': [-73.882715, 40.855698]}",9 to 12,31
21K348,K97R,Y,,,3186454,,,,,,,,,,,,4.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",e-Sport and Gaming Club,,3068830001,,,Priority to Brooklyn students or residents,BROOKLYN,,,"At the High School of Sports Management (HSSM), students have an opportunity to engage in experiential learning opportunities, working with professionals in the areas of Sports Marketing, Sports Journalism, Sports Media, Sports Medicine, Event Planning, and Sports Law. All students must adhere to a code of conduct spelled out in the non-negotiables and a strict uniform policy (white polo shirt, black slacks, and black shoes), both designed to continually reinforce the seriousness of purpose and mission of the school. Students are also required to participate in extensive after-school and summer bridge academic enrichment programs.",-73.98577,17616.0,"{'type': 'Point', 'coordinates': [-73.98577, 40.594291]}",9 to 12,35
02M260,M64A,Y,,,1089902,,,,,,,,,,,,28.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Volleyball","Students must take a Theory of Knowledge course, that asks students to reflect on the nature of knowledge and reflect on how we know what we know.",,1008420034,,,Priority to continuing 8th graders,MANHATTAN,,,"The Clinton School is an authorized International Baccalaureate (IB) World School, offering the Diploma Programme (DP), a globally recognized college prep program. We encourage our students to become active, compassionate and lifelong learners. We have paired Diploma Programme with The Yale Center for Emotional Intelligence's RULER framework in order to support the development of balanced, well-rounded global citizens. Our upper grades program is built as an ""International Baccalaureate for ALL"" model, with students completing NYS Regents requirements by the end of 10th grade in order to participate in all IB courses in 11th and 12th grade. We have a building commitment to recruiting a diverse group of learners.",-73.992725,11724.0,"{'type': 'Point', 'coordinates': [-73.992725, 40.736518]}",6 to 12,7
28Q325,Q46A,,,,4448806,,,,,,,,,,,,7.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball","Partnership with Queens Museum of the Arts, exhibit of student work featured at the Queens Museum of Arts each year",,4098580100,,,Priority to Queens students or residents,JAMAICA,,,"The mission of Hillside Arts & Letters Academy is to offer students a challenging curriculum with a special emphasis on visual arts, music, and writing. Students at our school become self-directed and resourceful learners with a deep appreciation for the arts. We prepare students to graduate as independent thinkers who are academically well-rounded, creative, and especially well-prepared to innovate and collaborate. Our school ensures student success by providing support through advisory classes, youth development programs, and a deep commitment to our students.",-73.797237,24340.0,"{'type': 'Point', 'coordinates': [-73.797237, 40.713218]}",9 to 12,65
23K647,L74A,Y,,,3082940,,,,,,,,,,,,1.0,,,,,,For Current Eighth Grade Students-Open only to students who are at least 15 years of age and entering high school for the first time. For Other Students-Open only to students who are at least 16 years of age and have attended another high school for at least one year.,,,,,,Yes,,,,,,,,,,,,,,,,,,,Basketball,"NYC Mission Society, Transfer School Common Core Institute (Eskolta and ReDesign)",,3036360007,,,,BROOKLYN,,,"Metropolitan Diploma Plus High School is a learning community where adults are committed to supporting students' potential as they reconnect to education and embark on paths filled with opportunity. Through collaboration with New York City Mission Society and Single Shepherd, students can participate in real-world experiences that provide challenges, knowledge, choice, and positive outcomes. Students engage in learning experiences to improve college- and career-readiness skills. Youth development and leadership play an important role as students re-engage in high school.",-73.907245,17614.0,"{'type': 'Point', 'coordinates': [-73.907245, 40.656068]}","School is structured on credit needs, not grade level",46
10X434,X42A,,,,2011810,,,,,,,,,,,,18.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball","Earn college credits through: College Now, AP US History, AP Environmental Science, AP English Literature, AP Spanish Literature, AP Computer Science, AP Calculus",,2030590001,,,Priority to Bronx students or residents,BRONX,,,"Belmont Preparatory High School was founded in 2002 for academically talented students. The curriculum is based in the humanities and uses an interdisciplinary approach to challenge our scholars in all subjects so that they are college and career-ready upon graduation. We have incorporated numerous activities and programs geared towards achieving these goals including: Six AP courses, CUNY College Now college courses, a full-time college advisor, SAT Prep for juniors and seniors, partnerships with Fordham University, the opportunity to visit almost 100 elite colleges during and universities, PSAL athletics, and extensive student activities; International and Domestic Educational Excursions, and National Honor Society.",-73.888267,10936.0,"{'type': 'Point', 'coordinates': [-73.888267, 40.860043]}",9 to 12,31
12X478,Y42A,Y,,,2117663,,,,,,,,,,,,16.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Badminton, Basketball, Flag Football, Outdoor Track, Soccer, Softball, Volleyball",,,2038640012,,,Open to New York City residents,BRONX,,,"The Cinema School offers a rich liberal arts education grounded in creative activity. Filmmaking serves as the core of a strong academic program that prepares students for a wide range of careers. Students take the required courses for an Advanced Regents diploma which will prepare them for admissions to competitive four-year universities. In addition to providing students with essential creative and technological skills, filmmaking also deepens learning by building confidence, responsibility, teamwork, and leadership. We offer a supportive small school community and individualized attention.",-73.877785,11610.0,"{'type': 'Point', 'coordinates': [-73.877785, 40.831416]}",9 to 12,26
11X545,X30A,Y,,,2057045,,,,,,,,,,,,2.0,,,,,,,,,,,,Yes,,,,CTE program(s): Pre-engineering,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",Civil Air Patrol Squadron (CAP),,2046330040,,,Priority to Bronx students or residents,BRONX,,,"Bronx Aerospace High School (BAHS) is a college preparatory school. All students must wear a uniform. BAHS teaches the necessary skills to not only be accepted into a four-year university, but to successfully earn a college degree. Students have access to SAT prep, literacy building, and AP Courses. Qualified students enroll in our Aviation program. These students attend Vaughn College to learn the principles of the aerodynamics behind flying aircrafts. Students will work towards passing the FAA Written Exam and graduate having logged flight hours. Students in this program will learn and practice using the FMX Redbird Simulator. This program is designed for those interested in the engineering field of aviation or becoming pilots.",-73.86197,11605.0,"{'type': 'Point', 'coordinates': [-73.86197, 40.875953]}",9 to 12,30
