property_id,property_name,percent_of_electricity_that,national_median_reference,financial_office_weekly,national_median_energy_star,office_gross_floor_area_ft,medical_office_percent_that_1,multifamily_housing_number_2,propane_use_kbtu,weather_normalized_site_2,weather_normalized_source,parking_open_parking_lot,data_center_it_source_energy,fuel_oil_1_use_kbtu,estimated_data_flag_fuel_3,electricity_use_grid_purchase_3,hospital_general_medical,annual_maximum_demand_meter,national_median_total_ghg,restaurant_worker_density,outdoor_water_use_all_water,national_median_site_eui,alert_energy_meter_has_less,number_of_active_energy_meters_1,food_service_gross_floor,district_hot_water_use_kbtu,fitness_center_health_club,multifamily_housing_number_7,medical_office_gross_floor,metered_areas_energy,weather_normalized_site_energy,office_worker_density_number,multifamily_housing_percent,source_eui_kbtu_ft,alert_property_has_no_uses,residence_hall_dormitory,parking_gross_floor_area,retail_store_number_of_walk,nyc_building_identification,direct_ghg_emissions_intensity,multifamily_housing_gross,third_party_certification,non_refrigerated_warehouse,alert_energy_no_meters,green_power_onsite_kwh,financial_office_number_of,hospital_general_medical_8,mailing_center_post_office,data_center_it_equipment,restaurant_weekly_operating,performing_arts_gross_floor,alert_energy_meter_has_single,weather_normalized_source_1,medical_office_number_of,parking_partially_enclosed,metered_areas_water,electricity_use_generated,multifamily_housing_resident,city,electricity_use_generated_3,net_emissions_metric_tons,green_power_offsite_kwh,property_gfa_calculated_2,laboratory_gross_floor_area,energy_star_certification_1,parent_property_name,property_gfa_calculated_1,senior_living_community_living,hospital_general_medical_3,total_ghg_emissions_intensity,largest_property_use_type,alert_data_center_issue_with,alert_water_meter_has_less,district_chilled_water_use,hospital_general_medical_5,hospital_general_medical_1,_3rd_largest_property_use,courthouse_gross_floor_area,last_modified_date_property
6164049,45 Overlook,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,84,Not Available,Not Available,Not Available,Not Available,1225383.3,Not Available,Not Available,163.6,Not Available,Not Available,44.8,Ok,5,Not Available,Not Available,Not Available,1.20382,Not Available,Whole Property,1295520.6,Not Available,100,79.4,Ok,Not Available,Not Available,Not Available,1064400,0,43196,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,3627457.6,Not Available,Not Available,Whole Property,Not Available,Not Available,New York City,Not Available,103.6,0,Not Available,Not Available,No,Not Applicable: Standalone Property,43196.0,Not Available,Not Available,2.4,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/02/2022 03:18 AM EST
4952014,AKAM - 50 Central Park West,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,74165.3,98.8,Not Available,Not Available,Not Available,Not Available,1957382.9,Not Available,Not Available,595.3,Not Available,Not Available,74.6,Ok,6,Not Available,Not Available,Not Available,0,Not Available,Whole Property,9307055.2,Not Available,100,94.1,Ok,Not Available,Not Available,Not Available,1028138,2.7,132462,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,13080821.5,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,518.6,0,Not Available,Not Available,No,Not Applicable: Standalone Property,132462.0,Not Available,Not Available,3.9,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,03/08/2022 01:35 PM EST
2665415,Stellar - 87 Hamilton Place,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1304595.6,Not Available,Not Available,404.8,Not Available,Not Available,96,Ok,11,Not Available,Not Available,Not Available,1.32119,Not Available,Whole Property,Not Available,Not Available,0,151.8,Ok,Not Available,Not Available,Not Available,1061772,5.1,72662,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,Whole Property,Not Available,No specific resident population,New York,Not Available,483.4,0,Not Available,Not Available,No,Not Applicable: Standalone Property,72662.0,Not Available,Not Available,6.7,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,05/22/2022 10:41 PM EDT
4572312,Pi Capital Partners: 136-18 39th Ave,0,CBECS - Education,Not Available,50,Not Available,Not Available,Not Available,Not Available,9192.5,178.1,Not Available,Not Available,Not Available,Not Available,5262232.1,Not Available,Not Available,314.3,Not Available,Not Available,43,Ok,7,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Property,6360222.5,Not Available,Not Available,171.5,Ok,Not Available,Not Available,Not Available,4112492,0.5,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,16199933.8,Not Available,Not Available,Whole Property,Not Available,Not Available,Flushing,Not Available,488.5,0,Not Available,Not Available,No,Not Applicable: Standalone Property,90950.0,Not Available,Not Available,5.4,Adult Education,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,09/21/2022 12:29 PM EDT
2591912,URA Group - 505 Fifth Avenue,0,CBECS - Office & Bank/Financial,Not Available,50,248095,Not Available,Not Available,Not Available,Not Available,140.5,Not Available,Not Available,Not Available,Not Available,13666793.3,Not Available,Not Available,1393.4,Not Available,Not Available,60.5,Ok,3,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Property,13666793.7,1.81382,Not Available,140.5,Ok,Not Available,Not Available,0,1035344,0,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,38267022.3,Not Available,Not Available,Whole Property,Not Available,Not Available,New York,Not Available,1155.4,0,Not Available,Not Available,No,Not Applicable: Standalone Property,272443.0,Not Available,Not Available,4.2,Office,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,07/12/2022 05:02 PM EDT
4940495,ZARA - 87-84 165 Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,0,Not Available,46260.1,106.5,Not Available,Not Available,Not Available,Not Available,537894.3,Not Available,Not Available,300.2,Not Available,Not Available,89.2,Ok,4,Not Available,Not Available,Not Available,0.92484,Not Available,Whole Property,5153727.6,Not Available,10,102.2,Ok,Not Available,Not Available,Not Available,4210060,3.9,59470,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,6334926,Not Available,Not Available,Whole Property,Not Available,No specific resident population,Jamaica,Not Available,276.7,0,Not Available,Not Available,No,Not Applicable: Standalone Property,59470.0,Not Available,Not Available,4.7,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,09/23/2022 09:31 AM EDT
6814671,Purves Street Realty,0,,Not Available,50,Not Available,Not Available,Not Available,Not Available,10587.8,87.1,Not Available,Not Available,Not Available,Not Available,521164.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,10,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Property,1571180.5,Not Available,Not Available,84.8,Ok,Not Available,Not Available,Not Available,4003537,1.8,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,2546434.6,Not Available,Not Available,Whole Property,Not Available,Not Available,Queens,Not Available,95.8,0,Not Available,Not Available,No,Not Applicable: Standalone Property,29250.0,Not Available,Not Available,3.3,Manufacturing/Industrial Plant,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,07/18/2022 01:03 AM EDT
2693067,DEPM 1896 - 111-20 73rd Ave,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,22686,100,1,Not Available,202542.3,Not Available,0,Not Available,Not Available,No,3310111.2,Not Available,Not Available,1084.2,Not Available,Not Available,93.5,Ok,8,Not Available,Not Available,Not Available,0,20504,Whole Property,Not Available,2.3,0,154.2,Ok,Not Available,29346,Not Available,4307915,5.5,158808,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,41.01,0,Whole Property,Not Available,No specific resident population,Queens,Not Available,1386.2,0,29346,Not Available,No,Not Applicable: Standalone Property,201998.0,Not Available,Not Available,6.9,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Office,Not Available,07/27/2022 02:43 PM EDT
15568432,AKAM - 51 Jay Street,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,Not Available,Not Available,Not Available,Not Available,30506.2,101.2,Not Available,Not Available,Not Available,Not Available,4068096.9,Not Available,Not Available,619.4,Not Available,Not Available,59.1,Ok,7,Not Available,Not Available,Not Available,0.51846,Not Available,Whole Property,7202318,Not Available,100,98.2,Ok,Not Available,Not Available,Not Available,3000036,1,146587,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,14827899.1,Not Available,Not Available,Whole Property,Not Available,Not Available,Brooklyn,Not Available,496.2,0,Not Available,Not Available,No,Not Applicable: Standalone Property,146587.0,Not Available,Not Available,3.4,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,07/27/2022 04:05 PM EDT
2669439,SW - 85-02 139th St,0,Fannie Mae Industry Survey - Multifamily,Not Available,50,2000,Not Available,0,Not Available,78006.2,138,0,Not Available,Not Available,Not Available,1286392.9,Not Available,Not Available,478,Not Available,Not Available,94.2,Ok,6,Not Available,Not Available,Not Available,0.92919,Not Available,Whole Property,9339152.7,2.3,0,133,Ok,Not Available,10500,Not Available,4206516,4.7,85020,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,12004508.9,Not Available,0,Whole Property,Not Available,No specific resident population,Queens,Not Available,518.3,0,10500,Not Available,No,Not Applicable: Standalone Property,87020.0,Not Available,Not Available,6,Multifamily Housing,Ok,Ok,Not Available,Not Available,Not Available,Office,Not Available,07/27/2022 04:37 PM EDT
