dbn,school_name,fax_number,grade9swdapplicantsperseat10,applicants2specialized,admissionspriority110,seats109,auditioninformation8,grade9swdfilledflag8,requirement3_7,offer_rate8,grade9swdapplicantsperseat8,common_audition10,psal_sports_boys,requirement4_3,grade9gefilledflag3,requirement3_5,requirement2_8,total_students,admissionspriority23,grade9geapplicantsperseat9,grade9geapplicants2,grade9geapplicantsperseat1,academicopportunities2,requirement3_10,seats9swd2,common_audition5,admissionspriority19,grade9geapplicants6,requirement3_6,specialized,auditioninformation10,requirement8_1,seats9swd5,zip,grade9swdapplicantsperseat1,grade9swdfilledflag6,requirement5_3,grade9swdfilledflag2,code10,grade9swdapplicants3,academicopportunities1,interest5,offer_rate6,academicopportunities4,seats9ge6,requirement8_2,grade9geapplicants7,requirement1_3,requirement3_3,admissionspriority14,program7,building_code,common_audition1,requirement6_9,applicants1specialized,requirement1_9,auditioninformation9,grade9geapplicants9,admissionspriority18,subway,grades2018
31R440,New Dorp High School,718-987-4889,,,,Yes,,Y,"Standardized Test Scores: English Language Arts (3.0-4.5), Math (3.1-4.5)",-100% of offers went to this group,9,,"Baseball, Basketball, Bowling, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,Y,,,3045,Then to New York City residents,N/A - zoned program,421,5.0,"NYS CTE Programs pending CTE approval in: Fashion Design, Forensic Science, Health Careers & Law",,14,,Guaranteed offer to students who live in the zoned area,343.0,,,,,14.0,10306,5.0,Y,,Y,,117,NYS Approved CTE programs in: Digital Media & Entrepreneurship,Communications,-100% of offers went to this group,"30,000 Degree Partnership School: College Readiness partnership with College of Staten Island, St. John's University and Wagner College",54.0,,739,Zoned,,Priority to Staten Island students or residents,Math & Science Institute,R435,,,,,,N/A - zoned program,Priority to Staten Island students or residents,,9 to 12
28Q687,Queens High School for the Sciences at York College,718-657-2579,,,,,,,,,,,"Bowling, Handball, Swimming, Tennis",,,,,473,,,,,"CUNY College Now in Biology, Sociology, Health Services, Nutrition and Health, Pre-Calculus, and Psychology. Course offerings vary from year to year.",,,,,,,1.0,,,,11433,,,,,,,"Students have the opportunity to enter science, mathematics, and technology competitions at the city, state, and national levels",,,,,,,,,,,Q774,,,16823.0,,,,,"E, J, Z to Jamaica Center-Parsons/Archer",9 to 12
18K633,High School for Medical Professions,718-290-8705,,,,,,,,,,,"Baseball, Basketball, Football, Handball, Indoor Track, Outdoor Track, Rugby, Soccer, Wrestling",,,,,424,,,,9.0,"Health Careers Explorations, College Planning and Access",,,,,,,,,,,11236,7.0,,,,,,Academic Portfolio for assessment,,,Collaboration with Co-Op Tech provides opportunities for students to engage with Career and Technical Education to become certified in medical billing,,,,,,,,K500,,,,,,,,L to Canarsie-Rockaway Parkway,9 to 12
02M260,The Clinton School,212-524-4365,,,,,,,,,,,Basketball,,,,,604,,,,23.0,"Current IB courses include: Biology, History, Film, Language and Literature, Mathematics, and Spanish.",,,,,,,,,,,10003,13.0,,,,,,IB for All-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.,,,"Students must take a Theory of Knowledge course, that asks students to reflect on the nature of knowledge and reflect on how we know what we know.",,,,,,,,M868,,,,,,,,"1, 2, 3, F, M to 14th St; 4, 5, 6, L, N, Q, R, W to Union Square; A, C, E, B, D to West 4th St",6 to 12
11X249,Bronx Health Sciences High School,718-904-5451,,,,,,,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,,,,315,,,,14.0,"Health-related research, literacy, externships",,,,,,,,,,,10475,9.0,,,,,,Academic portfolio required,,,College advisory,,,,,,,,X455,,,,,,,,5 to Baychester Ave,9 to 12
09X263,Validus Preparatory Academy,718-466-4001,,,,,,,,,,,"Baseball, Basketball, Cross Country, Wrestling",,,,,372,,,,7.0,"All juniors and seniors are enrolled in our College and Career, PSAT, and SAT prep classes.",,,,,,,,,,,10457,8.0,,,,,,Mock Regents to prepare students for the January and June exams. Results determine strengths and areas for improvement.,,,Saturday Academy for credit recovery and Regents prep.,,,,,,,,X970,,,,,,,,,9 to 12
25Q670,Robert F. Kennedy Community High School,*718-969-5524,,,,,,,,,,,"Baseball, Basketball, Bowling, Fencing, Soccer, Wrestling",,,,,756,,,,3.0,"CUNY College Now at Queens College Campus, University in the High School-Farmingdale State College, University in the High School-Albany (SUNY)",,,,,,,,,,,11366,4.0,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,"Leadership, Conflict Resolution, Journalism, Yearbook Publication, Coding, Advanced Art, Computer Courses",,,,,,,,Q707,,,,,,,,,9 to 12
05M362,Columbia Secondary School,212-666-3805,,,,,,,,,,,"Basketball, Rugby, Soccer",,,,,702,,,,40.0,"Students take Philosophy, Engineering, Spanish, Creative Arts, and an Elective; Math, Science, and Engineering Program",,,,,,,,,,,10027,13.0,,,,,,CTE program(s) in: Scientific Research and Engineering,,,Focus on sustainability and community service; Access to Columbia University facilities and may participate in early college study on campus,,,,,,,,M125,,,,,,,,"1 to 116th St-Columbia University; A, C, B, D to 125th St",6 to 12
08X348,Schuylerville Preparatory High School,718-935-5089,,,,,,,,,,,"Baseball, Basketball, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",,,,,376,,,,4.0,CUNY College Now Program,,,,,,,,,,,10461,4.0,,,,,,AP courses,,,College and Career counseling and an advisory program,,,,,,,,X405,,,,,,,,6 to Westchester Square-East Tremont Ave,9 to 12
02M418,Millennium High School,212-825-9095,,,,,,,,,,,"Baseball, Basketball, Cross Country, Fencing, Soccer, Table Tennis",,,,,666,,,,36.0,"History: Economics, Global 9, Global 10, Government, United States History",,,,,,,,,,,10004,13.0,,,,,,"Art: AP Studio Art, Art 9, Art 10, Graphic Design, Mixed Media, Photography",,,"Science: Advanced Physics, Biology, Chemistry, Engineering, Environmental Studies, Physics",,,,,,,,M824,,,,,,,,"1 to South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St; J, Z to Broad St; R, W to Rector St",9 to 12
