account_number,vendor_formal_name,id6_digit_naics_code,name_of_client_job_exp_1,description_of_work_job_exp_2,signatory_to_union_contracts,date_of_establishment,description_of_work_job_exp_1,description_of_work_job_exp_3,largest_value_of_contract,zip,certification,naics_subsector,naics_title,name_of_client_job_exp_2,bbl,aggregate_bonding_limit,census_tract_2020_,business_description,percent_self_performed_job_exp_3
10142,"A. Partow and Co., LLC",541618,NYC ACS Administration for Children's Services,,,2015-10-30T00:00:00.000,"Planned and Managed Day of Appreciation for CPS hosted by ACS for 1,000 guests. Supplied 3-course lu",,149946.71,10065,WBE,"Management, Scientific, and Technical Consulting Services",Other Management Consulting Services,,1014210021.0,,118.0,"Founded in 2014, Alexandra Partow Events is an award-winning New York City event planning company. We have won the Best of Brooklyn for five years running since 2018! Our team has 40+ years of combined professional event planning experience. We are one of the few event planning firms offering in-house design, taking your event from conception to creation. A love of the arts inspires us to fill our events with delightful details and unexpected pleasures. We are known for celebrations full of warm hospitality that people have talked about for years. 
?
 As we guide our clients through the labyrinth of decisions extraordinary events demand, our in-depth industry knowledge saves you time and money and delivers flawless execution. Our extensive network of venues, vendors, caterers, entertainers, and artists enables us to meet your specific needs and bring your vision to life. We have produced large-scale galas, parties, and employee appreciation events filled with unexpected pleasures. 
?
Before striking out on her own, Alexandra Partow spent more than two decades working on behalf of the world's most prestigious museums, including New York's Museum of Modern Art. She has welcomed hundreds of distinguished guests, including Hillary Clinton, King Juan Carlos of Spain, Julia Roberts, and Clint Eastwood. Now she and her team put their creativity and expertise to work for you.",
103682,"ALRA Engineers, P.C.",541330,NYCDDC,Did a construction inspection.,,2019-01-25T00:00:00.000,Did a construction inspection.,Did a construction inspection.,2612035.0,10965,MBE,"Architectural, Engineering, and Related Services",Engineering Services,The LiRo Group,,,,"ALRA Engineers, P.C. is a full-service engineering firm which provides consulting services for Construction Management and Administration, Civil, Electrical and Mechanical Engineering. The company's senior managers have extensive hands-on experience in coordination with NYS and NYC governmental agencies, property owners, engineering companies, and contractors. ALRA partners with an ever-expanding client base to serve public agencies and authorities as well as private entities. The firm has experience working on bridges, highways and roadways, mass transit and railroads, tunnels, ports and marine, water and wastewater—dams and reservoirs, aqueducts and tunnels, CSOs, and water/wastewater treatment plants.",20.0
102064,"AMC Transfer, Inc.",493110,Liberty Mutual Insurance,"Receive, deliver and installing 271LF of Allsteel frameless glass, including hinged doors and closer",,1998-03-23T00:00:00.000,"Provided labor to remove approximately 200 workstations, seating, lateral files and lockers. Dispose","Installation of all furniture. Included seating, lockers, desk set up, waiting room area.",117600.0,11572,WBE,Warehousing and Storage,General Warehousing and Storage,Effy BH Multi,,,,"AMC Transfer moves, delivers and installs office furniture. The company also installs architectural walls and does storage and warehousing.",100.0
308822,Argenis Apolinario Photography,711410,Whedco,Portraits,,2006-03-06T00:00:00.000,Event photography,Event Photography,800.0,10036,MBE,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",The Bronx Museum of the Arts,1010897502.0,,117.0,Photography,100.0
3742,"Ardent Construction and Development, Inc.",236116,MONADNOCK CONSTRUCTION,interior carpentry multi-unit multi use affordable housing apartment building new construction,,2012-09-27T00:00:00.000,interior carpentry multi unit affordable housing new construction,"Did interior carpentry, framing, drywall.",6700000.0,11101,WBE,Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders),MEGA CONTRACTING,4003827501.0,,31.0,"Ardent Construction and Development does general construction for residential apartments, houses and commercial and multi-use buildings.",100.0
370614,Apex Building Solutions LLC,236220,JEMB Realty,Provided Carpentry Services as a Sub-Contractor at Bellevue Hospital,,2023-03-04T00:00:00.000,Served as the General Contractor for the $1.75 million upgrade and conversion of three apartments at,"We completed the installation of four Trane rooftop units for Tritec, which involved the removal of",1750000.0,10018,MBE,Nonresidential Building Construction,Commercial and Institutional Building Construction,L'Amore Consulting/NYCHH,1008150039.0,,113.0,"Apex Building Solutions is an established, minority owned full-service HVAC and construction company with a mission to provide tailored, cost-effective solutions to our clients. Headquartered in New York City, we serve diverse spaces, including Commercial, Residential, Retail, Healthcare, and Education Facilities throughout the tristate area. With a commitment to excellence, safety, and innovation, we specialize in delivering high-quality HVAC services along with comprehensive construction and general contracting solutions.",100.0
387815,ADD Real Estate Services Inc.,531311,"Charles Rutenberg Realty, Inc",,,2017-01-09T00:00:00.000,Provided property management services.,,14207.0,11422,"MBE,WBE",Activities Related to Real Estate,Residential Property Managers,,4136800031.0,,66403.0,"ADD Real Estate Services does court appearances (judgement inquests), landscaping preservation, cash for keys programs, lock and boarding of vacant real property, winterization services, property management, liquidation pricing, and pre/post foreclosure marketing of real property. The company performs REO Sales, field inspections, and property preservation for several major lenders and their affiliates.",
101656,"ACAA Consulting, Inc",541211,Sophisticated Consulting Services,,,2006-12-29T00:00:00.000,Reconciled yearly activities. Summarized and prepared the tax returns.,,4000.0,11412,MBE,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Offices of Certified Public Accountants,,4126200006.0,,376.0,"ACAA Consulting provides accounting, audit and tax services.",
377778,Anpu Security Services,611519,The Door,,,2020-05-05T00:00:00.000,"8 hour pre-assignment training
16 Hour on the job training
fingerprinting appointment
application ma",,11500.0,10467,MBE,Technical and Trade Schools,Other Technical and Trade Schools,,2046310029.0,,372.0,"I have a DCJS certified security guard training school. I do my training virtually. I am contracted with the state to train students. I work with SUNY, CUNY, and Workforce1.",
10298,AEIS LLC,541380,Skanska,Inspection & Testing,Building Material Teamsters 282,2008-10-14T00:00:00.000,Inspection & Testing,,27047.0,7080,"MBE,WBE","Architectural, Engineering, and Related Services",Testing Laboratories and Services,Tutor Perini,,,,"AEIS is an independent inspections agency and testing laboratory we provide Class 1 special inspection agency services for all disciplines from geotechnical to mechanical inspections. We provide a material testing, engineering and NDT Lab Services.",
338467,Abstrak Vision,711510,Trio,The program was intended to teach the art and history of media and filmmaking. The program had to be,,,Teaching youth and teens how to turn passion into profit in addition to learning media skills.,• Expedited Request for design & execution of stimulating lessons and projects that enhance  learnin,7500.0,10031,"MBE,WBE","Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",Beyond Z,1020830033.0,,237.0,"Abstrak Vision is an industry impacting multimedia company that creates innovative, original, content, sales presentations, recap materials and commercials for clients at affordable prices. We are a young and fresh Video Production Company whose three main objectives are to: 1. Assist others in having a creative idea produced into a finished product 2. Teach Black and Latino youth Marketable skills in addition to exposing them to Careers in Media and 3. provide a safe space for Black Creatives to receive the mental support needed as they dive deep into forming works of art that the rest of the world benefits from.

 

Our staff is composed of reflective solution driven professionals who represent and embody the quality, skills and attitudes needed for providing effective services. Abstrak Vision has a growing presence in the advertising and entertainment industries, creating a new Vision for the future. We strive to always ""Capture the Essence""!

Melanin . Media . Mindfulness",100.0
