dbn,printed_name,state_code,bus,first_priority01,import_info_free_text,footer01,online_language_courses,third_priority03,building_code,psal_sports_girls,total_student_10_26,start_time,fifth_priority05,subway,bin,latitude,language_classes,eighth_priority08,second_priority02
14K071,Juan Morel Campos Secondary School,NY,"B24, B43, B44, B46, B48, B57, B60, B62, Q54, Q59",Priority to continuing 8th graders,,Intermediate/middle school counselor must contact school for an appointment; no walk-in auditions.,Spanish,For K11X only: a. Priority to District 14 students or residents who attend an information session; b. Then to Brooklyn students or residents who attend an information session; c. Then to New York City residents who attend an information session; d. Then to District 14 students or residents; e. Then to Brooklyn students or residents; f. Then to New York City residents,K071,"Basketball, Softball",820.0,8:00 AM,,"G to Broadway;  J, M to Hewes St;  Z to Marcy Av",3061064.0,40.7035561,Spanish,,Then to New York City residents
28Q896,"The Young Women's Leadership School, Queens",NY,"Q1, Q110, Q111, Q112, Q113, Q17, Q2, Q20A, Q24, Q25, Q3, Q36, Q4, Q40, Q41, Q42, Q43, Q5, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q85, Q9",Open only to female students,"This is an all-girls school, Uniform Required: official school uniform with school logo; to be purchased at a designated uniform store",,,Then to Queens students or residents,Q680,Indoor Track,522.0,8:00 AM,,"E, J, Z to Jamaica Center - Parsons - Archer;  F to Parsons Blvd",4207510.0,40.708383,"French, Spanish",,Priority to continuing 8th graders
24Q520,Middle College High School at LaGuardia Community College,NY,"B24, B62, Q100, Q101, Q32, Q39, Q60, Q67",Priority to Districts 24 and 30 students or residents,"Internship opportunities available, Team Structure: Lower Division (9th and 10th grades); Upper Division (11th and 12th grades), Five-year plan available for students to attend college classes at LaGuardia Community College, Performance/Portfolio-based assessment required in  sophomore and senior years",,,Then to New York City residents,Q520,"Basketball, Golf, Soccer, Softball & JV Softball, Tennis, Volleyball",497.0,8:00 AM,,"7 to 33rd St;  E, M, R to Queens Plaza",4003442.0,40.7433034,American Sign Language,,Then to Queens students or residents
10X565,High School for Energy and Technology,NY,"BX12, BX15, BX17, BX19, BX36, BX9",Priority to Bronx students or residents who attend an information session,Extended Day,,,Then to Bronx students or residents,X660,"Basketball, Bowling, Softball, Volleyball",106.0,8:00 AM,,"2, 5, B, D",2012887.0,40.856088,Spanish,,Then to New York City residents who attend an information session
11X508,Bronxdale High School,NY,"BX12, BX12-SBS, BX26, BX39, BX8",Priority to Bronx students or residents who attend an information session,,,,Then to Bronx students or residents,X415,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",222.0,8:25 AM,,"2, 5 to Pelham Pkwy",2050179.0,40.85964,"Spanish, Spanish Native Language Arts",,Then to New York City residents who attend an information session
06M463,High School for Media and Communications,NY,"BX18, BX40, BX7, M101, M3, M4",Priority to District 6 students or residents,,,,Then to New York City residents,M465,"Basketball, Soccer, Softball, Volleyball",550.0,8:00 AM,,A to 190th St;  1 to 191st St,1076751.0,40.8565083,Spanish,,Then to Manhattan students or residents
14K558,Williamsburg High School for Architecture and Design,NY,"B24, B44, B46, B48, B60, B62, Q54, Q59",Priority to Brooklyn students or residents who attend an information session,"Our school is equipped with a Computer Aided Design (CAD) laboratory that includes a state-of-the-art 3D printer, laser engraver and personal laptops for every student. Using this equipment, students create architectural & engineering designs and working models of these designs",,,Then to Brooklyn students or residents,K650,"Basketball, Indoor Track, Outdoor Track, Softball, Volleyball",534.0,8:15 AM,,"L to Bedford Av;  J, M, Z to Marcy Av;  G to Metropolitan Av - Lorimer St",3062135.0,40.7151945,Spanish,,Then to New York City residents who attend an information session
21K540,John Dewey High School,NY,"B1, B4, B82",Priority to Brooklyn students or residents,Community Service Requirement,,,For K56B only: Open only to students whose home language is Chinese,K540,"Basketball, Cross Country, Football, Outdoor Track, Soccer, Softball, Volleyball",1894.0,8:13 AM,,F to Avenue X;  D to Bay 50th St;  N to Gravesend - 86th St,3194998.0,40.5892496,"Chinese, French, Italian, Russian, Spanish",,Then to New York City residents
31R064,Gaynor McCown Expeditionary Learning School,NY,"S44, S55, S59, S79-SBS, S89",Priority to Staten island students or residents who attend an information session,"Uniform Required: school polo shirt; navy, black or tan dress pants, Outward Bound - New Student Wilderness course required, Student and Parent Summer Orientation, Extended Day Program offered, Student-led Conferences held twice a year",,,Then to Staten Island students or residents,R043,"Basketball, Cross Country, Football, Golf, Indoor Track, Outdoor Track, Soccer, Softball",438.0,8:00 AM,,,5149609.0,40.581969,Spanish,,Then to New York City residents who attend an information session
05M304,Mott Hall High School,NY,"BX19, BX33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7","Priority to Mott Hall, Mott Hall II and Mott Hall III Middle School students who attend an information session","Uniform Required: hunter green polo shirt with Mott Hall logo, khaki pants, black footwear",,,"Then to Mott Hall, Mott Hall II and Mott Hall III Middle School students",M136,"Basketball, Softball",425.0,8:00 AM,,"A, D to 125th St;  2, 3, B, C to 135th St;  1 to 137th St - City College",1059460.0,40.8175462,"French, Spanish",,Then to New York City residents who attend an information session
02M419,Landmark High School,NY,"M11, M14AD, M20, M23, M5, M7",Priority to Manhattan students or residents,"Our school requires six Academic Portfolios for Assessment, Saturday and Summer Programs offered",,,,M440,"Basketball, Indoor Track, Softball & JV Softball, Volleyball",396.0,8:45 AM,,"2, 3, F, M to 14th St;  A, C, E, L to 14th St-8th Av;  1 to 18th St",1013096.0,40.743436,Spanish,,Then to New York City residents
20K445,New Utrecht High School,NY,"B1, B4, B64, B8",Open to New York City residents,We are a multi-session school; school hours run between 7:30 AM and 3:09 PM.,,,For K28N only: Fifty percent (50%) of the incoming 9th graders for this program will be English Proficient students and fifty percent (50%) Chinese (Mandarin) speaking English Language Learners,K445,"Basketball & JV Basketball, Bowling, Handball, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",3289.0,8:00 AM,,D to 79th St,3162711.0,40.6134712,"Chinese (Cantonese), Chinese (Mandarin), Italian, Polish, Russian, Spanish",,"For K28B, K28C, K28D, and K28M only: a. Priority to New York City residents who attend an information session b. Then to New York City residents"
07X334,International Community High School,NY,"BX1, BX15, BX17, BX19, BX2, BX21, BX32, BX33, BX4, BX41, BX55",Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,"All classes are taught in English and students can use their native language skills to acquire more understanding and prepare assignments and projects., Students receive support for language development in every class., Internship requirement",,,,X139,,385.0,9:00 AM,,"2, 5 to 3rd Av - 149th St;  6 to Brook Av",2000391.0,40.8099078,French,,
16K393,Frederick Douglass Academy IV Secondary School,NY,"B15, B38, B46, B47, B52, B54",Priority to continuing 8th graders,"Dress Code Required: solid white shirt/blouse, navy blue blazer, gray pants/skirt, navy blue tie/scarf, black dress shoes, Participation in our 2-day FDA IV Prep Institute (Orientation) is required for incoming students, Extended Day Program",,,Then to New York City residents who attend an information session,K026,,268.0,8:00 AM,Then to New York City residents,"J to Kosciusko St;  M, Z to Myrtle Av",3393805.0,40.6921497,"French, Spanish",,Then to Brooklyn students or residents who attend an information session
30Q258,Energy Tech High School,NY,"Q101, Q102, Q103, Q104, Q66, Q69",Priority to Queens students or residents who attend an information session,"Uniform Required: Please contact the school for more  information., Extended School Day, Extended School Year, Summer Orientation for Incoming Students, Saturday Academy, Tutoring and Office Hours Available",,,Then to Queens students or residents,Q204,,,8:00 AM,,"N, Q to 36th Avenue; R, M to 36th Street",4004156.0,40.7564951,,,Then to New York City residents who attend an information session
