fax_number,location,seats103,common_audition5,method4,grade9gefilledflag5,requirement8_2,program8,total_students,method3,eligibility8,common_audition3,requirement5_1,offer_rate1_6,ell_programs,grade9geapplicants8,requirement2_3,latitude,requirement7_1,requirement5_3,requirement3_3,grade9geapplicants3,earlycollege,admissionspriority42,method5,auditioninformation7,grade9geapplicants5,seats9ge10,applicants4specialized,grade9swdapplicants1,:@computed_region_yeji_bk3q,method1,offer_rate1_5,seats3specialized,grade9gefilledflag6,prgdesc9,language_classes,applicants3specialized,grade9geapplicantsperseat6,addtl_info1,requirement3_2,requirement2_2,requirement4_4,:@computed_region_92fq_4b7q,interest2,psal_sports_coed,auditioninformation5,grade9swdapplicantsperseat1,graduation_rate,seats1specialized,neighborhood,requirement2_1,school_accessibility,appperseat4specialized,seats9ge6,offer_rate3_3,seats9swd10,offer_rate3_1,method2,interest7,requirement4_3,grade9geapplicants7,grade9geapplicants2,seats102,grade9swdfilledflag4,requirement4_8,admissionspriority25,census_tract,requirement1_1,admissionspriority16,grade9geapplicantsperseat5,prgdesc5,prgdesc7,requirement1_7,requirement5_2,requirement8_1,requirement6_4,academicopportunities3,requirement2_6,seats1010,appperseat3specialized,grades2019,offer_rate2_1,community_board,admissionspriority24
718-893-5982,"928 SIMPSON STREET, BRONX NY 10459(40.820388, -73.892961)",,,,,,,645,,,,,,English as a New Language,,,40.820579,,,,,,,,,,,,145.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Community School; Dress Code; Extended Day Program; Extended Day Tutoring; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge,,,,43,,,,24.0,0.74,,Hunts Point,"Standardized Test Scores: English Language Arts, Math",Fully Accessible,,,,,,,,,,,,,,,89,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,"Art/Theater Courses: Theater & Production, Stage Craft, Visual Arts, Instrumental Music, Dance, Modern Dance, Mixed Media, Studio Art, Ceramics",,,,6 to 12,,202,
718-584-5102,"2225 WEBSTER AVENUE, BRONX NY 10457(40.854257, -73.897404)",Yes,1.0,Audition,N,,,540,Audition,,1.0,,,English as a New Language,,Standardized Test Scores: Average,40.854515,,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,65.0,,,Audition,,93,,,31.0,5,Audition,17% of offers went to this group,,,,Spanish,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Health Center; Internships Available; Multi-Session School; Online Grading System; Weekend Programs; Orientation,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,Standardized Test Scores: Average,,22,Performing Arts,,Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check school's website for examples (www.tapconyc.org). Examples may include the human figure and drawing from observation or imagination.,4.0,0.75,,Mount Hope,Standardized Test Scores: Average,Partially Accessible,,,,,,Audition,,Audition with common components,,68.0,No,N,,Then to Bronx students or residents,379,Attendance,,3,"Students develop their artistic skills as they progress through classroom assignments using a variety of drawing, painting, sculpture, photography & digital design media. Students apply to the well-known Fred Dolan Art Academy, a Saturday professional artist-led program that helps students develop their portfolios and full scholarships for college. Students learn valuable artistic, literacy, and technical skills in the contemporary work world of the Visual Arts.",,,,,,"Television ""Studio in School"" through partnership with Hispanic Information Telecommunications Network (HITN)",,,,6 to 12,69% of offers went to this group,205,Then to Bronx students or residents
718-561-8707,"2474 CROTONA AVENUE, BRONX NY 10458(40.855392, -73.882487)",,,,,,,333,,,,,,English as a New Language,,,40.855698,,,,,,,,,,,,34.0,5,Screened: Language,,,,,Spanish,,,College Trips; Community Service Expected; Dress Code; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internship Expected; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation,,,,22,,,,2.0,0.67,,Belmont,,Partially Accessible,,,,,,,,,,,,,,,393,,,,,,,,,,"Small classes, project based, student centered, collaborative, content and language integrated",,,,9 to 12,,206,
718-333-7675,"2630 BENSON AVENUE, BROOKLYN NY 11214(40.593028, -73.986313)",,,,,,,241,,,,,,English as a New Language,,,40.594291,,,,,,,,,,,,108.0,2,Ed. Opt.,,,,,Spanish,,,,,,,45,,Cricket,,6.0,0.71,,Gravesend,,Partially Accessible,,,,,,,,,,,,,,,306,,,,,,,,,,Science and Research Club,,,,9 to 12,,313,
212-524-4365,"10 EAST 15TH STREET, MANHATTAN NY 10003(40.736526, -73.992727)",,,,,,,726,,,,,,English as a New Language,,,40.736518,,,,,,,,,,,,279.0,4,Screened,,,,,Spanish,,,College Trips; Community Service Expected; Extended Day Tutoring; Internships Available; Online Grading System; Orientation,,,,50,,,,12.0,,,Chelsea-Union Sq,Punctuality,Fully Accessible,,,,,,,,,,,,,,,52,Attendance,,,,,,,,,"Senior thesis- 4,000 word extended essay on a subject of choice with limited support from a staff advisor.",,,,6 to 12,41% of offers went to this group,105,
718-658-1613,"167-01 GOTHIC DRIVE, JAMAICA NY 11432(40.714551, -73.798658)",,,,,,,447,,,,,,English as a New Language,,,40.713218,,,,,,,,,,,,141.0,3,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Weekend Programs,,,,24,,"Cricket, Double Dutch, Golf, Stunt",,9.0,0.88,,Briarwood-Jamaica Hills,Punctuality,Not Accessible,,,,,,,,,,,,,,,452,Attendance,,,,,,,,,Partnership with Lincoln Center Theater. English as a New Language students participate in Learning English and Drama (LEAD) Project.,,,,9 to 12,,408,
718-342-6329,"985 ROCKAWAY AVENUE, BROOKLYN NY 11212(40.655644, -73.906662)",,,,,,,227,,,,,,English as a New Language,,,40.656068,,,,,,,,,,,,5.0,2,Transfer,,,,,Spanish,,,,,,,25,,,,1.0,,,Brownsville,,Fully Accessible,,,,,,,,,,,,,,,922,,,,,,,,,,"College Trips, Targeted instruction across all content areas",,,,9 to 12,,316,
718-295-3655,"500 EAST FORDHAM ROAD, BRONX NY 10458(40.859466, -73.888625)",,,,,,,390,,,,,,English as a New Language,,,40.860043,,,,,,,,,,,,311.0,5,Screened,,,,,Spanish,,,,,,,22,,,,14.0,0.88,,Belmont,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",Partially Accessible,,,,,,,,,,,,,,,387,Attendance,,,,,,,,,10th and 11th grade students visit select universities in the Northeast and Mid-Atlantic. 11th and 12th grade students are provided SAT Prep classes.,,,,9 to 12,,206,
718-620-2561,"1551 EAST 172ND STREET, BRONX NY 10472(40.832508, -73.878191)",,,,,,,317,,,,,,English as a New Language,,,40.831416,,,,,,,,,,,,227.0,5,Screened,,,,,French,,,College Trips; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,31,,Stunt,,14.0,0.88,,West Farms-Bronx River,Punctuality,Fully Accessible,,,,,,,,,,,,,,,56,Attendance,,,,,,,,,Photography offered,,,,9 to 12,,209,
718-696-6030,"800 EAST GUN HILL ROAD, BRONX NY 10467(40.875172, -73.861649)",,,,,,,322,,,,,,English as a New Language,,,40.875953,,,,,,,,,,,,96.0,5,Ed. Opt.,,,,,Spanish,,,,,,,2,,,,3.0,0.64,,Williamsbridge-Olinville,,Fully Accessible,,,,,,,,,,,,,,,372,,,,,,,,,,AP Courses,,,,9 to 12,,212,
