fax_number,appperseat3specialized,grades2018,common_audition4,admissionspriority17,directions5,prgdesc9,interest7,requirement6_2,grade9geapplicantsperseat6,offer_rate5,offer_rate2,requirement4_2,code3,method5,grade9geapplicantsperseat2,seats6specialized,seats2specialized,seats9ge9,requirement1_7,language_classes,program7,extracurricular_activities,prgdesc5,admissionspriority63,city,admissionspriority42,boys,primary_address_line_1,ptech,grade9swdfilledflag7,eligibility3,pct_stu_safe,grade9swdapplicants3,geoeligibility,seats1010,grade9gefilledflag2,grade9gefilledflag3,interest9,seats106,requirement2_7,seats108,prgdesc3,addtl_info1,grade9geapplicantsperseat3,seats1specialized,interest5,method8,end_time,requirement2_6,requirement6_6,prgdesc6,method3,psal_sports_girls,requirement5_7,grade9swdapplicantsperseat5,total_students,requirement2_1,eligibility7,seats103,longitude,admissionspriority26,requirement1_2,offer_rate3,requirement4_3
718-333-7861,,9 to 12,,,,,,,,,,,,,,,,,,"French, Korean, Mandarin, Spanish",,,,,Brooklyn,,,2630 Benson Avenue,,,,0.88,,,,,,,,,,,,,,,,4pm,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,367,,,,-73.986313,,,,
718-486-2580,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Students organize to establish clubs that interest them, such as: Architecture, Art & Design, Electrical Installation, Music, Photography, Woodworking, and Video Gaming. WHSAD invites students who make the honor roll to free incentive field trips after the end of an academic term, which in the past have included: basketball games at Barclays, bowling, ice skating at Prospect Park, rock-climbing, movie showings, and Broadway musicals. PSAL coordinates team sports offerings for WHSAD students.",,,Brooklyn,,,257 North 6th Street,,,,1.0,,,,,,,,,,,College Trips; Community Service Expected; Internship Expected; Internships; Online Grading System; Student Parent Orientation; Summer Internships,,,,,3:27pm,,,,,"Basketball, Flag Football, Softball, Tennis, Volleyball",,,565,,,,-73.954815,,,,
212-860-6043,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"College Access Youth Leaders, Community Service, Creative Writing, Educational Opportunity Scholars, Girls Inc., High School Law Institute, International Travel, Minds Matter, National Honor Society, Opportunity Network, Peer Mentoring, Peer Tutoring, School Newspaper, Search and Care Community Service, Step-Up Program, Student Council, The Brotherhood/Sister Sol, Urban Arts Partnership (Hip Hop Dance, Theater, Choir), Young Audiences of NY Arts Program (Hip Hop Dance & Improv Theater)",,,Manhattan,,,1573 Madison Avenue,,,,0.98,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,,3:25pm,,,,,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,490,Punctuality,,,-73.948488,,,,
646-826-8175,,9 to 12,,,,,,,,,,,,,1,,,,,Spanish,,"Anti-Defamation League Peer Leaders (ADL), Book Club, Dance, Cheerleading, Chorus, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Dream Team, The Future Project Coffeehouse, Future Teachers Club, Mural Club, New York Cares, Peer Mediation Center, Peer Tutoring, Photography, Senior Activities, Student Government Organization, Yearbook",,,Manhattan,,,7 Beaver Street,,,,0.81,,,,N,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation,,,,,2:50pm,,,,,"Basketball, Softball",,,534,,,,-74.013303,,Demonstrated Interest: School Visit,,
917-326-6688,,9 to 12,,,,,,,,,,,,,,,,,,American Sign Language,,"After-School Tutoring, Archery, ASL Performance, ASL Poetry, Chess, Chorus, Coding Club, Computer Science, College Tours, Creative Writing, Dance, Drama, Drumming, Food & Nutrition, Forensics, Knitting, SAT Prep, School Web Design, Student Council, Studio Art, Video Production and Editing, Visits to ASL Interpreted Broadway Shows, Weight Room, Yearbook, Yoga",,,Manhattan,,,223 East 23rd Street,,,,0.94,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Orientation,,,,,2:30pm,,,,,,,,179,Punctuality,,,-73.981329,,,,
718-471-2890,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Boyz2Men, Cheerleading, Computer Graphics Design, Homework Help, Leading Ladies, Lunch & Learn, PSAT and SAT Prep with Rockaway Development Revitalization Corporation, Queens Law Associates, Regents Help, Student Government, Yearbook",,,Far Rockaway,,,8-21 Bay 25th Street,,,,0.66,,,,,,,,,,,College Trips; Community School; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Extended Year; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation,,,,,2:40pm,,,,,"Basketball, Flag Football, Soccer, Softball, Swimming, Tennis, Volleyball",,,344,,,,-73.763995,,,,
212-246-2654,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Anime, Book Club, Big Brothers Big Sisters, Board Game Club, Chess, Creative Writing, Drama, eSports, Gamer Haven, GCSA, Gender-Sexuality Alliance, Girls Empowerment, Intramural Sports, JROTC, Martial Arts, Media Crew, Media Production, Men of Strength, MOTH StorySlam, MOUSE Squad, Movie Club, Music Club, National Honor Society, Peer Mediation, Photography, Regents Prep, Robotics, Saturday Math Academy, ScriptEd, Senior Committee, SEO Scholars, Student Government, Teen Battle Chef, Yearbook",,,Manhattan,,,439 West 49th Street,,,,0.94,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,,3:10pm,,,,,"Basketball, Outdoor Track, Soccer, Softball, Volleyball",,,468,,,,-73.990318,,,,
718-561-8707,,9 to 12,,,,,,,,,,,,,,,,,,"Arabic, Spanish",,,,,Bronx,,,2474 Crotona Avenue,,,,0.87,,,,,,,,,,,Internships,,,,,4:15pm,,,,,"Softball, Volleyball",,,341,,,,-73.882487,,,,
718-277-1873,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Students are encouraged to participate from our after-school clubs and activities: Choir, Culinary, Debate, Drama, English, Enrichment Classes, Fitness, Game, Government, Homework, Learning, LGBTQ, Newspaper, SAT Prep, Science Research, Tutoring",,,Brooklyn,,,370 Fountain Avenue,,,,0.74,,,,,,,,,,,,,,,,2:20pm,,,,,Basketball,,,313,,,,-73.874537,,,,
718-796-7051,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School Tutoring, Gay-Straight Alliance (GSA), Green Club, I AM Program (Male Empowerment Group), Marie C' apellas (Singing Group), National Honor Society, SAT Prep Program, Sistah's Group, Student Government Association, Summer Orientation, VERONICA Program (Female Empowerment Group), Yearbook Club, Youth Mentoring Initiative",,,Bronx,,,120 West 231st Street,,,,0.44,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation,,,,,2:30pm,,,,,"Flag Football, Softball",,,533,,,,-73.901565,,,,
