latitude,location_type,city,address_type,x_coordinate_state_plane,borough,landmark,complaint_type,created_date,:@computed_region_efsh_h5xi,community_board,longitude-open_data_channel_type
40.756657,Street/Sidewalk,NEW YORK,ADDRESS,990155,MANHATTAN,5 AVENUE,Illegal Parking,2025-12-19T19:39:25.000,13094,05 MANHATTAN,-73.978975-MOBILE
40.730733,Street/Sidewalk,BROOKLYN,ADDRESS,997815,BROOKLYN,GREENPOINT AVENUE,Illegal Parking,2025-12-18T08:27:22.000,18182,01 BROOKLYN,-73.95111-MOBILE
40.763485,Street/Sidewalk,NEW YORK,ADDRESS,991511,MANHATTAN,5 AVENUE,Illegal Parking,2025-12-21T11:04:30.000,12081,05 MANHATTAN,-73.974067-MOBILE
40.710028,Street/Sidewalk,JAMAICA,ADDRESS,1035018,QUEENS,84 DRIVE,Illegal Parking,2025-12-10T17:20:47.000,24670,08 QUEENS,-73.816631-ONLINE
40.676032,Street/Sidewalk,SOUTH OZONE PARK,ADDRESS,1035297,QUEENS,116 AVENUE,Illegal Parking,2025-12-18T21:41:48.000,24016,10 QUEENS,-73.81543-MOBILE
40.839563,Street/Sidewalk,BRONX,ADDRESS,1017290,BRONX,WEST FARMS ROAD,Illegal Parking,2025-12-14T19:53:06.000,11269,06 BRONX,-73.880672-MOBILE
40.727453,Street/Sidewalk,REGO PARK,ADDRESS,1024647,QUEENS,QUEENS BOULEVARD,Illegal Parking,2025-12-12T08:21:30.000,14785,06 QUEENS,-73.853871-ONLINE
40.723345,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1039667,QUEENS,UNION TURNPIKE,Illegal Parking,2025-12-11T16:30:26.000,14508,08 QUEENS,-73.799873-ONLINE
40.743072,Street/Sidewalk,LONG ISLAND CITY,ADDRESS,996424,QUEENS,50 AVENUE,Illegal Parking,2025-12-21T13:36:49.000,16858,02 QUEENS,-73.954735-MOBILE
40.873372,Street/Sidewalk,BRONX,ADDRESS,1027516,BRONX,MICKLE AVENUE,Illegal Parking,2025-12-20T02:58:02.000,11607,12 BRONX,-73.843679-MOBILE
40.758822,Street/Sidewalk,ASTORIA,ADDRESS,1006380,QUEENS,38 STREET,Illegal Parking,2025-12-21T23:00:53.000,16860,01 QUEENS,-73.920563-MOBILE
40.808127,Street/Sidewalk,NEW YORK,ADDRESS,997228,MANHATTAN,WEST 122 STREET,Illegal Parking,2025-12-10T17:24:03.000,12424,10 MANHATTAN,-73.953304-MOBILE
40.693006,Street/Sidewalk,BROOKLYN,ADDRESS,986206,BROOKLYN,CLINTON STREET,Illegal Parking,2025-12-21T10:01:56.000,16865,02 BROOKLYN,-73.992737-PHONE
40.752991,Street/Sidewalk,CORONA,ADDRESS,1020922,QUEENS,100 STREET,Illegal Parking,2025-12-22T18:33:45.000,14510,03 QUEENS,-73.86783-MOBILE
40.7045,Street/Sidewalk,NEW YORK,ADDRESS,980696,MANHATTAN,STONE STREET,Illegal Parking,2025-12-15T10:24:37.000,11725,01 MANHATTAN,-74.012645-MOBILE
40.693222,Street/Sidewalk,BROOKLYN,ADDRESS,987794,BROOKLYN,JAY STREET,Illegal Parking,2025-12-17T16:50:05.000,16865,02 BROOKLYN,-73.986719-MOBILE
40.650143,Street/Sidewalk,BROOKLYN,ADDRESS,982000,BROOKLYN,43 STREET,Illegal Parking,2025-12-15T11:51:58.000,18180,07 BROOKLYN,-74.008108-MOBILE
40.574182,Street/Sidewalk,STATEN ISLAND,ADDRESS,951692,STATEN ISLAND,NEW DORP LANE,Illegal Parking,2025-12-23T09:22:07.000,10693,02 STATEN ISLAND,-74.117047-ONLINE
40.744238,Street/Sidewalk,ELMHURST,ADDRESS,1017049,QUEENS,VIETOR AVENUE,Illegal Parking,2025-12-22T16:52:56.000,14784,04 QUEENS,-73.880666-MOBILE
40.723345,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1039667,QUEENS,UNION TURNPIKE,Illegal Parking,2025-12-12T10:22:52.000,14508,08 QUEENS,-73.799873-ONLINE
40.758187,Street/Sidewalk,EAST ELMHURST,ADDRESS,1020092,QUEENS,98 STREET,Illegal Parking,2025-12-22T10:03:16.000,14511,03 QUEENS,-73.870895-MOBILE
40.744092,Street/Sidewalk,ELMHURST,ADDRESS,1017055,QUEENS,VIETOR AVENUE,Illegal Parking,2025-12-23T13:46:11.000,14784,04 QUEENS,-73.880338-MOBILE
40.635994,Street/Sidewalk,BROOKLYN,ADDRESS,977869,BROOKLYN,4 AVENUE,Illegal Parking,2025-12-18T12:51:02.000,18180,10 BROOKLYN,-74.023344-ONLINE
40.686371,Street/Sidewalk,JAMAICA,ADDRESS,1039132,QUEENS,110 AVENUE,Illegal Parking,2025-12-15T02:49:11.000,24670,12 QUEENS,-73.801942-ONLINE
40.766837,Street/Sidewalk,NEW YORK,ADDRESS,986451,MANHATTAN,WEST 53 STREET,Illegal Parking,2025-12-14T10:26:09.000,12081,04 MANHATTAN,-73.991971-MOBILE
40.590106,Street/Sidewalk,BROOKLYN,ADDRESS,1000109,BROOKLYN,EAST 27 STREET,Illegal Parking,2025-12-15T23:57:22.000,13826,15 BROOKLYN,-73.943155-MOBILE
40.740285,Street/Sidewalk,ELMHURST,ADDRESS,1015956,QUEENS,79 STREET,Illegal Parking,2025-12-21T23:31:30.000,14784,04 QUEENS,-73.885783-MOBILE
40.704587,Street/Sidewalk,BROOKLYN,ADDRESS,999631,BROOKLYN,MANHATTAN AVENUE,Illegal Parking,2025-12-21T20:02:58.000,17213,01 BROOKLYN,-73.945297-ONLINE
40.680879,Street/Sidewalk,BROOKLYN,ADDRESS,991706,BROOKLYN,BERGEN STREET,Illegal Parking,2025-12-13T14:02:06.000,17619,08 BROOKLYN,-73.97319-MOBILE
40.644453,Street/Sidewalk,BROOKLYN,ADDRESS,984257,BROOKLYN,44 STREET,Illegal Parking,2025-12-12T13:37:26.000,18180,12 BROOKLYN,-73.999831-MOBILE
40.730889,Street/Sidewalk,NEW YORK,PLACE,984903,MANHATTAN,WASHINGTON SQUARE PARK,Illegal Parking,2025-12-22T00:44:39.000,11724,02 MANHATTAN,-73.997604-PHONE
