dbn,bn,expected_grade_span_max,primary_address_line_1,tenth_priority10,context,school_type,open_house_info,expected_grade_span_min,independent_website,import_info_drop_down,online_ap_courses,location_1,last_year_subway,:@computed_region_yeji_bk3q,school_district,email,fax_number
11X542,X542,,925 Astor Avenue,,http://schema.org,,Multiple Open Houses are held throughout the year. Please contact the school for Open House information.,,http://www.pelhamprepacademy.org,"Community Service Requirement, Extended Day Program, Weekend Program offered",Environmental Science,"{'latitude': '40.85964', 'longitude': '-73.8607428', 'human_address': '{""address"": ""925 Astor Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",,5,11,CSantiago@schools.nyc.gov,718-944-3479
08X558,X558,12.0,3000 East Tremont Avenue,,http://schema.org,,Please contact the school for Open House dates and times.,9.0,http://schools.nyc.gov/schoolportals/08/X558,,,"{'latitude': '40.839987', 'longitude': '-73.837977', 'human_address': '{""address"": ""3000 East Tremont Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10461""}'}",,5,8,info@westchestersquare.org,718-904-5055
09X564,X564,12.0,240 East 172 Street,,http://schema.org,International School,Please contact the school for Open House dates and times.,9.0,http://schools.nyc.gov/schoolportals/09/X564,"Internship Requirement, Weekend Program offered",,"{'latitude': '40.839295', 'longitude': '-73.911384', 'human_address': '{""address"": ""240 East 172 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",,5,9,Edemchak@schools.nyc.gov,718-410-4038
21K410,K410,,2800 Ocean Parkway,,http://schema.org,,"Our Open House will be on Wednesday, November 13, 2013 at 6:00 PM. Please call 718-333-7461 for additional details.",,http://www.AbrahamLincolnHS.net,"Community Service Requirement, Student Summer Orientation",,"{'latitude': '40.58261', 'longitude': '-73.968723', 'human_address': '{""address"": ""2800 Ocean Parkway"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",,2,21,21K410@schools.nyc.gov,718-946-5035
08X269,X269,,928 Simpson Street,,http://schema.org,,Please contact the parent coordinator at 718-893-5158 for information on upcoming Open Houses and orientations.,,http://schools.nyc.gov/schoolportals/08/X269,,,"{'latitude': '40.8199186', 'longitude': '-73.8937549', 'human_address': '{""address"": ""928 Simpson Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10459""}'}",,5,8,dvazque4@schools.nyc.gov,718-893-5982
15K519,K519,,347 Baltic Street,,http://schema.org,,We welcome parents and visitors from the community and other educational institutions to our school. Please contact the principal or parent coordinator to arrange a visit.,,http://schools.nyc.gov/schoolportals/15/K519,"Extended Day Program, Student Summer Orientation","Biology, Calculus AB","{'latitude': '40.684722', 'longitude': '-73.990581', 'human_address': '{""address"": ""347 Baltic Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",,2,15,sthomas14@schools.nyc.gov,718-403-9553
02M392,M392,,351 West 18 Street,,http://schema.org,,"Our Open House dates are Thursdays, October 24 and November 14, 2013 from 5:30 PM - 6:30 PM. For information about Shadow Day or alternate Open House dates, please contact the school.",,http://www.manhattanbusinessacademy.org,,,"{'latitude': '40.743436', 'longitude': '-74.0031734', 'human_address': '{""address"": ""351 West 18 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",,4,2,kpolson@manhattanbusinessacademy.org,212-647-1989
07X221,X221,,360 East 145 Street,,http://schema.org,,Please contact our school or visit our website for Open House information.,,http://www.southbronxprep.net,,Spanish Language,"{'latitude': '40.8136789', 'longitude': '-73.9205341', 'human_address': '{""address"": ""360 East 145 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",,5,7,EFlanag2@schools.nyc.gov,718-292-2172
24Q236,Q236,12.0,48-01 90th Street,,http://schema.org,"New School, International School",Please contact the school for Open House dates and times.,9.0,http://ihshealthsciences.org,,,"{'latitude': '40.7408369', 'longitude': '-73.8739856', 'human_address': '{""address"": ""48 01 90th Street"", ""city"": ""Elmhurst"", ""state"": ""NY"", ""zip"": ""11373""}'}",,3,24,cfinney2@schools.nyc.gov,
02M630,M630,,231-249 East 56 Street,,http://schema.org,CTE School,"Join us for our Open House on Friday, October 18 or November 1, 2013. Sessions begin at 5:30 PM and again at 6:30 PM and are followed by a building tour. Each Open House will also include a discussion designed to prepare students for our audition and the portfolio assessment. Please refer to our our website for more information regarding admissions. www.artanddesignhs.org",,http://www.artanddesignhs.org,"Extended Day Program, Our school requires an Artistic Portfolio for graduation, Summer Internship Program offered",,"{'latitude': '40.7658058', 'longitude': '-73.9827487', 'human_address': '{""address"": ""231 249 East 56 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",,4,2,02m630@schools.nyc.gov,212-752-4945
