code_prog1,admissionsmethod_prog3,ellprograms,tophs1,geappsperseat_prog5,swdappsperseat_prog2,admissionsmethod_prog7,gefilled_prog15,eligibility_prog14,swdappsperseat_prog1,geseats_prog7,admissionsmethod_prog5,swdappsperseat_prog9,eligibility_prog12,gefilled_prog4,geseats_prog13,coursepassrate,geseats_prog3,council_district,admissionsmethod_prog15,geappsperseat_prog11,eligibility_prog3,swdseats_prog6,swdappsperseat_prog5,swdappsperseat_prog12,independentwebsite,swdseats_prog11,surveysafety,swdapps_prog11,geapps_prog1,name_prog8,admissionsmethod_prog13,start_time,eligibility_prog6,gefilled_prog2,geappsperseat_prog13,name_prog14,gefilled_prog11,swdfilled_prog1,priority4_prog1,tophs3,swdfilled_prog13,priority1_prog2,geapps_prog12,admissionsmethod_prog12,admissionsmethod_prog11,code_prog11,geseats_prog4,subway
M964U,,English as a New Language,Art and Design High School,,,,,,5.0,,,,,,,68.0,,8.0,,,,,,,www.cpe2.org,,82.0,,174.0,,,8:30am,,,,,,Y,,,,,,,,,,6 to 103rd St
X298M,,English as a New Language,Mott Haven Village Preparatory High School,,,,,,2.0,,,,,,,,,17.0,,,,,,,,,84.0,,63.0,,,8:50am,,N,,,,N,,,,Priority to District 7 students and residents,,,,,,"6 to East 149th St; 2, 5 to Prospect Ave; 2, 5 to Jackson Ave"
M324U,,English as a New Language,High School for Environmental Studies,,,,,,12.0,,,,,,,92.0,,10.0,,,,,,,,,88.0,,229.0,,,8:30am,,,,,,Y,,,,,,,,,,"1, A, C to 168th St - Washington Hts"
M289S,,English as a New Language,Millennium High School,,,,,,4.0,,,,,,,100.0,,1.0,,,,,,,,,87.0,,456.0,,,8:30am,,,,,,Y,,,,,,,,,,"R to City Hall; E to World Trade Center; 4, 5, J, Z to Fulton St-Broadway-Nassau; 1, 2, 3, A, C to Chambers St"
M177L,,English as a New Language,Baruch College Campus High School,,7.0,,,,9.0,,,,,,,99.0,,5.0,,,,,,,www.ms177.org,,89.0,,299.0,,,9am,,Y,,,,Y,,,,,,,,,,
X341U,,English as a New Language,Pan American International High School at Monroe,,,,,,3.0,,,,,,,97.0,,17.0,,,,,,,,,85.0,,264.0,,,8:10am,,,,,,N,,,,,,,,,,"2, 5 to 174th St"
X254L,,English as a New Language,Harry S Truman High School,,2.0,,,,7.0,,,,,,,87.0,,15.0,,,,,,,,,79.0,,291.0,,,8:10am,,N,,,,Y,,,,Priority to residents of the middle school zone,,,,,,"B, D to Fordham Rd"
Q126A,Zoned,English as a New Language,Long Island City High School,,4.0,,,,1.0,,,,,,,90.0,77.0,22.0,,,Open to students residing in the zone,,,,www.IS126Q.com,,73.0,,221.0,,,8:00am,,N,,,,N,,Information Technology High School,,,,,,,,"N, Q to Broadway"
K157U,,English as a New Language;Dual Language: Spanish,PROGRESS High School for Professional Careers,,,,,,3.0,,,,,,,86.0,,33.0,,,,,,,www.franklinmagnet.org,,78.0,,84.0,,,8:00am,,,,,,N,,Benjamin Banneker Academy,,,,,,,,G to Classon Ave
X286U,,English as a New Language,Fannie Lou Hamer Freedom High School,,,,,,2.0,,,,,,,39.0,,17.0,,,,,,,www.flhmsx286.org,,86.0,,174.0,,,8:30am,,,,,,N,,,,,,,,,,"6 to Whitlock Ave; 2, 5 to Freeman St"
X447M,,English as a New Language,High School for Teaching and the Professions,,4.0,,,,7.0,,,,,,,99.0,,14.0,,,,,,,,,91.0,,118.0,,,8:00am,,Y,,,,Y,,,,Priority to residents of the middle school zone,,,,,,"B, D to 182nd-183rd Sts; 4 to 183rd St"
M514L,,English as a New Language,Frederick Douglass Academy,,,,,,15.0,,,,,,,82.0,,7.0,,,,,,,youtu.be/opzp9i9CU-s,,69.0,,109.0,,,8:00am,,,,,,Y,,,,,,,,,,"B, C to 135th St; 1 to 137th St - City College"
M334M,,English as a New Language,Stuyvesant High School,,,,,,11.0,,,,,,,100.0,,6.0,,,,,,,,,95.0,,1488.0,,,8:20am,,,,,,Y,,,,,,,,,,"B, C to 81st St-Museum of Nat Hist; 2, 3 to 72nd St; 1 to 79th St"
Q116U,,English as a New Language,Hillcrest High School,,,,,,2.0,,,,,,,90.0,,27.0,,,,,,,,,77.0,,143.0,,,8:10am,,,,,,N,,,,,,,,,,
X448L,,English as a New Language;Dual Language: Spanish,The Metropolitan Soundview High School,,,,,,4.0,,,,,,,91.0,,18.0,,,,,,,www.soundviewacademy.org,,86.0,,330.0,,,8:00am,,,,,,Y,,Gotham Collaborative High School,,,,,,,,
M191S,,English as a New Language,High School for Environmental Studies,,,,,,4.0,,,,,,,86.0,,6.0,,,,,,,,,75.0,,106.0,,,,,,,,,Y,,,,,,,,,,
M224M,,English as a New Language,Manhattan Center for Science and Mathematics,,,,,,10.0,,,,,,,92.0,,8.0,,,,,,,www.manhattaneastschool.nyc,,82.0,,550.0,,,8:00am,,,,,,Y,,,,,,,,,,6 to 96th St; 6 to 103rd St
K121U,,English as a New Language,Franklin Delano Roosevelt High School,,,,,,2.0,,,,,,,91.0,,44.0,,,,,,,,,93.0,,82.0,,,8:00am,,,,,,Y,,,,,,,,,,N to 20th Ave; F to Ave I
X326U,,English as a New Language,DeWitt Clinton High School,,,,,,5.0,,,,,,,93.0,,13.0,,,,,,,www.bgms.org,,88.0,,487.0,,,8:00am,,,,,,N,,Astor Collegiate Academy,,,,,,,,"2, 5 to Allerton Ave"
M362M,,English as a New Language,Columbia Secondary School,,,,,,8.0,,,,,,,95.0,,7.0,,,,,,,,,91.0,,1236.0,,,8:00am,,,,,,Y,,,,,,,,,,"1, A, B, C, D to 125th St"
Q147U,,English as a New Language,John Adams High School,,,,,,4.0,,,,,,,57.99999999999999,,27.0,,,,,,,www.psms147q.com,,78.0,,117.0,,,8:00am,,,,,,Y,,,,,,,,,,
M225U,,English as a New Language,Talent Unlimited High School,,,,,,19.0,,,,,,,99.0,,5.0,,,,,,,,,88.0,,337.0,,,8:30am,,,,,,Y,,,,,,,,,,"F to Lexington Ave-63 St; 6 to 68th St - Hunter College; 4, 5, N, Q, R to Lexington Ave-59 St"
K936U,,English as a New Language,,,,,,,3.0,,,,,,,,,38.0,,,,,,,ArtsOff3rd@gmail.com,,,,215.0,,,,,,,,,Y,,,,,,,,,,
