latitude,longitude,address,condominium_number,contact,nta,school_dist,bin,factory_floor_area,residential_and_non_residential_units,residential_units,sp_dist_1,structure_completed,number_structures,year_alter_2,allowable_building_to_floor_area,total_gross_area_structures,bbl,landmark
40.753011,-73.9924349,500 8 AVENUE,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Midtown-Times Square,2.0,1014421.0,0,28,0,GC,1922.0,1,,10.0,243350,1007850001,
40.757427,-73.9990362,WEST 37 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Chelsea-Hudson Yards,2.0,1000000.0,0,0,0,HY,,0,,0.0,0,1007090017,
40.741269,-73.9747717,516 1 AVENUE,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Murray Hill-Kips Bay,2.0,1000000.0,0,3,0,,1960.0,1,,6.5,85590,1009620001,
40.720767,-73.9808112,10 AVENUE C,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,East Village,1.0,1000000.0,0,0,0,,,0,,0.0,0,1003710003,
40.792932,-73.9471712,105 EAST 106 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,East Harlem (South),4.0,1052015.0,0,5,0,,1929.0,1,,6.5,78600,1016340003,
40.722183,-73.979375,EAST 4 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,East Village,1.0,1000000.0,0,0,0,,,0,,4.0,0,1003740062,
40.795109,-73.9739964,729 WEST END AVENUE,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Upper West Side (Central),3.0,1034190.0,0,0,0,,1950.0,1,,6.5,155944,1012530065,
40.792198,-73.9395805,329 EAST 109 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,East Harlem (North),4.0,1000000.0,0,0,0,,,0,,4.0,0,1016810015,
40.758139,-73.9830385,114 WEST 47 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Midtown-Times Square,2.0,1022667.0,0,40,0,MiD,1987.0,1,2019.0,12.0,646995,1009990019,
40.774202,-73.9859768,200 WEST 65 STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Upper West Side-Lincoln Square,3.0,1030341.0,0,5,0,,1982.0,1,,6.5,416348,1011560030,
40.720247,-74.0070888,14 BEACH STREET,0,Kyle Daniels (212)386-0486 kdaniels@dcas.nyc.gov,Tribeca-Civic Center,2.0,1002168.0,0,2,0,TMU,1912.0,1,,6.5,23300,1001900033,
