telephone,code_prog1,admissionsmethod_prog4,selectioncriteria2_prog3,eligibility_prog2,swdseats_prog2,selectioncriteria3_prog5,selectioncriteria12_prog4,priority2_prog4,geappsperseat_prog2,selectioncriteria9_prog3,swdapps_prog3,selectioncriteria5_prog2,district,code_prog5,priority7_prog4,communityschool,revealed_prog5,latitude,geapps_prog5,selectioncriteria11_prog1,selectioncriteria12_prog5,revealed_prog3,mathprof,priority6_prog5,admissionsmethod_prog1,selectioncriteria7_prog5,name_prog3,geseats_prog5,selectioncriteria7_prog4,swdapps_prog2,priority7_prog6,selectioncriteria5_prog1,selectioncriteria8_prog2,ellprograms,priority2_prog2,swdapps_prog1,priority3_prog1,revealed_prog2,eligibility_prog1,selectioncriteria9_prog2,acceleratedclasses,priority7_prog3,gefilled_prog4,selectioncriteria10_prog6,geapps_prog4
718-830-4970,Q190U,.,.,,,.,.,.,,.,,,28,.,.,No,.,40.722707,.,.,.,.,55.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,143,,.,Open to students and residents of District 28,.,"Algebra I, French, Living Environment, Spanish, US History",.,.,.,.
718-563-7139,X243L,,,,,.,.,.,,.,,,10,,.,No,.,40.860043,,.,.,.,17.0,.,Limited Unscreened,.,,,.,,.,,.,English as a New Language,,111,Then to students and residents of District 10,.,Open to students and residents of Districts 9 and 10,.,"Algebra I, Living Environment, US History",.,,.,
718-739-6883,Q008U,.,.,,,.,.,.,,.,,,28,.,.,"Yes, Southern Queens Park Association, Inc.",.,40.69719,.,.,.,.,19.0,.,Open,.,,.,.,,.,,.,English as a New Language,,68,Then to students and residents of Queens.,.,Open to students and residents of Queens,.,,.,.,.,.
718-723-6200,Q072M,.,.,Open to students and residents of District 28,9,.,.,.,0,.,,,28,.,.,"Yes, The Child Center of NY, Inc",.,40.673769,.,.,.,.,8.0,.,Screened: Language,.,,.,.,41,.,,.,English as a New Language,Then to students and residents of District 28.,36,,.,Open to students and residents of Queens,.,"Algebra I, Earth Science",.,.,.,.
212-666-1278,M362M,,.,,,.,.,.,,.,,.,5,.,.,No,.,40.810431,.,.,.,.,85.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,161,,.,"Open to students and residents of Districts 3, 4, 5, and 6.",.,"Algebra I, Earth Science, Geometry, US History",.,,.,.
718-588-8221,X593M,,,,,.,.,.,,.,,,9,,.,No,.,40.827941,,.,.,.,,.,Screened: Language,.,,,.,,.,,.,English as a New Language,,,,.,Open to students and residents of the Bronx,.,,.,,.,
212-360-0114,M114M,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.780706,.,.,.,.,92.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,69,,.,Open to students and residents of District 2,.,Algebra I,.,.,.,.
212-876-5522,M057S,.,.,,,.,.,.,,.,,,4,.,.,No,.,40.797577,.,.,.,.,15.0,.,Screened,.,,.,.,,.,Punctuality,.,"English as a New Language, Dual Language: Spanish",,67,Then to students and residents of District 4.,.,Open to students and residents of District 4,.,"Algebra I, Living Environment, US History",.,.,.,.
718-901-0436,X211U,,.,,,.,.,.,,.,,.,12,.,.,"Yes, The Children's Aid Society",.,40.843546,.,.,.,.,20.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,60,,.,Open to students and residents of District 12,.,Living Environment,.,,.,.
718-574-2834,K898U,.,.,.,.,.,.,.,.,.,.,.,16,.,.,No,.,,.,.,.,.,,.,Unscreened,.,.,.,.,.,.,.,.,"English as a New Language, Transitional Bilingual Education: Spanish",.,,.,.,Open to students and residents of Brooklyn,.,"Korean, Spanish",.,.,.,.
212-544-8021,M311M,,,,,.,.,.,,.,,,6,,.,No,.,40.866706,.,.,.,.,20.0,.,Screened: Language,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish",,32,,.,Open to students and residents of District 6,.,Spanish,.,,.,
212-860-5803,M108U,.,.,,,.,.,.,,.,,,4,.,.,"Yes, The Leadership Program",.,40.795146,.,.,.,.,8.0,.,Open,.,,.,.,,.,,.,English as a New Language,,43,Then to students and residents of District 4.,.,Open to students and residents of District 4,.,,.,.,.,.
212-247-8652,M408M,.,,,,.,.,.,,.,,.,2,.,.,No,.,40.761448,.,.,.,.,89.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,230,,.,Open to New York City residents,.,"Algebra I, Earth Science, Spanish",.,.,.,.
718-583-4146,X331U,,,,,.,.,.,,.,,,10,,.,"Yes, Fordham University",.,40.851823,,.,.,.,12.0,.,Open,.,,,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,153,Then to students and residents of District 9,.,Open to students and residents of the Bronx,.,Living Environment,.,,.,
718-326-6210,Q128Z,,.,,,.,.,.,,.,,.,24,.,.,No,.,40.715344,.,.,.,.,58.0,.,Zoned,.,,.,.,,.,,.,English as a New Language,,,,.,Open to continue 5th grade students and students residing in the zone,.,"Algebra I, Living Environment",.,,.,.
212-678-2861,M054M,.,,,,.,.,.,,.,,.,3,.,.,No,.,40.800119,.,.,.,.,88.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,128,,.,Open to students and residents of District 3,.,"Algebra I, Earth Science",.,.,.,.
718-746-0818,Q194U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.78365,.,.,.,.,54.0,.,Open,.,,.,.,,.,,.,English as a New Language,,116,Then to students and residents of District 25.,.,Open to students and residents of District 25,.,"Algebra I, Living Environment, US History",.,.,.,.
212-860-6047,M224M,.,.,,,.,.,.,,.,,,4,.,.,No,.,40.785671,.,.,.,.,37.0,.,Screened,.,,.,.,,.,Entrance Assessment: Writing,.,English as a New Language,,254,,.,Open to New York City residents,.,"Algebra I, Earth Science, US History",.,.,.,.
718-353-0009,Q281U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.749545,.,.,.,.,77.0,.,Open,.,,.,.,,.,,.,English as a New Language,,67,,.,Open to students and residents of District 25,.,"Algebra I, Living Environment",.,.,.,.
212-749-5800,M415S,.,,,,.,.,.,,.,,.,3,.,.,"Yes, Teachers College",.,40.802207,.,.,.,.,0.0,.,Screened,.,,.,.,,.,,.,English as a New Language,,57,,.,Open to students and residents of Manhattan,.,Living Environment,.,.,.,.
212-543-4960,M286L,,.,,,.,.,.,,.,,.,5,.,.,No,.,40.815256,.,.,.,.,4.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,42,,.,Open to students and residents of District 5,.,,.,,.,.
718-842-6138,X128S,,,,,.,.,.,,.,,,9,,.,No,.,40.835286,,.,.,.,44.0,.,Screened,.,,,.,,.,Writing Assignment,.,English as a New Language,,165,,.,Open to students and residents of Districts 9 and 10,.,"Algebra I, Living Environment",.,,.,
718-547-1890,X532U,,,,,.,.,.,,.,,,11,,.,No,.,40.884953,,.,.,.,8.0,.,Open,.,,,.,,.,,.,English as a New Language,,84,,.,Open to students and residents of District 11,.,,.,,.,
718-821-4248,K347M,,,Open to students residing in the zone,,.,.,.,,.,,,32,,.,No,.,40.70069,,.,.,.,18.0,.,Screened,.,,,.,,.,,.,English as a New Language,,51,,.,Open to students and residents of District 32,.,Spanish,.,,.,
718-634-7914,Q042U,,,,,.,.,.,,.,,,27,,.,"Yes, FHI 360",.,40.594538,.,.,.,.,6.0,.,Open,.,,.,.,,.,,.,English as a New Language,,39,Then to students and residents of Queens.,.,Open to students and residents of Queens,.,Algebra I,.,,.,
718-235-1785,K760U,.,,,,.,.,.,,.,,.,19,.,.,No,.,40.68618,.,.,.,.,13.0,.,Open,.,,.,.,,.,,.,English as a New Language,,41,,.,Open to students and residents of District 19,.,"Algebra I, Geometry, Living Environment, US History",.,.,.,.
