inspectionid,compostsystem,turtles,raingallons,openlawnorcommunalarea,structureforseasonextension,fruittrees
336,True,False,1000.0,True,False,True
112,True,False,300.0,True,False,True
494,True,False,250.0,True,False,False
150,True,False,500.0,True,False,True
126,True,False,480.0,True,False,True
288,True,False,,True,False,True
87,False,False,,True,False,True
167,True,False,,True,False,True
363,False,False,60.0,True,False,True
101,False,False,60.0,True,False,True
435,False,False,,True,False,True
157,True,False,250.0,False,False,True
151,False,False,540.0,True,False,True
20,True,False,1000.0,True,False,False
403,True,False,450.0,True,False,False
111,False,False,,True,False,False
155,False,False,,True,False,True
41,True,False,120.0,True,False,True
217,True,False,300.0,True,False,True
352,False,False,,True,False,False
199,True,False,100.0,True,False,True
388,False,False,,True,False,False
470,True,False,,False,False,False
381,False,False,,False,False,True
359,False,False,,True,False,True
275,True,False,120.0,False,False,True
248,False,False,100.0,True,False,True
458,True,False,,True,False,False
331,False,False,,True,False,True
399,False,False,,True,False,True
515,True,False,,True,False,True
8,False,False,,True,False,True
229,True,False,110.0,True,False,True
34,False,False,120.0,True,False,True
28,True,False,,True,False,True
296,True,False,,False,False,False
259,True,False,,False,False,True
198,True,False,1000.0,True,False,True
246,False,False,,True,False,True
84,False,False,500.0,True,False,True
64,False,False,,True,False,False
489,False,False,,True,False,True
409,False,False,,True,False,False
22,True,True,,False,False,True
194,False,False,,True,False,True
277,False,False,1180.0,True,False,True
260,False,False,,False,False,False
501,False,False,120.0,True,False,True
410,False,False,,True,False,False
156,False,False,,False,False,False
24,False,False,,True,False,True
664,,,,,False,False
124,False,False,,False,False,False
209,False,False,,True,False,True
548,False,False,,True,False,False
534,False,False,330.0,True,False,True
62,False,False,180.0,True,False,False
82,False,False,55.0,True,False,True
237,False,False,6.0,True,False,False
300,False,False,,False,False,False
220,True,False,240.0,True,False,False
486,False,False,300.0,False,False,True
160,False,False,250.0,True,False,True
179,False,False,,True,False,False
159,True,False,,True,False,False
495,False,False,120.0,True,False,True
197,False,False,,True,False,False
538,False,False,110.0,True,False,False
321,True,False,2000.0,True,False,False
186,False,False,,True,False,True
317,False,False,,True,False,True
2735,,,,,False,False
422,True,False,,True,False,True
258,False,False,,True,False,False
269,True,False,50.0,False,False,False
27,True,True,,False,False,True
439,False,False,,True,False,False
77,False,False,,False,False,True
490,True,False,1240.0,False,False,True
294,True,False,,True,False,True
564,False,False,,True,False,True
16,True,False,1200.0,True,False,True
191,True,False,305.0,False,False,True
98,True,False,,True,False,True
326,False,False,,True,False,False
347,True,False,,False,False,True
437,False,False,,False,False,True
462,False,False,,True,False,True
499,False,False,110.0,True,False,True
166,True,False,100.0,True,False,True
108,True,False,1000.0,True,False,True
341,False,False,,True,False,False
505,False,False,400.0,True,False,True
306,False,False,160.0,False,False,True
3,False,False,200.0,False,False,False
487,False,False,,True,False,False
137,True,False,1000.0,True,False,False
482,True,False,300.0,True,False,True
558,True,False,800.0,True,False,False
367,False,False,,True,False,False
169,True,False,2000.0,True,False,True
242,False,False,,True,False,True
298,True,False,,True,False,True
473,False,False,,False,False,False
187,False,False,,False,False,True
76,True,False,500.0,True,False,True
366,False,False,,False,False,True
393,False,False,,True,False,True
481,False,False,,True,False,True
148,False,False,,False,False,True
525,False,False,,True,False,True
632,,,,,False,False
15,True,False,300.0,True,False,True
502,True,False,,True,False,True
379,False,False,,False,False,False
253,True,False,240.0,True,False,True
433,False,False,,True,False,True
123,False,False,220.0,True,False,True
457,True,False,,True,False,False
420,True,False,120.0,True,False,True
