dsny_district,police_precinct,dsny_section,categoriesaccepted,hours,email,rank,dense_rank
BKN03,79.0,BKN032,"Clothing/Personal Accessories, Footwear",,info@helpsy.co,1,1
BX12,47.0,BX121,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,hosuji@africanicc.com,1,1
MN02,5.0,MN021,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,info@housingworks.org,3,1
BKN01,90.0,BKN012,Books/Media,,Blackspringbooks@gmail.com,5,1
BKN01,90.0,BKN012,Books/Media,,Blackspringbooks@gmail.com,5,1
BKN01,94.0,BKN012,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",used@roughtrade.com,1,2
BKN01,94.0,BKN013,"Clothing/Personal Accessories, Footwear",,tf@mycountyrecycling.org,1,1
SI03,,SI036,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment","Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",donate@nycacc.org,1,1
SI03,,SI036,Clothing/Personal Accessories,,dennis.mckeon@where-to-turn.org,1,1
SI03,,SI036,Clothing/Personal Accessories,,dennis.mckeon@where-to-turn.org,1,1
BKN01,94.0,BKN011,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games","Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",dperez1978nun@yahoo.com,1,1
BKN01,94.0,BKN011,,,earwaxrec@gmail.com,1,1
QW09,102.0,QW092,"Clothing/Personal Accessories, Footwear",,info@usagain.com,1,1
BX01,40.0,BX012,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,brianlyons295@gmail.com,1,1
QE08,107.0,QE082,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",,info@indiahome.org,1,1
QE13,116.0,QE136,Clothing/Personal Accessories,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",lovecovenantcogic@gmail.com,1,1
MN03,7.0,MN032,,,info@countryof.com,2,1
BKS18,63.0,BKS185,,,Info@metcouncil.org,1,1
MN02,6.0,MN022,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,info@housingworks.org,1,1
MN02,6.0,MN022,,,info@ifixscreens.com,1,1
MN03,9.0,MN033,,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",auh20shop@gmail.com,1,1
SI02,122.0,SI021,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,1,1
SI02,122.0,SI021,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,1,1
SI02,122.0,SI021,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org,1,1
QW01,114.0,QW013,"Clothing/Personal Accessories, Footwear",,info@usagain.com,1,1
BKN03,79.0,BKN033,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,jborren@lgbtbrooklyn.org,1,1
BKN08,77.0,BKN082,"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene","Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",celestecameron@anchorhouseinc.com,1,1
BKS07,72.0,BKS073,"Food/Beverage, Baby Care","Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",fooddonations@cityharvest.org,1,1
BX11,49.0,BX111,HealthCare,,gumbel@optonline.net,1,1
BX11,49.0,BX111,HealthCare,,gumbel@optonline.net,1,1
QE07,109.0,QE075,"Clothing/Personal Accessories, Footwear",,tf@mycountyrecycling.org,1,1
QE07,109.0,QE075,"Clothing/Personal Accessories, Footwear",,tf@mycountyrecycling.org,1,1
QE07,109.0,QE075,"Clothing/Personal Accessories, Footwear",,tf@mycountyrecycling.org,1,1
QE12,103.0,QE122,"Clothing/Personal Accessories, Footwear",,no@email.com,1,1
SI01,121.0,SI013,"Clothing/Personal Accessories, Footwear",,info@recyclingtech.com,1,1
SI02,121.0,SI024,"Clothing/Personal Accessories, Footwear",,pickup@carecyclecares.com,4,1
BKS06,76.0,BKS061,,,instagram@noemail.com,1,1
BX06,48.0,BX062,"Clothing/Personal Accessories, Footwear",,info@helpsy.co,1,1
MN12,34.0,MN124,"Clothing/Personal Accessories, Footwear",,info@helpsy.co,1,1
QE07,109.0,QE073,"Clothing/Personal Accessories, Footwear",,info@usagain.com,1,1
BX06,48.0,BX061,Food/Beverage,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",libresporcristo@aol.com,1,1
SI01,120.0,SI012,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com,2,1
SI01,120.0,SI012,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com,2,1
BKN04,83.0,BKN042,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear","Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",gboszeta@riseboro.org,1,1
BKN04,83.0,BKN043,"Clothing/Personal Accessories, Footwear",,info@usagain.com,1,1
BKN03,79.0,BKN031,,,bikeplantnyc@gmail.com,1,1
