dsny_district,partnerstatus,categoriesaccepted,dsny_zone,hours,additionalmaterialinformation,email,categoriesavailable,rank,dense_rank
BKN01,,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",BKN,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",Businesss has an yellowing awning,dperez1978nun@yahoo.com,,1,1
BKN03,,"Arts/Crafts, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, HealthCare, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",BKN,,"Our center in Bed-Stuy is located on 1360 Fulton Street, Ground Floor; Brooklyn, NY 11216. The entrance is on New York Avenue, between Fulton and Herkimer Streets.",jborren@lgbtbrooklyn.org,,1,2
BKN01,,"Clothing/Personal Accessories, Footwear",BKN,,,tf@mycountyrecycling.org,,1,3
BKN01,,,BKN,,,earwaxrec@gmail.com,Books/Media,1,3
BKN01,,Books/Media,BKN,,,Blackspringbooks@gmail.com,Books/Media,1,3
BKN01,,,BKN,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",,used@roughtrade.com,Books/Media,1,3
BKN01,,Books/Media,BKN,,,Blackspringbooks@gmail.com,Books/Media,1,3
BKN04,,"Clothing/Personal Accessories, Footwear",BKN,,,info@usagain.com,,1,3
BKN04,,"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",BKN,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",,gboszeta@riseboro.org,,1,3
BKN03,,,BKN,,,bikeplantnyc@gmail.com,,1,3
