dsny_district,partnerstatus,dsny_zone,categoriesaccepted,hours,categoriesavailable,email,rank,dense_rank
MN02,Partner,MN,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",info@housingworks.org,1,1
MN02,Partner,MN,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",info@housingworks.org,1,1
MN02,,MN,,,,info@ifixscreens.com,3,1
MN03,,MN,,,Clothing/Personal Accessories,info@countryof.com,1,1
MN03,,MN,,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd","Clothing/Personal Accessories, Footwear",auh20shop@gmail.com,1,1
MN12,,MN,"Clothing/Personal Accessories, Footwear",,,info@helpsy.co,1,2
SI01,,SI,"Clothing/Personal Accessories, Footwear",,,info@recyclingtech.com,1,1
SI01,,SI,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",clothing@etgstores.com,1,1
SI01,,SI,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",clothing@etgstores.com,1,1
SI03,,SI,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment","Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",,donate@nycacc.org,1,1
SI03,,SI,Clothing/Personal Accessories,,,dennis.mckeon@where-to-turn.org,1,1
SI03,,SI,Clothing/Personal Accessories,,,dennis.mckeon@where-to-turn.org,1,1
SI02,,SI,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,George.barreto@chasiny.org,1,1
SI02,,SI,"Clothing/Personal Accessories, Footwear",,,pickup@carecyclecares.com,1,1
SI02,,SI,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,George.barreto@chasiny.org,1,1
SI02,,SI,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,George.barreto@chasiny.org,1,1
BX01,,BX,"Baby Care, Building Products, Cleaning Products, Clothing/Personal Accessories, Food/Beverage, Footwear, Kitchen Items, Lawn/Garden Supplies, Office Supplies/Stationary, Personal Care/Hygiene, Tools/Equipment",,"Clothing/Personal Accessories, Food/Beverage, Personal Care/Hygiene",brianlyons295@gmail.com,1,1
BX11,,BX,"Clothing/Personal Accessories, Footwear",,,info@helpsy.co,1,2
BX11,,BX,HealthCare,,,gumbel@optonline.net,1,2
BX11,,BX,HealthCare,,,gumbel@optonline.net,1,2
BX12,,BX,"Appliances, Sports Equipment, Personal Care/Hygiene, Office Supplies/Stationary, Office Furniture/Furnishings, Musical Instruments, Kitchen Items, Household Furniture/Furnishings, HealthCare, Footwear, Food/Beverage, Electronics, Clothing/Personal Access",,,hosuji@africanicc.com,1,2
BX06,,BX,Food/Beverage,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",Food/Beverage,libresporcristo@aol.com,1,2
BX06,,BX,"Clothing/Personal Accessories, Footwear",,,info@helpsy.co,1,2
QE08,,QE,"Appliances, Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Musical Instruments, Office Furniture/Furnishings, Toys/Games",,"Books/Media, Clothing/Personal Accessories, Food/Beverage, Footwear, Toys/Games",info@indiahome.org,1,1
QE12,,QE,"Clothing/Personal Accessories, Footwear",,,no@email.com,1,1
QE13,,QE,Clothing/Personal Accessories,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",Clothing/Personal Accessories,lovecovenantcogic@gmail.com,1,1
QE07,,QE,"Clothing/Personal Accessories, Footwear",,,info@usagain.com,1,2
QE07,,QE,"Clothing/Personal Accessories, Footwear",,,tf@mycountyrecycling.org,1,3
QE07,,QE,"Clothing/Personal Accessories, Footwear",,,tf@mycountyrecycling.org,1,3
QE07,,QE,"Clothing/Personal Accessories, Footwear",,,tf@mycountyrecycling.org,1,3
QW09,,QW,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food","Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",contact@calvarymission.com,1,1
QW09,,QW,"Clothing/Personal Accessories, Footwear",,,info@usagain.com,1,2
