site,total_cd_in_senate_11,councildist,ntaname,dsny_section,hours,email
1513 Forest Ave,0.0,49.0,Port Richmond,SI013,,info@recyclingtech.com
Met Council Food Distribution Center,0.0,45.0,Flatlands,BKS185,,Info@metcouncil.org
30-05 Whitestone Expy,0.0,20.0,,QE073,,info@usagain.com
25 Mcguinness Blvd,0.0,33.0,Greenpoint,BKN013,,tf@mycountyrecycling.org
Bike Plant,0.0,36.0,,BKN031,,bikeplantnyc@gmail.com
126-06 15 Ave,42.0,19.0,College Point,QE075,,tf@mycountyrecycling.org
India Home Inc,5.0,24.0,,QE082,,info@indiahome.org
265 Nagle Ave,0.0,10.0,Inwood,MN124,,info@helpsy.co
Earwax Records,0.0,33.0,Williamsburg,BKN011,,earwaxrec@gmail.com
Women's Facility,0.0,36.0,Crown Heights (North),BKN082,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",celestecameron@anchorhouseinc.com
Brooklyn Community Pride Center,0.0,36.0,,BKN033,,jborren@lgbtbrooklyn.org
Applebee's Grill + Bar,0.0,51.0,,SI036,,dennis.mckeon@where-to-turn.org
Calvary's Mission,0.0,29.0,Richmond Hill,QW093,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed",contact@calvarymission.com
Mobile Norway,0.0,50.0,,SI021,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org
569 Wilson Ave,0.0,37.0,Bushwick (East),BKN043,,info@usagain.com
West Village Thrift Shop,0.0,3.0,West Village,MN022,,info@housingworks.org
Rough Trade NYC,0.0,33.0,Williamsburg,BKN012,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",used@roughtrade.com
Record Shop,0.0,38.0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BKS061,,instagram@noemail.com
183-14 Hillside Ave,5.0,23.0,Jamaica,QE122,,no@email.com
495 E 180 St,0.0,15.0,,BX062,,info@helpsy.co
Soho Thrift Shop,0.0,1.0,SoHo-Little Italy-Hudson Square,MN021,,info@housingworks.org
181 Lexington Ave,0.0,36.0,,BKN032,,info@helpsy.co
Love Covenant Church,0.0,31.0,Laurelton,QE136,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",lovecovenantcogic@gmail.com
Apple Bank,0.0,13.0,Pelham Parkway-Van Nest,BX111,,gumbel@optonline.net
Designer Optical of Pelham,0.0,13.0,Pelham Parkway-Van Nest,BX111,,gumbel@optonline.net
African International Collaborative Center,0.0,12.0,Williamsbridge-Olinville,BX121,,hosuji@africanicc.com
St. Ann's of Morrisania,0.0,8.0,Mott Haven-Port Morris,BX012,,brianlyons295@gmail.com
33-34 21 St,0.0,22.0,Queensbridge-Ravenswood-Dutch Kills,QW013,,info@usagain.com
74-39 Jamaica Ave,0.0,32.0,Woodhaven,QW092,,info@usagain.com
University Heights Educational c/o BCS,0.0,33.0,Greenpoint,BKN011,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",dperez1978nun@yahoo.com
