locationname,contact_email,nyceec_targetlang,meals,latepickup,final_address,programname1
Yeled V'Yalda 1257,wgoldberg@yeled.org,,Breakfast/Lunch/Snack(s),,"1257 38th Street, Brooklyn NY 11218",Full-Day Program
ABC/Echo Park ECDC,mrooney@a-b-c.org,x,Breakfast/Lunch/Snack(s),,"1841 Park Avenue, Manhattan NY 10035",Full-Day Program
St. Martin of Tours Head Start,erosa@cmcs.org,,Breakfast/Lunch/Snack(s),,"695 East 182nd Street, Bronx NY 10457",Full-Day Program
Sweet Home Day Care Center,dmitriyuspenskiy@hotmail.com,,Breakfast/Lunch/Snack(s),6pm,"927 McDonald Avenue, Brooklyn NY 11218",Full-Day Program
P.S. 75 School of Research and Discovery,ypena5@schools.nyc.gov,,Breakfast/Lunch,,"984 Faile Street, Bronx NY 10459",Full-Day Program
GRYC Little Stars at Fairview,lstarsprek@thegryc.org,,Breakfast/Lunch/Snack(s),,"776 Fairview Avenue, Queens NY 11385",Full-Day Program
"Boys & Girls Harbor, Inc.",jperalta@theharbor.org,,Breakfast/Lunch/Snack(s),5:45pm,"1 East 104th Street, Manhattan NY 10029",Full-Day Program
Learning Through Play Pre-K Center at 105 Willis Avenue,crahyne2@schools.nyc.gov,,Breakfast/Lunch,,"105 Willis Avenue, Bronx NY 10454",Full-Day Program
Yeshiva Ohr Shraga,generaloffice@ohrshraga.org,,Contact program,,"1102 Avenue L, Brooklyn NY 11230",Half-Day Program
The Cheder,cheder_upk@netzero.net,x,Breakfast/Lunch/Snack(s),,"129 Elmwood Avenue, Brooklyn NY 11230",Full-Day Program
P.S. 199 The Shakespeare School,lnavarr@schools.nyc.gov,,Lunch/Snack(s),,"1449 Shakespeare Avenue, Bronx NY 10452",Full-Day Program
Addie Mae Collins 2,dspann@addiemaecollins.org,,Breakfast/Lunch/Snack(s),,"345 East 101st Street, Manhattan NY 10029",Full-Day Program
Friends of Crown Heights 4,saddler@foch.biz,,Contact program,,"141 East 40th Street, Brooklyn NY 11203",Full-Day Program
P.S. 84 Jose De Diego,lminieralvarez@schools.nyc.gov,,Breakfast/Lunch/Snack(s),,"250 Berry Street, Brooklyn NY 11211",Full-Day Program
P.S. 110 Theodore Schoenfeld,cotero@schools.nyc.gov,,Breakfast/Lunch,,"580 Crotona Park South, Bronx NY 10456",Full-Day Program
East New York Elementary School of Excellence,jhuger@schools.nyc.gov,,Breakfast/Lunch/Snack(s),,"605 Shepherd Avenue, Brooklyn NY 11208",Full-Day Program
Bnos Square of Williamsburg,mkohn@bnossquare.org,,Lunch/Snack(s),,"165 Spencer Street, Brooklyn NY 11205",Full-Day Program
P.S. 177 The Marlboro,scaleca@schools.nyc.gov,,Breakfast/Lunch/Snack(s),,"346 Avenue P, Brooklyn NY 11204",Full-Day Program
P.S. 215 Morris H. Weiss,ABove@schools.nyc.gov,,Breakfast/Lunch,Contact program for time,"415 Avenue S, Brooklyn NY 11223",Full-Day Program
Bumble Bees R Us 8,Jacqueline@bumblebeesrus.com,,Breakfast/Lunch/Snack(s),6pm,"5721 6th Avenue, Brooklyn NY 11220",Full-Day Program
P.S. 43 Jonas Bronck,GDelucc@schools.nyc.gov,,Breakfast/Lunch,,"165 Brown Place, Bronx NY 10454",Full-Day Program
Action Nursery,actionnursery@thejnet.com,,Breakfast/Lunch/Snack(s),Contact program for time,"1019 46th Street, Brooklyn NY 11219",Full-Day Program
Imagine Brooklyn Heights,sally@imagineelc.com,,Contact program,Contact program for time,"50 Monroe Place, Brooklyn NY 11201",Full-Day Program
Children's Aid Society Taft Early Childhood Center,beverlyl@childrensaidsociety.org,,Breakfast/Lunch/Snack(s),Contact program for time,"1724-26 Madison Avenue, Manhattan NY 10029",Full-Day Program
James Weldon Johnson,LHasty@schools.nyc.gov,,Breakfast/Lunch,,"176 East 115th Street, Manhattan NY 10029",Full-Day Program
P.S. 108 Sal Abbracciamento,chahn3@schools.nyc.gov,,Breakfast/Lunch,,"200 Linwood Street, Brooklyn NY 11208",Full-Day Program
"MARC Academy and Family Center, Inc.",Ayork@marcafc.org,,Contact program,,"2863 Webster Avenue, Bronx NY 10458",Full-Day Program
P.S. 160 Walt Disney,kgray6@schools.nyc.gov,,Breakfast/Lunch,,"4140 Hutchinson River Parkway East, Bronx NY 10475",Full-Day Program
Riverdale Temple Nursery School,nsdirector.rtns@gmail.com,,Lunch/Snack(s),,"4545 Independence Avenue, Bronx NY 10471",Full-Day Program
Help III,lpineda@helpusa.org,,Breakfast/Lunch/Snack(s),5:30pm,"785 Crotona Park North, Bronx NY 10460",Full-Day Program
Sacred Heart Head Start,mserrano@cmcs.org,,Breakfast/Lunch/Snack(s),,"95 West 168th Street, Bronx NY 10452",Full-Day Program
Sound Dale Center for ECE,bronxdaledaycare@yahoo.com,,Breakfast/Lunch/Snack(s),,"1211 Croes Avenue, Bronx NY 10472",Full-Day Program
"Baybee Lounge Daycare, Inc.",baybeelounge@gmail.com,,Breakfast/Lunch/Snack(s),5:30pm,"2745 Atlantic Avenue, Brooklyn NY 11207",Full-Day Program
