phone,total_police_precinct
(516) 869-7275,121.0
(917) 288-7600,107.0
(718) 616-2000,121.0
(646) 412-0758,72.0
(917) 353-0790,83.0
(718) 353-1549,327.0
(718) 943-1200,
(813) 426-5234,48.0
(347) 843-0420,49.0
(917) 776-3786,94.0
(347) 973-9655,116.0
(212) 354-1056,102.0
(347) 685-6002,79.0
(201) 519-2384,34.0
(718) 455-1100,83.0
(646) 239-2996,79.0
(718) 513-3577,49.0
(718) 626-6354,114.0
(718) 353-6300,109.0
(718) 808-1840,366.0
(212) 788-4000,
(347) 240-2466,79.0
(212) 466-0844,9.0
(646) 786-1200,5.0
(646) 408-3909,48.0
(347) 668-8285,76.0
(646) 478-7301,6.0
(646) 807-5109,94.0
(718) 585-5632,40.0
(718) 756-8673,77.0
(718) 863-9200,49.0
(718) 486-3771,94.0
(111) 111-1111,180.0
(718) 273-7139,240.0
(718) 388-4111,94.0
(212) 352-1618,6.0
(917) 217-5717,102.0
(718) 297-2613,103.0
(646) 714-4665,47.0
(646) 858-0042,7.0
(347) 425-9349,75.0
(718) 763-5318,63.0
