phone,total_sector_avg_violations
718-328-1111,0.03
718-232-3434,0.03
718-651-1166,0.01
718-507-6363,0.03
347-666-6666,0.02
212-364-2000,0.06
718-746-4670,0.01
718-482-8585,0.02
718-898-1000,0.01
718-881-0707,0.03
718-777-5555,0.03
718-442-0022,0.03
718-845-0577,0.03
201-477-3200,0.01
718-472-1000,0.02
718-788-1234,0.03
516-741-1515,0.01
212-629-8000,0.05
212-304-8080,0.03
917-500-4381,0.02
646-844-6564,0.02
646-665-7536,0.08
718-743-8042,0.03
718-446-8700 or 718-446-8793,0.03
718-544-4444,0.03
718-230-0202,0.03
718-773-0020,0.03
718-888-0402,0.02
718-585-8500,0.01
917-903-0829,0.01
212-663-8080,0.03
718-703-3333,0.40000000000000013
718-424-1250,0.02
718-633-4800,0.03
718-383-8300,0.03
646-665-7473,0.48000000000000015
212-647-8400,0.01
