objectid,site_type,contact_count,latitude,longitude,site,phone,bin,address
118949,Other Site,1,40.808541,-73.917014,St. Ann's of Morrisania,(718) 585-5632,2000081.0,"295 Saint Ann's Avenue, The Bronx, NY, USA"
118010,Other Site,1,40.763972,-73.933338,33-34 21 St,(718) 626-6354,4005788.0,"33-34 21st Street, Long Island City, NY, USA"
118987,Other Site,1,40.527919,-74.237856,Staten Island Animal Care Center,(212) 788-4000,5155332.0,"3139 Veterans Road West, Staten Island, NY 10309, USA"
118649,Clothing Site,1,40.66659,-73.744995,Love Covenant Church,(347) 973-9655,4283794.0,"231-02 Mentone Ave, Jamaica, NY 11413, USA"
118719,Other Site,3,40.59447,-74.078593,Mobile Norway,(718) 808-1840,5109514.0,"155 Norway Avenue, Staten Island, NY, USA"
118189,Other Site,1,40.727017,-73.986286,AuH2O,(212) 466-0844,1006282.0,"84 East 7th Street, New York, NY, USA"
118857,Other Site,1,40.677737,-74.012765,Record Shop,(347) 668-8285,3336621.0,"360 Van Brunt Street, Brooklyn, NY, USA"
117862,Other Site,1,40.625211,-74.138886,1513 Forest Ave,(516) 869-7275,5110056.0,"1513 Forest Avenue, Staten Island, NY, USA"
118339,Other Site,2,40.637406,-74.081209,Clothing,(718) 273-7139,5000385.0,"17 Brook Street, Staten Island, NY 10301, USA"
118386,Other Site,1,40.856464,-73.867403,Designer Optical of Pelham,(718) 513-3577,2049397.0,"2196a White Plains Rd, The Bronx, NY 10462, USA"
118570,Other Site,1,40.695649,-73.917657,Hope Gardens Multi-Service Senior Center,(718) 455-1100,3076116.0,"195 Linden Street, Brooklyn, NY 11221, USA"
117941,Other Site,1,40.591141,-74.164246,2275-2375 Richmond Ave,(718) 616-2000,5107371.0,"2275 Richmond Avenue, Staten Island, NY, USA"
117968,Other Site,1,40.723492,-73.947933,25 Mcguinness Blvd,(917) 776-3786,3066846.0,"25 McGuinness Blvd, Brooklyn, NY, USA"
118220,Other Site,1,40.693255,-73.945604,Bike Plant,(347) 240-2466,3049352.0,"175 Tompkins Avenue, Brooklyn, NY 11206, USA"
118289,Other Site,1,40.693131,-73.843549,Calvary's Mission,(212) 354-1056,4194447.0,"102-16 89th Ave, Jamaica, NY 11418, USA"
117895,Other Site,1,40.713559,-73.778133,183-14 Hillside Ave,(718) 297-2613,4212730.0,"183-14 Hillside Avenue, Jamaica, NY, USA"
119186,Other Site,1,40.672931,-73.94519,Women's Facility,(718) 756-8673,3031601.0,"976 Park Place, Brooklyn, NY, USA"
117893,Other Site,1,40.687331,-73.955155,181 Lexington Ave,(646) 239-2996,3056359.0,"181 Lexington Avenue, Brooklyn, NY, USA"
118176,Clothing Site,2,40.53073,-74.228363,Applebee's Grill + Bar,(718) 943-1200,5170012.0,"2720 Veterans Road West, Staten Island, NY 10309, USA"
118929,Other Site,1,40.724709,-73.996391,Soho Thrift Shop,(646) 786-1200,1007944.0,"130 Crosby Street, New York, NY 10012, USA"
118064,Other Site,1,40.69108,-73.908517,569 Wilson Ave,(917) 353-0790,3079058.0,"569 Wilson Avenue, Brooklyn, NY, USA"
119172,Other Site,1,40.733935,-74.005895,West Village Thrift Shop,(212) 352-1618,1011183.0,"245 West 10th Street, New York, NY 10014, USA"
118585,Other Site,1,40.732531,-73.997357,iFixScreens Greenwich Village,(646) 478-7301,1008860.0,"14 West 8th Street, New York, NY, USA"
118263,Other Site,1,40.680114,-73.946493,Brooklyn Community Pride Center,(347) 685-6002,3329709.0,"1360 Fulton Street, Brooklyn, NY 11216, USA"
118370,Other Site,1,40.715165,-73.990268,COUNTRY OF,(646) 858-0042,1083703.0,"13 Essex Street, New York, NY, USA"
117827,Other Site,3,40.784856,-73.841859,126-06 15 Ave,(718) 353-1549,4437977.0,"126-06 15th Avenue, College Point, NY, USA"
117978,Other Site,1,40.863083,-73.920252,265 Nagle Ave,(201) 519-2384,1064706.0,"265 Nagle Avenue, New York, NY, USA"
118413,Other Site,1,40.718866,-73.955916,Earwax Records,(718) 486-3771,3061704.0,"167 North 9th Street, Brooklyn, NY, USA"
119129,Other Site,1,40.667178,-73.896805,Unity Plaza Community Center,(347) 425-9349,3336125.0,"576 Blake Avenue, Brooklyn, NY, USA"
118173,Other Site,1,40.856453,-73.868324,Apple Bank,(718) 863-9200,2049390.0,"626 Pelham Parkway South, The Bronx, NY, USA"
118091,Other Site,1,40.69164,-73.866648,74-39 Jamaica Ave,(917) 217-5717,4180778.0,"74-39 Jamaica Avenue, Woodhaven, NY, USA"
118883,Other Site,1,40.720773,-73.959981,Rough Trade NYC,(718) 388-4111,3392437.0,"64 North 9th Street, Brooklyn, NY 11249, USA"
118152,Other Site,1,40.878736,-73.864074,African International Collaborative Center,(646) 714-4665,2057701.0,"726 E 213th St, Bronx, NY 10467, USA"
118127,Other Site,1,40.865275,-73.859067,950 Allerton Ave,(347) 843-0420,2051712.0,"950 Allerton Avenue, The Bronx, NY, USA"
118331,Other Site,1,40.648279,-74.018842,City Harvest,(646) 412-0758,3337255.0,"150 52nd Street, Brooklyn, NY, USA"
118695,Other Site,1,40.638725,-73.923712,Met Council Food Distribution Center,(718) 763-5318,3350216.0,"5361 Preston Ct, Brooklyn, NY, USA"
118225,Other Site,2,40.714443,-73.959471,Black Spring Books,(111) 111-1111,3062466.0,"672 Driggs Avenue, Brooklyn, NY, USA"
117991,Other Site,1,40.770271,-73.833544,30-05 Whitestone Expy,(718) 353-6300,4100748.0,"30-05 Whitestone Expy, Flushing, NY, USA"
118056,Other Site,1,40.851499,-73.894866,495 E 180 St,(813) 426-5234,2011507.0,"495 East 180th Street, Bronx, NY, USA"
118648,Other Site,1,40.852108,-73.88949,Los Redimidos en la Sangre de Cristo,(646) 408-3909,2012068.0,"609 E 182nd St, Bronx, NY 10457, USA"
118589,Other Site,1,40.713407,-73.784358,India Home Inc,(917) 288-7600,4534092.0,"178-36 Wexford Terrace, Jamaica, NY, USA"
119130,Other Site,1,40.736295,-73.959295,University Heights Educational c/o BCS,(646) 807-5109,3418261.0,"5 Blue Slip, Brooklyn, NY, USA"
