dbn,school_name,eligibility3,grade9geapplicants4,requirement3_5,admissionspriority33,college_career_rate,code7,ptech,nta,grade9swdapplicantsperseat9,postcode,grade9geapplicants10,grade9geapplicantsperseat3,eligibility10,requirement6_7,grade9swdapplicants5,auditioninformation3,seats9ge3,admissionspriority13,school_email,grade9swdapplicants9,admissionspriority23,grade9swdfilledflag6,grade9geapplicants9,admissionspriority27,diversity_in_admissions,seats9swd9,attendance_rate,requirement3_1,geoeligibility,grade9swdfilledflag7,prgdesc6,requirement1_9,interest4,grade9swdapplicantsperseat5,requirement6_2,requirement1_8,offer_rate1_1,requirement5_5,:@computed_region_f5dn_yrer,program6,seats6specialized,requirement4_5,pct_stu_enough_variety,phone_number,prgdesc2,seats9ge9,program2,eligibility4,campus_name,academicopportunities2,end_time,requirement7_4,admissionspriority110,method10,requirement7_5,auditioninformation4,council_district,start_time,grade9swdapplicants4,seats9swd4,grade9geapplicantsperseat8,primary_address_line_1,seats2specialized,girls,grade9swdfilledflag8,common_audition6,psal_sports_boys,seats5specialized,seats9ge7,appperseat1specialized
08X269,Bronx Studio School for Writers and Artists,,,,,0.57,,,Hunts Point,,10459,,,,,,,,,DVerhille@schools.nyc.gov,,,,,,,,0.85,Attendance and Punctuality,,,,,,,,,76% of offers went to this group,,8,,,,0.74,718-893-5158,,,,,,"CUNY College Now, College Access for All, SEO, Bottom Line, CUNY LINCT, Summer College at NYU & Manhattan College, college trips",2:35pm,,,,,,17,8:15am,,,,928 SIMPSON STREET,,,,,"Basketball, Cross Country, Rugby, Soccer, Wrestling",,,
10X225,Theatre Arts Production Company School,,68.0,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,Then to New York City residents,0.55,,,Mount Hope,,10457,,2.0,,,35,"Participate in both a ballet class and a modern dance class. In addition to this common audition requirement, a prepared solo is necessary. Applicants must wear ballet shoes and fitted black dance attire.",27.0,Priority to continuing 8th graders,rlink2@schools.nyc.gov,,Then to Bronx students or residents,,,,,,0.81,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,,,Performing Arts/Visual Art & Design,5,,,31% of offers went to this group,,6,,,Audition with common components,0.49,718-584-0832,"General Choir, Show Choir, Jazz Choir, and Women's Choir. Music Theory, Music History, Improvisation, Sight Singing, Piano; On- or off-site private lessons by audition.",,Vocal Music,,,"College Readiness for All, Pathways to Purchase College program, earn college credits at Lehman College, Heckscher Scholars program, A-List SAT Tutoring",2:50pm,,,,,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.,15,8:20am,15.0,7.0,,2225 WEBSTER AVENUE,,,,,,,,
10X524,Crotona International High School,,,,,0.36,,,Belmont,,10458,,,,,,,,,cihsinfo@crotonaihs.org,,,,,,,,0.85,,,,,,,,,,,,35,,,,0.92,718-561-8701,,,,,Grace Dodge Educational Campus,"Graphic designing, Media Technology & Video Production",2:30pm,,,,,,15,8:00am,,,,2474 CROTONA AVENUE,,,,,"Baseball, Basketball",,,
21K348,High School of Sports Management,,,,,0.45,,,Gravesend,,11214,,,,,,,,,dcradle@schools.nyc.gov,,,,,,,,0.76,,,,,,,,,,82% of offers went to this group,,21,,,,0.73,718-333-7650,,,,,Lafayette Educational Campus,National Honor Society-HSSM,3:45pm,,,,,,47,8:15am,,,,2630 BENSON AVENUE,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,
02M260,The Clinton School,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,,10003,,,,,,,,,AVillareal@theclintonschool.net,,,,,,,,0.96,"Standardized Test Scores: English Language Arts (3.6-4.5), Math (3.7-4.5)",,,,,,,,,59% of offers went to this group,,11,,,,0.75,212-524-4360,,,,,,"Current IB courses include: Biology, History, Visual Arts, Film, Language and Literature, Mathematics, and Spanish.",3:30pm,,,,,,2,8:50am,,,,10 EAST 15TH STREET,,,,,Basketball,,,
28Q325,Hillside Arts & Letters Academy,,,,,0.63,,,Briarwood-Jamaica Hills,,11432,,,,,,,,,admin@hillsidearts.org,,,,,,,,0.87,Course Grades: Average,,,,,,,,,99% of offers went to this group,,25,,,,0.93,718-658-1249,,,,,Jamaica Educational Campus,"CUNY College Now, AP courses: English, US History, Calculus, Comp Sci., Environmental Sci, Spanish, Psych., and more",2:53pm,,,,,,24,8:03am,,,,167-01 GOTHIC DRIVE,,,,,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,
23K647,Metropolitan Diploma Plus High School,,,,,,,,Brownsville,,11212,,,,,,,,,myallowitz@schools.nyc.gov,,,,,,,,0.63,,,,,,,,,,,,55,,,,0.82,718-342-6249,,,,,,"Learning to Work (LTW) Internships, Power-Hour Saturday Regents Prep",2:40pm,,,,,,42,8:36am,,,,985 ROCKAWAY AVENUE,,,,,Basketball,,,
10X434,Belmont Preparatory High School,,,,,0.8,,,Belmont,,10458,,,,,,,,,info@belmontprephs.org,,,,,,,,0.86,Demonstrated Interest: School Visit,,,,,,,,,100% of offers went to this group,,35,,,,0.78,718-733-4559,,,,,Theodore Roosevelt Educational Campus,First-year students are given an additional team-taught science course designed to prepare them for their first Regents exam in Living Environment.,3pm or 3:52 PM (Extended Day Program),,,,,,15,8:15am,,,,500 EAST FORDHAM ROAD,,,,,"Baseball, Basketball, Swimming, Volleyball",,,
12X478,The Cinema School,,,,,0.78,,,West Farms-Bronx River,,10472,,,,,,,,,pmoore@tcs-nyc.org,,,,,,,,0.88,"Course Grades: English (73-100), Math (70-100), Science (71-100), Social Studies (71-100)",,,,,,,,,,,58,,,,0.57,718-620-2560,,,,,James Monroe Educational Annex,Partnership with CUNY College Now at Lehman College,2:51pm,,,,,,18,8:33am,,,,1551 EAST 172ND STREET,,,,,"Badminton, Baseball, Basketball, Bowling, Soccer, Swimming, Volleyball",,,
11X545,Bronx Aerospace High School,,,,,0.47,,,Williamsbridge-Olinville,,10467,,,,,,,,,ehurtado@schools.nyc.gov,,,,,,,,0.81,,,,,,,,,,89% of offers went to this group,,29,,,,0.63,718-696-6010,,,,,Evander Childs Educational Campus,The Aviation program is designed for those interested in the engineering field of Aviation or becoming pilots,4pm,,,,,,12,8:19am,,,,800 EAST GUN HILL ROAD,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",,,
