action_type,automation_email_id,member_id,list_id,activity_timestamp,ip_address,url,bounce_type,activity_id,automation_id,segment_id
open,b63e7b8aff,4956ae6c75ac652fd9a32c7c5ed8083a,8e423a4179,2020-04-21 14:53:32,76.64.79.89,,,8abda8f5201e2e48505debcbe6e56571,71ad2ce945,
open,b63e7b8aff,4d1bf0aa67690a2b483771ce00cfb6a7,8e423a4179,2020-04-21 14:52:06,76.64.79.89,,,2461363186f545f87fc5ab786f22660d,71ad2ce945,
click,b63e7b8aff,4d1bf0aa67690a2b483771ce00cfb6a7,8e423a4179,2020-04-21 14:52:06,76.64.79.89,https://example.com/,,499338b5e3f74736699318fc07015cb7,71ad2ce945,
click,b63e7b8aff,4956ae6c75ac652fd9a32c7c5ed8083a,8e423a4179,2020-04-21 14:53:34,76.64.79.89,https://example.com/,,b31cae1f1d145b07e8ce85f60e442aba,71ad2ce945,
click,b63e7b8aff,4d1bf0aa67690a2b483771ce00cfb6a7,8e423a4179,2020-04-21 14:52:11,76.64.79.89,https://github.com/example,,58b50e29c45eacfdea1663453842a7ba,71ad2ce945,
click,b63e7b8aff,4956ae6c75ac652fd9a32c7c5ed8083a,8e423a4179,2020-04-21 14:53:32,76.64.79.89,https://github.com/example,,fadbbda0a5bc4f1525cc0244b4ca83b0,71ad2ce945,
click,b63e7b8aff,4956ae6c75ac652fd9a32c7c5ed8083a,8e423a4179,2020-04-21 14:53:37,76.64.79.89,https://join.slack.com/t/,,9788b125a910d61e1b90f119ebce3d5b,71ad2ce945,
click,123,4956ae6c75ac652fd9a32c7c5ed8083a,8e423a4180,2020-04-21 14:53:37,76.64.79.89,https://join.slack.com/t/,,40967cab629427f1ad45d17dc22cb92a,12345,
open,b63e7b8ag1,5a1bf0aa67690a2b483771ce00cfb6a8,8e423a4181,2020-04-26 10:10:00,192.168.1.100,,,ef77de33a8fa5f645e78bd76c718f223,71ad2ce946,482928
open,b63e7b8ag1,6b2bf0aa67690a2b483771ce00cfb6a9,8e423a4181,2020-04-26 10:15:00,192.168.1.101,,,df4cf386ef2d8c905334146d72e25d86,71ad2ce946,482928
click,b63e7b8ag1,5a1bf0aa67690a2b483771ce00cfb6a8,8e423a4181,2020-04-26 10:12:00,192.168.1.100,https://techstartup.com/welcome,,acd4f60d74b7a3e1994fe97621762fd1,71ad2ce946,482928
open,b63e7b8ag1,7c3bf0aa67690a2b483771ce00cfb6b0,8e423a4181,2020-04-26 10:20:00,192.168.1.102,,,c8793ace3d3e05c2503d1bd8f82df0ef,71ad2ce946,482928
click,b63e7b8ag1,7c3bf0aa67690a2b483771ce00cfb6b0,8e423a4181,2020-04-26 10:22:00,192.168.1.102,https://techstartup.com/welcome,,1e3d8fc475aaecdaea478d5fe8c0663a,71ad2ce946,482928
open,b63e7b8ag3,8d4bf0aa67690a2b483771ce00cfb6b1,8e423a4182,2020-04-26 11:10:00,192.168.2.100,,,3eaa2ad18fe26387059c103477d7e0e6,71ad2ce947,482929
open,b63e7b8ag3,9e5bf0aa67690a2b483771ce00cfb6b2,8e423a4182,2020-04-26 11:15:00,192.168.2.101,,,1e7e5ed8263b237d76fc420743d727ea,71ad2ce947,482929
click,b63e7b8ag3,8d4bf0aa67690a2b483771ce00cfb6b1,8e423a4182,2020-04-26 11:12:00,192.168.2.100,https://marketingpro.com/onboard,,e29abd8fd30ee908dd3f026a5fe219b7,71ad2ce947,482929
open,b63e7b8ag4,1g7bf0aa67690a2b483771ce00cfb6b4,8e423a4183,2020-04-26 12:10:00,192.168.3.100,,,90688554dce3da82f7858ba8078da7f9,71ad2ce948,482930
open,b63e7b8ag4,2h8bf0aa67690a2b483771ce00cfb6b5,8e423a4183,2020-04-26 12:15:00,192.168.3.101,,,cac5e13ba3fa6acd91221abe2714d99e,71ad2ce948,482930
click,b63e7b8ag4,1g7bf0aa67690a2b483771ce00cfb6b4,8e423a4183,2020-04-26 12:12:00,192.168.3.100,https://ecommsol.com/journey,,d5fb0df15e968d1fa1072ea0e4a66049,71ad2ce948,482930
open,b63e7b8ag5,3i9bf0aa67690a2b483771ce00cfb6b6,8e423a4184,2020-04-26 13:10:00,192.168.4.100,,,c23b7ef3320db1a78559bb38ab1db762,71ad2ce949,482931
open,b63e7b8ag5,4j0bf0aa67690a2b483771ce00cfb6b7,8e423a4184,2020-04-26 13:15:00,192.168.4.101,,,6bc7de10f998978ce53e1901611460d1,71ad2ce949,482931
click,b63e7b8ag5,3i9bf0aa67690a2b483771ce00cfb6b6,8e423a4184,2020-04-26 13:12:00,192.168.4.100,https://creativestudio.co/welcome,,297c7637b551b0057503927f4139cea7,71ad2ce949,482931
