license_number,location,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,_2015_honor_roll_drivers,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name
B01051,"{'latitude': '40.819497', 'longitude': '-73.88907'}",No,New York City,BRONX    ,5.0,Not Reported,2.0,5.0,Yes,No,Honda Accord,1999.0,,
B01854,"{'latitude': '40.922042', 'longitude': '-74.069773'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Chevrolet Suburban,1999.0,,
B01492,"{'latitude': '40.711192', 'longitude': '-73.951373'}",No,New York City,BROOKLYN ,1.0,Not Reported,0.0,2.0,No,Yes,Chevrolet Tahoe,1998.0,,
B01976,"{'latitude': '40.782137', 'longitude': '-73.826104'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Lincoln MKT,2002.0,,(PARTNERS EXECUTIVE TRANSPORT)
B02845,"{'latitude': '40.764583', 'longitude': '-73.83384'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Toyota Sienna,2015.0,,
B02772,"{'latitude': '40.701122', 'longitude': '-73.83138'}",No,New York City,QUEENS   ,26.0,Not Reported,0.0,3.0,Yes,No,Cadillac Escalade,2014.0,,
B01336,"{'latitude': '40.602225', 'longitude': '-73.99315'}",No,New York City,BROOKLYN ,66.0,Not Reported,0.0,2.0,No,No,Chrysler Town and Country,1996.0,,
B02569,"{'latitude': '40.751777', 'longitude': '-73.930235'}",No,New York City,QUEENS   ,100.0,Not Reported,0.0,3.0,No,Yes,,2012.0,,(GO GREENRIDE)
B00029,"{'latitude': '40.871273', 'longitude': '-73.847835'}",No,New York City,BRONX    ,5.0,Not Reported,0.0,5.0,No,No,Mercury Grand Marquis,1997.0,,
B01236,"{'latitude': '40.779966', 'longitude': '-73.898038'}",Yes,New York City,QUEENS   ,5.0,Not Reported,0.0,3.0,No,No,Cadillac Escalade,1981.0,{'url': 'http://www.blslimo.com'},
B00919,"{'latitude': '40.807098', 'longitude': '-73.952675'}",No,New York City,MANHATTAN,2.0,Not Reported,0.0,4.0,Yes,No,Toyota Camry,1997.0,,
B01741,"{'latitude': '40.675852', 'longitude': '-73.96356'}",No,New York City,BROOKLYN ,3.0,Not Reported,0.0,2.0,No,Yes,Toyota Camry,1997.0,,
B00992,"{'latitude': '40.765944', 'longitude': '-73.912989'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,No,Chrysler Touring,1997.0,,(NEW YORKER CAR SERVICE)
B02067,"{'latitude': '40.756839', 'longitude': '-73.999141'}",Yes,New York City,MANHATTAN,2.0,Not Reported,0.0,4.0,No,Yes,Lincoln MKS,2004.0,,
B00078,"{'latitude': '40.803251', 'longitude': '-73.90843'}",Yes,New York City,BRONX    ,0.0,Not Reported,0.0,5.0,No,No,Chevrolet Tahoe,1986.0,,
B02429,"{'latitude': '40.59092', 'longitude': '-73.961'}",No,New York City,BROOKLYN ,57.0,Not Reported,0.0,2.0,No,No,Toyota Sienna,2010.0,,
B01268,"{'latitude': '40.617782', 'longitude': '-74.101897'}",No,New York City,STATEN IS,0.0,Not Reported,0.0,1.0,No,No,Dodge Caravan,1997.0,,(CLOVE LAKE CARS)
B02457,"{'latitude': '40.737289', 'longitude': '-73.89592'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Chevrolet Tahoe,2011.0,,
B02639,"{'latitude': '40.625703', 'longitude': '-73.939761'}",No,New York City,BROOKLYN ,19.0,Not Reported,0.0,2.0,No,No,Ford Crown Victoria,2013.0,,
B00290,"{'latitude': '40.752235', 'longitude': '-73.85365'}",No,New York City,QUEENS   ,2.0,Not Reported,0.0,3.0,Yes,Yes,Toyota Camry,1999.0,,(NATIONAL HIGH CLASS)
