fullapplicationno,oldpermitno,registeredgvwr,overallwidth,permitapplication,overallheight,manufacturergvwr,issuedate,axle5weight
New1-2015116-84,,,10.06,Crane,11.11,69000.0,2015-04-20T17:35:05.000,
con-2015821-872,evwi-2014111-1002,64000.0,8.0,Overweight,12.0,64000.0,2015-09-14T15:27:41.000,
Bov-2014814-830,V278-2014212-142,120000.0,,Overweight,,58000.0,2014-10-09T13:12:48.000,
ISL-201472-737,MHBS-201394-782,93000.0,,Overweight,,52000.0,2014-08-02T13:02:53.000,
Atl-20171128-729,,,8.04,Crane,10.1,69880.0,2018-01-17T16:54:00.000,
NEW3-2014814-831,J1NZ-20131021-836,79000.0,8.0,Overweight,10.06,81200.0,2014-10-09T10:37:16.000,
Cor1-201588-831,X7BE-2014109-946,55000.0,7.11,Overweight,12.01,64000.0,2015-08-19T17:19:51.000,
con-2014922-1006,qjun-201342-329,60600.0,8.0,Overweight,13.0,60600.0,2014-11-01T17:01:25.000,
The1-201478-759,K8LU-2013826-762,70000.0,8.0,Overweight,11.06,70000.0,2014-08-02T14:56:44.000,
NYC1-20151019-1018,,,,Bulk Milk,,,2016-01-14T17:36:11.000,
NYC1-2015720-776,,,,Bulk Milk,,,2015-07-23T17:15:22.000,
con-2014919-981,vsr5-2013329-291,60600.0,8.0,Overweight,12.0,60600.0,2014-11-01T16:27:56.000,
Lon-20141210-1322,,,8.06,Crane,12.06,71020.0,2015-04-16T11:38:47.000,
K &-2014117-1191,PI1620131028-868,77000.0,8.0,Overweight,11.0,77000.0,2014-11-07T11:50:38.000,
L&M-2015525-575,,,8.06,Crane,13.02,85000.0,2015-07-22T11:50:58.000,
SJ-2014915-904,PI6W20131028874,73300.0,8.0,Overweight,10.06,73300.0,2014-11-07T13:43:43.000,
Cra-2015122-113,,,9.11,Crane,11.07,69700.0,2015-03-24T16:34:20.000,
NYC1-201586-820,,,,Bulk Milk,,,2015-08-17T17:11:23.000,
CAS1-2015831-905,,52300.0,8.0,Overweight,12.04,32900.0,2015-09-30T17:58:17.000,
Wor-2015317-298,,,,Bulk Milk,,,2015-03-20T09:38:59.000,
con-2015112-1175,EVWI-2014111-1072,64000.0,8.0,Overweight,12.0,64000.0,2015-11-22T18:04:50.000,
con-2014919-986,vsr5-2013329-293,64000.0,8.0,Overweight,12.0,64000.0,2014-11-01T16:41:15.000,
con-2015113-1217,evwi-2014111-1116,60600.0,8.0,Overweight,12.0,60600.0,2015-11-23T16:39:24.000,
Bay-20141211-1325,,,9.06,Crane,12.03,69980.0,2015-04-10T12:57:16.000,
Wor-2014626-723,,,,Bulk Milk,,,2014-09-17T17:22:03.000,
con-2015112-1200,EVWI-2014111-1096,52000.0,8.0,Overweight,12.0,60600.0,2015-11-23T16:19:44.000,
Wor-20141125-1240,,,,Bulk Milk,,,2014-12-06T16:19:46.000,
Yon-2015529-589,WIS5-20131118-1116,120000.0,,Overweight,,120000.0,2015-08-21T17:46:43.000,
con-2015113-1221,BGJT-2015225-43,62000.0,8.0,Overweight,12.0,62000.0,2015-11-22T18:26:05.000,
Val-2014811-816,K8LU-2013826-768,78000.0,8.0,Overweight,12.06,78000.0,2014-10-08T17:27:15.000,
con-20141020-1125,YRBW-20141010-977,60600.0,8.0,Overweight,12.0,60600.0,2014-12-18T17:27:01.000,
Bed-2016928-710,,120000.0,,Overweight,,120000.0,2016-10-24T10:49:54.000,
con-2014917-918,wj1o-2013322-256,63580.0,8.0,Overweight,13.0,63580.0,2014-11-01T15:09:39.000,
Val-201546-397,VUX8-2014426-476,78000.0,8.0,Overweight,12.06,78000.0,2015-04-23T17:48:50.000,
La-2015630-711,RT2R-201477-773,78980.0,8.0,Overweight,9.0,78980.0,2015-07-22T13:12:05.000,
RAN-20141126-1243,0608-201443-368,120000.0,,Overweight,,120000.0,2014-12-22T13:45:36.000,
NYC1-2015720-783,,,,Bulk Milk,,,2015-07-23T17:17:30.000,
St-20141212-1361,B3M4-201427-93,49630.0,8.0,Overweight,13.04,64000.0,2015-02-24T16:26:03.000,
Wor-20141125-1212,,,,Bulk Milk,,,2014-12-06T16:14:47.000,
G.A-201547-400,RT2R-201477-781,79000.0,8.0,Overweight,11.09,79000.0,2015-07-11T16:14:43.000,
Wor-2015318-329,,,,Bulk Milk,,,2015-03-19T17:54:25.000,
COR-201585-808,J8DH-2014312-308,50000.0,8.0,Overweight,8.01,50000.0,2015-08-19T17:27:00.000,
TRI1-201812-6,,,7.11,Crane,13.06,84740.0,2018-01-11T14:57:24.000,
Sal-201599-915,X7BE-2014109-973,72220.0,8.0,Overweight,10.03,72220.0,2015-10-20T16:43:18.000,
con-2014924-1028,JI2V-20131116-1071,52000.0,8.0,Overweight,12.0,60600.0,2014-11-01T17:23:03.000,
con-2014917-910,XX3H-2013321-223,80000.0,,Overweight,,80000.0,2014-11-01T14:59:09.000,
Ecc1-2014722-781,JI2V-20131116-967,120000.0,,Overweight,,80000.0,2014-11-01T14:29:14.000,
Alm-201587-824,QPW6-201539-101,117000.0,,Overweight,,59200.0,2015-09-30T09:13:52.000,
con-2015212-163,CL3E-2014320-316,62000.0,8.0,Overweight,12.0,62000.0,2015-04-21T13:34:20.000,
NYC1-20151019-1025,,,,Bulk Milk,,,2016-01-14T17:43:09.000,
Bay-2017124-781,,,9.1,Crane,12.03,69100.0,2017-12-27T15:31:08.000,
Bay-20161130-996,,,9.1,Crane,12.03,69840.0,2017-01-26T14:53:12.000,
Amb-2014821-841,K8LU-2013826-767,64000.0,7.08,Overweight,10.03,64000.0,2014-10-09T13:16:02.000,
NYC1-20151019-1043,,,,Bulk Milk,,,2016-01-14T17:57:05.000,
C.-20141229-1413,CCME-201433-209,120000.0,,Overweight,,120000.0,2015-02-24T17:12:52.000,
con-20151029-1114,EVWI-2014111-1121,64000.0,8.0,Overweight,12.0,64000.0,2015-11-21T20:53:01.000,
con-2015112-1163,EVWI-2014111-1100,64000.0,8.0,Overweight,12.0,64000.0,2015-11-22T17:45:33.000,
CAS1-20141016-1111,B3M4-201427-103,93000.0,,Overweight,,80000.0,2014-12-17T11:03:38.000,
NYC1-2015720-771,,,,Bulk Milk,,,2015-07-23T17:13:12.000,
con-2015113-1224,GMEJ-2015722-667,62000.0,8.0,Overweight,12.0,62000.0,2015-11-23T16:47:04.000,
con-2015112-1185,EVWI-2014111-1081,60600.0,8.0,Overweight,13.0,60600.0,2015-11-22T18:30:14.000,
Val-201539-257,ZLJP-2014410-419,78000.0,8.0,Overweight,12.06,78000.0,2015-03-28T15:02:06.000,
Wor-2014128-1283,,,,Bulk Milk,,,2014-12-13T11:55:09.000,
con-20151027-1091,EVWI-2014111-1018,63580.0,8.0,Overweight,12.0,63580.0,2015-11-21T20:12:31.000,
A.-2015714-749,T65Q-2015530-471,120000.0,,Overweight,,60320.0,2015-08-27T11:15:02.000,
con-2014924-1026,JI2V-20131116-1069,51000.0,8.0,Overweight,12.0,64000.0,2014-11-01T17:20:48.000,
SIL-201599-917,O6O8-201443-372,120000.0,,Overweight,,75000.0,2015-10-22T17:13:02.000,
Cas-2014107-1078,P16W-20131028-884,75000.0,8.0,Overweight,10.08,84000.0,2014-11-07T14:56:47.000,
C.-2015327-367,k87m-2014516-656,120000.0,,Overweight,,120000.0,2015-07-11T17:08:27.000,
ARC-2015824-877,DE7L-2014108-928,58000.0,7.08,Overweight,9.0,71760.0,2015-09-30T11:59:40.000,
Mid-20141219-1402,J5H6-2014211-131,66320.0,8.0,Overweight,11.03,66320.0,2015-03-03T16:43:11.000,
con-20151029-1131,EVWI-2014111-1054,60600.0,8.0,Overweight,12.0,60600.0,2015-11-22T17:12:32.000,
con-20161021-779,EVWI-2014111-1089,64000.0,8.0,Overweight,12.0,64000.0,2017-01-13T17:11:48.000,
DeF2-2015417-431,S6YL-20151022-920,160000.0,,Overweight,,88360.0,2015-10-22T17:30:09.000,
con-2014917-911,wj1o-2013322-226,63400.0,8.0,Overweight,13.0,63400.0,2014-11-01T14:59:59.000,
CAS1-2015831-904,,52300.0,8.0,Overweight,12.04,32900.0,2015-09-30T17:57:06.000,
RAN-2015312-264,SQ49-2015312-102,120000.0,,Overweight,,120000.0,2015-03-12T11:12:32.000,
con-2014922-1004,xx3h-2013321-222,60600.0,8.0,Overweight,13.0,60600.0,2014-11-01T16:59:21.000,
Val-2015910-921,EG9Y-2013727-564,79000.0,8.0,Overweight,12.06,79000.0,2015-10-30T11:34:37.000,
Wor-2015318-326,,,,Bulk Milk,,,2015-03-19T17:53:20.000,
ISL-2015916-932,GPQZ-201482-844,93000.0,,Overweight,,52000.0,2015-09-16T16:07:40.000,
