bin,:@computed_region_92fq_4b7q,point_1,census_tract,email,borough,categoriesavailable
5108965.0,13.0,"{'type': 'Point', 'coordinates': [-74.1192090001962, 40.6069239999458]}",5017300.0,George.barreto@chasiny.org,Staten Island,Food/Beverage
3070743.0,30.0,"{'type': 'Point', 'coordinates': [-73.9296720001636, 40.7045710000548]}",3045300.0,info@humanrelationsbooks.com,Brooklyn,Books/Media
3076964.0,30.0,"{'type': 'Point', 'coordinates': [-73.9178910000706, 40.6897019996508]}",3039900.0,bushwickunitedseniors@gmail.com,Brooklyn,"Clothing/Personal Accessories, Tools/Equipment, Toys/Games"
5.1095140E+6,14.0,"{'type': 'Point', 'coordinates': [-74.0785929995683, 40.5944700002935]}",,George.barreto@chasiny.org,,Food/Beverage
2020916.0,31.0,"{'type': 'Point', 'coordinates': [-73.8577920003015, 40.81461900007]}",2000400.0,info@usagain.com,Bronx,
3096263.0,25.0,"{'type': 'Point', 'coordinates': [-73.8949899997896, 40.6590540000453]}",3113000.0,enypantry@cogop.org,Brooklyn,
3062888.0,38.0,"{'type': 'Point', 'coordinates': [-73.9650619999123, 40.7148989996923]}",3055100.0,info@maindragmusic.com,Brooklyn,Musical Instruments
3325497.0,37.0,"{'type': 'Point', 'coordinates': [-73.9251209998352, 40.698586000147]}",3042300.0,info@ggssocialclub.com,Brooklyn,"Clothing/Personal Accessories, Footwear"
1007910.0,32.0,"{'type': 'Point', 'coordinates': [-73.9943089996616, 40.7228739996386]}",1004300.0,inamen@inanyc.com,Manhattan,"Clothing/Personal Accessories, Footwear"
1009028.0,50.0,"{'type': 'Point', 'coordinates': [-73.9892629998885, 40.7326289998317]}",1004200.0,info@curethriftshop.com,Manhattan,"Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear"
2097469.0,2.0,"{'type': 'Point', 'coordinates': [-73.8287209996754, 40.8765790002238]}",2046207.0,coopcityblackforum@gmail.com,Bronx,Food/Beverage
3066772.0,38.0,"{'type': 'Point', 'coordinates': [-73.949418999788, 40.7241209995876]}",3057100.0,info.mahps@gmail.com,Brooklyn,"Clothing/Personal Accessories, Footwear"
5021885.0,14.0,"{'type': 'Point', 'coordinates': [-74.093024999605, 40.6022520003327]}",5017702.0,goodshephardsi@gmail.com,Staten Island,
3156056.0,44.0,"{'type': 'Point', 'coordinates': [-74.0313629997037, 40.6128610003381]}",,info@brcdc.org,,
,32.0,"{'type': 'Point', 'coordinates': [-73.9998570001015, 40.7310109998609]}",,cara@clementineconsignment.com,,"Clothing/Personal Accessories, Footwear, Baby Care"
3068657.0,30.0,"{'type': 'Point', 'coordinates': [-73.950521000245, 40.7142589998562]}",3050100.0,pleasecall@email.com,Brooklyn,Books/Media
