phone,:@computed_region_f5dn_yrer,community_district,additionalmaterialinformation,hours,website
(646) 493-7877,63.0,413,,,http://www.outmycloset.org/
(718) 808-1840,30.0,502,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",http://chasiny.org/food-pantry-assistance
(646) 714-4665,29.0,212,,,www.africanicc.com
(718) 585-5632,49.0,201,,,
(516) 869-7275,4.0,501,,,http://www.americanrecyclingtech.com/
(347) 843-0420,59.0,211,,,https://www.helpsy.co/
(718) 756-8673,16.0,308,,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed",http://anchorhouseinc.com/donations/
(646) 786-1200,57.0,102,,,https://www.housingworks.org/
(917) 776-3786,36.0,301,,,
(347) 240-2466,69.0,303,,,https://www.bikeplant.net/
(646) 412-0758,9.0,307,Only non-perishable food is accepted,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",www.cityharvest.org
(347) 425-9349,45.0,305,,,
(646) 408-3909,35.0,206,,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",
(347) 685-6002,69.0,303,"Our center in Bed-Stuy is located on 1360 Fulton Street, Ground Floor; Brooklyn, NY 11216. The entrance is on New York Avenue, between Fulton and Herkimer Streets.",,https://www.lgbtbrooklyn.org/
(718) 273-7139,4.0,501,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",http://etgstores.com/clothing/index.html
(917) 288-7600,25.0,408,,,https://indiahome.org/
(212) 788-4000,15.0,503,,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",http://www.nycacc.org/
(917) 353-0790,42.0,304,,,https://usagain.com/
(646) 807-5109,36.0,301,Businesss has an yellowing awning,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",Uhecdccinc.squarespace.com
(718) 353-1549,22.0,407,,,
(718) 763-5318,5.0,318,Please call in advance to make an appointment for pick-up.,,https://www.metcouncil.org/
(646) 239-2996,69.0,303,,,https://www.helpsy.co/
(347) 208-3975,43.0,210,,,http://www.mycountyrecycling.org
(718) 863-9200,59.0,211,,,https://www.lionsclubs.org/en/start-our-approach/club-locator/details?id=8435
(516) 216-5196,,0,,,https://www.rtcany.org/
(646) 598-7297,39.0,401,"We always need dog food, treats, leashes, collars, harnesses, old towels & blankets, wee wee pads, cleaning supplies, newspapers, crates, and more. Almost anything you are getting rid of...we can find a use for! If you have something you would like to do",,https://www.muddypawsrescue.org/
(201) 519-2384,47.0,112,,,https://www.helpsy.co/
(718) 513-3577,59.0,211,,,https://www.lionsclubs.org/en/start-our-approach/club-locator/details?id=8435
(718) 943-1200,15.0,503,,,http://www.where-to-turn.org/
(718) 815-0800,31.0,502,,"Monday 09:00 AM-06:00 PM, Tuesday 09:00 AM-06:00 PM, Wednesday 09:00 AM-06:00 PM, Thursday 09:00 AM-06:30 PM, Friday 09:00 AM-07:00 PM, Saturday 09:00 AM-07:00 PM, Sunday 10:30 AM-04:30 PM",https://www.projecthospitality.org/
(347) 668-8285,14.0,306,,,
(718) 302-2057,36.0,301,,,
(212) 352-1618,57.0,102,,,https://www.housingworks.org/
(718) 626-6354,39.0,401,,,https://usagain.com/
(646) 478-7301,57.0,102,,,https://ifixscreens.com/
(718) 455-1100,42.0,304,,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",https://www.riseboro.org/rb/seniors/senior_centers_and_clubs/
(718) 486-3771,36.0,301,,,https://earwaxrecords.net/
(917) 217-5717,46.0,409,,,https://usagain.com/
(718) 616-2000,30.0,502,,,http://carecyclecares.com/
(111) 111-1111,36.0,301,,,https://www.blackspringbookstore.com/
(718) 388-4111,36.0,301,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",https://www.roughtradenyc.com/
(718) 297-2613,41.0,412,,,
(212) 354-1056,46.0,409,,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed",https://calvarysmission.org/
(813) 426-5234,35.0,206,,,https://www.helpsy.co/
(718) 353-6300,22.0,407,,,https://usagain.com/
(347) 973-9655,63.0,413,,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM",
(646) 858-0042,70.0,103,,,https://www.countryof.com/
(212) 466-0844,70.0,103,,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd",
(347) 738-6989,65.0,403,"Please need to call our offices so that our staff can receive all donations. -- Por favor necesita, llamar a nuestras oficinas para que nuestro personal pueda recibir todas las donaciones.",,www.ourvoicesarefree.org
(212) 228-9333,57.0,102,,,http://clementineconsignment.com/
(718) 327-1133,51.0,414,,"Monday 11:00 AM-06:00 PM, Tuesday 11:00 AM-10:00 PM, Wednesday 11:00 AM-06:00 PM, Thursday 11:00 AM-10:00 PM, Friday 11:00 AM-08:00 PM, Saturday 11:00 AM-10:00 PM, Sunday 11:00 AM-10:00 PM",
(212) 982-3550,57.0,102,,"Monday Closed, Tuesday 09:00 AM-04:00 PM, Wednesday 09:00 AM-04:00 PM, Thursday 09:00 AM-04:00 PM, Friday 09:00 AM-04:00 PM, Saturday 01:00 PM-03:00 PM, Sunday Closed",
(212) 599-1221,11.0,105,,,https://grandcentraloptical.com/donate-your-glasses/
(917) 708-3573,41.0,412,Due to Covid Drop Off hours Saturday?s Only Please call in advance. By appointment only.,,www.sisterhoodofdestiny.net
(929) 337-6611,36.0,301,,,
(212) 355-5206,23.0,108,,"Sunday 11:00 AM-7:00 PM, Tuesday 11:00 AM-7:00 PM, Saturday 11:00 AM-7:00 PM, Friday 11:00 AM-7:00 PM, Thursday 11:00 AM-7:00 PM, Wednesday 11:00 AM-7:00 PM, Monday 11:00 AM-7:00 PM",http://goodwillnynj.org
(929) 397-3378,36.0,301,,,www.awokevintage.com
(917) 805-8550,43.0,210,,,http://www.mycountyrecycling.org
(718) 823-8950,43.0,210,We need food for our Wednesday pantry.  We can have our volunteers available on Wednesday before office hours.,,
(718) 346-5650,45.0,305,,,https://www.helpsy.co/
(917) 650-2296,7.0,111,,"Friday 08:00 AM-08:00 PM, Wednesday 08:00 AM-08:00 PM, Tuesday 8:00 AM-08:00 PM, Monday 08:00 AM-08:00 PM, Thursday 08:00 AM-08:00 PM, Saturday 08:00 AM-08:00 PM, Sunday 08:00 AM-08:00 PM",http://elbarriothrifts.com/
(718) 388-5087,36.0,301,,"Monday 11:00 AM-05:00 PM, Tuesday 11:00 AM-05:00 PM, Wednesday 11:00 AM-05:00 PM, Thursday 11:00 AM-05:00 PM, Friday 11:00 AM-05:00 PM, Saturday Closed, Sunday Closed",
(718) 409-2200,59.0,211,,,https://www.lionsclubs.org/en/start-our-approach/club-locator/details?id=8435
(718) 387-6898,36.0,301,,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed",
(347) 843-0808,59.0,211,,,http://www.mycountyrecycling.org
(718) 701-6419,15.0,503,,,http://www.chabadsouthsi.org
(917) 364-8667,36.0,301,,,https://www.helpsy.co/
(646) 261-1973,63.0,413,,"Monday 10:00 AM-07:00 PM, Tuesday 10:00 AM-07:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-08:00 PM, Sunday 12:00 PM-06:00 PM",https://www.veteranownedbusiness.com/business/6885/vets-inc
(718) 314-8779,4.0,501,,"Friday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Monday 9:00 AM-5:00 PM, Sunday Closed, Wednesday Closed, Friday 09:30 AM-03:00 PM, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Satu",http://unitedchurchint.com/welcome_23.html
(929) 295-8828,36.0,301,,,
(718) 210-2144,68.0,302,,,https://www.legacydumbo.com/
(718) 454-3814,63.0,413,,,https://www.helpsy.co/
(347) 599-9716,17.0,309,,"Friday 9:30 AM-4:30 PM, Thursday Closed, Wednesday Closed, Tuesday Closed, Monday Closed, Sunday Closed, Wednesday Closed, Friday 09:30 AM-04:30 PM, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturday 10:00 AM-12:00 PM, Sunday Close",http://williemaerockcamp.org
(718) 278-6400,39.0,401,,,
(718) 205-0575,22.0,407,,,https://www.handmleasing.org/
(718) 788-5433,14.0,306,,"Monday 09:00 AM-06:30 PM, Tuesday 09:00 AM-06:30 PM, Wednesday 09:00 AM-06:30 PM, Thursday 09:00 AM-06:30 PM, Friday 09:00 AM-06:30 PM, Saturday 09:00 AM-06:30 PM, Sunday 12:00 PM-06:00 PM",http://chailifeline.org
