site,qe_congressional_district_total,objectid,objectid_1,site_1,dsny_district,hours,email
25 Mcguinness Blvd,0.0,117968,117968,25 Mcguinness Blvd,BKN01,,tf@mycountyrecycling.org
St. Ann's of Morrisania,0.0,118949,118949,St. Ann's of Morrisania,BX01,,brianlyons295@gmail.com
Staten Island Animal Care Center,0.0,118987,118987,Staten Island Animal Care Center,SI03,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM",donate@nycacc.org
Met Council Food Distribution Center,0.0,118695,118695,Met Council Food Distribution Center,BKS18,,Info@metcouncil.org
Hope Gardens Multi-Service Senior Center,0.0,118570,118570,Hope Gardens Multi-Service Senior Center,BKN04,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed",gboszeta@riseboro.org
Black Spring Books,0.0,118225,118225,Black Spring Books,BKN01,,Blackspringbooks@gmail.com
COUNTRY OF,0.0,118370,118370,COUNTRY OF,MN03,,info@countryof.com
1513 Forest Ave,0.0,117862,117862,1513 Forest Ave,SI01,,info@recyclingtech.com
33-34 21 St,0.0,118010,118010,33-34 21 St,QW01,,info@usagain.com
2275-2375 Richmond Ave,0.0,117941,117941,2275-2375 Richmond Ave,SI02,,pickup@carecyclecares.com
India Home Inc,5.0,118589,118589,India Home Inc,QE08,,info@indiahome.org
Earwax Records,0.0,118413,118413,Earwax Records,BKN01,,earwaxrec@gmail.com
183-14 Hillside Ave,5.0,117895,117895,183-14 Hillside Ave,QE12,,no@email.com
Unity Plaza Community Center,0.0,119129,119129,Unity Plaza Community Center,BKN05,,earroyo@grandsettlment.org
Clothing,0.0,118339,118339,Clothing,SI01,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM",clothing@etgstores.com
Designer Optical of Pelham,0.0,118386,118386,Designer Optical of Pelham,BX11,,gumbel@optonline.net
74-39 Jamaica Ave,0.0,118091,118091,74-39 Jamaica Ave,QW09,,info@usagain.com
950 Allerton Ave,0.0,118127,118127,950 Allerton Ave,BX11,,info@helpsy.co
City Harvest,0.0,118331,118331,City Harvest,BKS07,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed",fooddonations@cityharvest.org
Calvary's Mission,0.0,118289,118289,Calvary's Mission,QW09,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed",contact@calvarymission.com
30-05 Whitestone Expy,6.0,117991,117991,30-05 Whitestone Expy,QE07,,info@usagain.com
Los Redimidos en la Sangre de Cristo,0.0,118648,118648,Los Redimidos en la Sangre de Cristo,BX06,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM",libresporcristo@aol.com
University Heights Educational c/o BCS,0.0,119130,119130,University Heights Educational c/o BCS,BKN01,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed",dperez1978nun@yahoo.com
Applebee's Grill + Bar,0.0,118176,118176,Applebee's Grill + Bar,SI03,,dennis.mckeon@where-to-turn.org
Bike Plant,0.0,118220,118220,Bike Plant,BKN03,,bikeplantnyc@gmail.com
Apple Bank,0.0,118173,118173,Apple Bank,BX11,,gumbel@optonline.net
265 Nagle Ave,0.0,117978,117978,265 Nagle Ave,MN12,,info@helpsy.co
Mobile Norway,0.0,118719,118719,Mobile Norway,SI02,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",George.barreto@chasiny.org
Brooklyn Community Pride Center,0.0,118263,118263,Brooklyn Community Pride Center,BKN03,,jborren@lgbtbrooklyn.org
569 Wilson Ave,0.0,118064,118064,569 Wilson Ave,BKN04,,info@usagain.com
126-06 15 Ave,42.0,117827,117827,126-06 15 Ave,QE07,,tf@mycountyrecycling.org
West Village Thrift Shop,0.0,119172,119172,West Village Thrift Shop,MN02,,info@housingworks.org
