property_floor_area_building,hospital_general_medical_17,date_property_last_modified,national_median_energy_cost,energy_alerts,latitude,longitude,rank,dense_rank
136000,Not Available,04/22/2014 10:32 AM EDT,0,<b>Natural Gas</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.688353,-73.964511,1,1
55190,Not Available,02/06/2014 06:32 AM EST,Not Available,Not Available,40.790637,-73.976591,1,1
615000,Not Available,09/15/2013 04:30 PM EDT,0,<b>steam</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.737366,-73.988424,9,1
63270,Not Available,03/28/2014 12:57 PM EDT,0,<b>Aggregated Accounts Service Class 2 - Natural Gas</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.740448,-73.984894,1,1
39667,Not Available,09/15/2013 04:30 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.619815,-74.091487,1,1
2346193,Not Available,01/10/2014 06:08 AM EST,13419748.81,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.709589,-74.010186,1,1
372545,Not Available,03/19/2014 12:13 PM EDT,0,<b>43-2017-3965-3300-4</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.742441,-73.991667,1,1
457771,Not Available,09/15/2013 04:29 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; <b>Building Electric 494011303400006</b> has bills with dates that overlap in the selected timeframe. Please resolve overlaps for this meter.,40.70706,-74.016519,1,1
79965,Not Available,09/15/2013 04:29 PM EDT,Not Available,The meter <b>413133639500008</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.738642,-73.982679,1,1
149955,Not Available,09/15/2013 04:30 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.573627,-73.995033,1,1
342387,Not Available,09/15/2013 04:29 PM EDT,0,Not Available,40.756688,-73.970128,9,1
80754,Not Available,09/15/2013 04:30 PM EDT,Not Available,Not Available,40.75201,-73.882634,1,1
85757,Not Available,09/15/2013 04:30 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.598335,-74.005315,1,1
150135,Not Available,04/17/2014 10:00 AM EDT,Not Available,<b>Fuel Oil (No. 4)</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.875123,-73.886286,1,1
157059,Not Available,02/12/2014 05:32 AM EST,0,Not Available,40.753942,-73.989829,1,1
192368,Not Available,09/15/2013 04:30 PM EDT,Not Available,Not Available,40.668248,-73.849372,1,1
222200,Not Available,04/17/2014 12:41 PM EDT,198669.65,Not Available,40.792132,-73.938046,1,1
194870,Not Available,09/15/2013 04:30 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.585708,-73.971212,1,1
244534,Not Available,04/30/2014 02:39 PM EDT,Not Available,<b>417021069506007 Jewelry Store</b> has bills that form gaps between dates in the selected timeframe. Please resolve gaps for this meter.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; One or more of the meters in use in the selected timeframe has estimated bills. Enter actual bills through the Meters tab for this property.,40.755801,-73.97874,1,1
275252,Not Available,04/14/2014 10:53 AM EDT,0,The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.748206,-73.943731,1,1
275252,Not Available,04/14/2014 10:53 AM EDT,0,The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.748206,-73.943731,1,1
295780,Not Available,04/29/2014 01:15 PM EDT,121341.49,Not Available,40.763336,-73.970789,1,1
427972,Not Available,09/15/2013 04:29 PM EDT,0,<b>Resnick_Oil #4</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.72631,-74.00749,9,1
51450,Not Available,04/15/2014 12:59 PM EDT,Not Available,Not Available,40.787832,-73.97947,1,1
58000,Not Available,04/29/2014 12:29 PM EDT,Not Available,Not Available,40.848054,-73.907271,1,1
66962,Not Available,04/15/2014 07:32 AM EDT,Not Available,Not Available,40.771508,-73.95482,1,1
102972,Not Available,03/31/2014 08:04 AM EDT,Not Available,Not Available,40.789792,-73.966491,1,1
22033,Not Available,09/15/2013 04:30 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.619938,-74.092171,1,1
50820,Not Available,02/06/2014 06:32 AM EST,Not Available,Not Available,40.738137,-74.009093,1,1
51750,Not Available,09/15/2013 04:30 PM EDT,0,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.722374,-74.00815,9,1
601586,Not Available,09/15/2013 04:29 PM EDT,0,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.766391,-73.982119,9,1
68821,Not Available,09/15/2013 04:29 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.788559,-73.977065,1,1
166738,Not Available,02/10/2014 01:08 PM EST,0,Not Available,40.759785,-73.829236,1,1
213796,Not Available,09/15/2013 04:29 PM EDT,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.770755,-73.98262,1,1
83952,Not Available,04/03/2014 12:37 PM EDT,Not Available,Not Available,40.838824,-73.945635,1,1
2613986,Not Available,09/15/2013 04:29 PM EDT,Not Available,The meter <b>Brikerage Firm - Data Center</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.741617,-73.987449,1,1
627731,Not Available,11/13/2013 05:33 AM EST,0,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,40.753104,-73.972757,1,1
74545,Not Available,03/31/2014 02:41 PM EDT,Not Available,Not Available,40.745378,-73.996651,1,1
105000,Not Available,09/15/2013 04:31 PM EDT,0,Not Available,40.6308,-73.973311,1,1
287400,Not Available,04/29/2014 10:48 AM EDT,0,Not Available,40.750156,-73.970935,1,1
287400,Not Available,04/29/2014 10:48 AM EDT,0,Not Available,40.750156,-73.970935,1,1
50070,Not Available,09/15/2013 04:30 PM EDT,Not Available,Not Available,40.705268,-73.807754,1,1
56271,Not Available,04/25/2014 06:50 AM EDT,0,<b>403201256500007</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,40.705415,-74.007729,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/29/2014 08:25 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 10:48 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/25/2014 12:27 PM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
85550,Not Available,04/28/2014 06:20 AM EDT,Not Available,Not Available,40.852799,-73.853325,1,1
