centername,phone,inspectionsummaryresult,programtype,t4_centername,total,count,average
ST. HELENA SCHOOL,718-892-3234,Initial Annual Inspection - Reinspection Required,PRESCHOOL,ST. HELENA SCHOOL,115200.0,2304,50.0
THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,718-978-0075,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,2133.3344,32,66.6667
"JACKSON CHILD DEVELOPMENT CENTER, INC.",718-205-1919,Initial Annual Inspection - Reinspection Required,PRESCHOOL,"JACKSON CHILD DEVELOPMENT CENTER, INC.",1440.0,72,20.0
"SY SEIT, LLC",646-404-2106,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,"SY SEIT, LLC",900.0,18,50.0
EIS LAASOIS CHILD DEVELOPMENT SERVICES,718-303-9400,,PRESCHOOL,EIS LAASOIS CHILD DEVELOPMENT SERVICES,533.3328,16,33.3333
UNITED LUBAVITCHER PRESCHOOL,718-434-0795,Initial Annual Inspection - Reinspection Required,PRESCHOOL,UNITED LUBAVITCHER PRESCHOOL,400.0,4,100.0
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,347-427-3642,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,266.6668,4,66.6667
ASIAN AMERICAN COALITION FOR EDUCATION,718-380-3683,Initial Annual Inspection - Reinspection Required; Program closed,PRESCHOOL,ASIAN AMERICAN COALITION FOR EDUCATION,240.0,4,60.0
PROSPECT PARK YESHIVA,718-376-5959,Initial Annual Inspection - Reinspection Required,PRESCHOOL,PROSPECT PARK YESHIVA,200.0,2,100.0
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,718-322-9080,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,200.0,8,25.0
HAWTHORNE CORNERS DAY CARE CENTER INC.,718-282-7200,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,HAWTHORNE CORNERS DAY CARE CENTER INC.,200.0,4,50.0
"OUR CHILDREN FIRST, INC",347-913-4367,,PRESCHOOL,"OUR CHILDREN FIRST, INC",160.0,2,80.0
"A TO Z CENTER TOO, INC.",718-740-8400,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,"A TO Z CENTER TOO, INC.",150.0,6,25.0
PERRY KIDS INC.,212-255-1685,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,PERRY KIDS INC.,150.0,2,75.0
"NORTHEAST BRONX DAY CARE CENTER, INC.",718-547-1735,Monitoring Inspection Non-Routine - Reinspection Required; Program closed,PRESCHOOL,"NORTHEAST BRONX DAY CARE CENTER, INC.",133.3334,2,66.6667
OUR LITTLE ANGELS CORP,718-347-7377,Initial Annual Inspection - Passed inspection with no violations,PRESCHOOL,OUR LITTLE ANGELS CORP,133.3332,4,33.3333
ASSOCIATION TO BENEFIT CHILDREN,212-534-3656,Initial Annual Inspection - Reinspection Required,PRESCHOOL,ASSOCIATION TO BENEFIT CHILDREN,100.0,2,50.0
"BOOKS & RATTLES, INC.",718-899-1532,,PRESCHOOL,"BOOKS & RATTLES, INC.",100.0,2,50.0
HEARTSHARE HUMAN SERVICES OF NEW YORK,718-238-4637,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,HEARTSHARE HUMAN SERVICES OF NEW YORK,100.0,2,50.0
CREATIVE DISCOVERY PRE-SCHOOL,917-502-0685,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,CREATIVE DISCOVERY PRE-SCHOOL,100.0,2,50.0
"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",212-694-0615,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,"URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERY, INC.",80.0,4,20.0
"NORTHEAST BRONX DAY CARE CENTER,INC.",718-655-5500,Initial Annual Inspection - Reinspection Required; Fines pending,PRESCHOOL,"NORTHEAST BRONX DAY CARE CENTER,INC.",80.0,4,20.0
PS OF THE ARTS,212-677-7375,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,PS OF THE ARTS,66.6668,4,16.6667
SHINING SMILES DAYCARE 1 INC.,929-227-3100,,PRESCHOOL,SHINING SMILES DAYCARE 1 INC.,66.6666,2,33.3333
EVERBROOK ACADEMY,212-682-8080,Monitoring Inspection Non-Routine - Passed inspection with no violations,INFANT TODDLER,EVERBROOK ACADEMY,50.0,4,12.5
EVERBROOK ACADEMY,212-682-8080,Initial Annual Inspection - Passed inspection with no violations,INFANT TODDLER,EVERBROOK ACADEMY,50.0,4,12.5
JOY DAYCARE INC.,917-563-1338,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection,PRESCHOOL,JOY DAYCARE INC.,50.0,1,50.0
CHILDREN'S CORNER,718-346-3470,,PRESCHOOL,CHILDREN'S CORNER,50.0,2,25.0
BRONX STARBRIGHT DAYCARE,718-673-6371,,INFANT TODDLER,BRONX STARBRIGHT DAYCARE,50.0,1,50.0
