open_data_channel_type,complaint_type,total,average,count
MOBILE,Encampment,10013.0,10013.0,1
ONLINE,HEAT/HOT WATER,43810.0,10952.5,4
ONLINE,Drinking,11377.0,11377.0,1
ONLINE,Water System,11385.0,11385.0,1
ONLINE,Illegal Parking,31663.0,10554.333333333334,3
PHONE,FLOORING/STAIRS,10454.0,10454.0,1
ONLINE,Consumer Complaint,11372.0,11372.0,1
UNKNOWN,Graffiti,11221.0,11221.0,1
UNKNOWN,Root/Sewer/Sidewalk Condition,11235.0,11235.0,1
ONLINE,Damaged Tree,11436.0,11436.0,1
PHONE,Water System,11692.0,11692.0,1
UNKNOWN,Building/Use,11209.0,11209.0,1
MOBILE,Panhandling,11208.0,11208.0,1
PHONE,Illegal Parking,10470.0,10470.0,1
PHONE,Derelict Vehicles,11368.0,11368.0,1
MOBILE,Noise - Vehicle,20489.0,10244.5,2
UNKNOWN,Special Projects Inspection Team (SPIT),10021.0,10021.0,1
ONLINE,Noise - Helicopter,10016.0,10016.0,1
ONLINE,Blocked Driveway,10314.0,10314.0,1
ONLINE,Noise - Vehicle,22596.0,11298.0,2
ONLINE,Abandoned Vehicle,11234.0,11234.0,1
ONLINE,Noise - Street/Sidewalk,21248.0,10624.0,2
ONLINE,Noise - Residential,21564.0,10782.0,2
PHONE,Blocked Driveway,22324.0,11162.0,2
ONLINE,ELEVATOR,10017.0,10017.0,1
UNKNOWN,Boilers,10040.0,10040.0,1
MOBILE,Noise - Residential,31398.0,10466.0,3
ONLINE,Animal in a Park,11105.0,11105.0,1
MOBILE,Food Establishment,11379.0,11379.0,1
UNKNOWN,Street Condition,21871.0,10935.5,2
ONLINE,Taxi Complaint,10017.0,10017.0,1
ONLINE,PLUMBING,10014.0,10014.0,1
PHONE,GENERAL,20916.0,10458.0,2
MOBILE,New Tree Request,10021.0,10021.0,1
ONLINE,PAINT/PLASTER,10458.0,10458.0,1
ONLINE,Water Conservation,10465.0,10465.0,1
PHONE,PLUMBING,20912.0,10456.0,2
