other_description,owner_s__phone__,owner_s__phone___1,sign_const_type,special_dist_name,sign_weight,total_sign_weight
SIGN           ,2126499400,2126499400,,,0,0.0
SIGN           ,9174462632,9174462632,,,0,0.0
SIGN           ,2122161796,2122161796,,,0,0.0
SIGN           ,2127443300,2127443300,,,0,0.0
SIGN           ,6467346681,6467346681,,,0,0.0
SIGN           ,3474686615,3474686615,,,0,0.0
SIGN           ,2122576600,2122576600,,CL    ,0,0.0
SIGN           ,6462440901,6462440901,,,0,0.0
SIGN           ,6469653616,6469653616,,MID   ,0,0.0
SIGN           ,2122576600,2122576600,,MID   ,0,0.0
SIGN           ,2124881645,2124881645,,,0,0.0
SIGN           ,2122576600,2122576600,,,0,0.0
SIGN           ,5165265955,5165265955,,,0,0.0
SIGNS          ,2126092656,2126092656,,,0,0.0
SIGN           ,9142888100,9142888100,,,0,0.0
SIGN           ,7189077555,7189077555,,FH    ,0,0.0
SIGN           ,9176998693,9176998693,,,0,0.0
SIGN           ,9176475509,9176475509,,MID   ,0,0.0
SIGN           ,2125030909,2125030909,,US    ,0,0.0
SIGN           ,7184754736,7184754736,,,0,0.0
               ,2128770028,2128770028,,,0,0.0
SIGN           ,7182737575,7182737575,,,0,0.0
SIGN           ,7184940717,7184940717,,,0,0.0
SIGN           ,7189660303,7189660303,,,0,0.0
SIGN           ,6306238437,6306238437,,,0,0.0
SIGN           ,5164727880,5164727880,,,0,0.0
SIGN           ,2126784400,2126784400,,125   ,0,0.0
SIGN           ,2124881645,2124881645,,DJ    ,0,0.0
SIGN           ,2128698580,2128698580,,125   ,0,0.0
SIGN           ,7184853000,7184853000,,HY    ,0,0.0
SIGN           ,5163435050,5163435050,,,0,0.0
SIGNS          ,7189831100,7189831100,,,0,0.0
               ,5163265353,5163265353,,,0,0.0
SIGN           ,2126970696,2126970696,,MID   ,0,0.0
SIGNS          ,7183299537,7183299537,,,0,0.0
SIGN           ,7182254740,7182254740,,,0,0.0
SIGN           ,5164292244,5164292244,,,0,0.0
SIGN           ,2125642246,2125642246,,,0,0.0
SIGN           ,2125639290,2125639290,,MID   ,0,0.0
               ,2124218100,2124218100,,CL    ,0,0.0
SIGN           ,9176475309,9176475309,,,0,0.0
SIGNS          ,7182246300,7182246300,,,0,0.0
SIGN           ,2039472825,2039472825,,MID   ,0,0.0
SIGN           ,2123769300,2123769300,,,0,0.0
GEN. CONSTR.   ,9147618880,9147618880,,SB    ,0,0.0
SIGN           ,6099242262,6099242262,,SRD   ,0,0.0
