schooldbn,printedschoolname,postcode,selectioncriteria2_prog6,selectioncriteria4_prog5,swdseats_prog4,selectioncriteria2_prog2,tophs3,prefnote_prog6,geappsperseat_prog3,priority3_prog2,priority1_prog4,eligibility_prog6,swdfilled_prog1,prefnote_prog5,selectioncriteria11_prog6,geseats_prog3,priority1_prog1,selectioncriteria11_prog4,swdappsperseat_prog6,priority4_prog3,selectioncriteria4_prog1,selectioncriteria8_prog4,swdapps_prog5,swdappsperseat_prog2,selectioncriteria4_prog3,selectioncriteria4_prog2,coursepassrate,champsboys,eligibility_prog3,priority4_prog4,selectioncriteria6_prog3,priority1_prog5,selectioncriteria12_prog3,priority7_prog2,gefilled_prog1,prefnote_prog4,priority2_prog3,priority1_prog3,bus,bbl,swdfilled_prog4,priority3_prog6,code_prog6,geseats_prog1,priority4_prog2,priority7_prog1,priority6_prog1,revealed_prog4,priority3_prog5,tophs2,geapps_prog1,geappsperseat_prog6,uniform,summersession,selectioncriteria6_prog4,selectioncriteria3_prog4,selectioncriteria11_prog5,admissionsmethod_prog3
02M225,Ella Baker School,10065.0,.,.,.,,,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,62.0,,,.,.,.,.,.,Yes,.,.,.,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",1014420001.0,.,.,.,22.0,.,.,.,.,.,,608.0,.,No,No,.,.,.,
25Q281,East-West School of International Studies,11355.0,.,.,.,,Brooklyn Technical High School,.,,.,.,.,Yes,.,.,,,.,.,,,.,.,,.,,95.0,,,.,.,.,.,.,Yes,.,,,"Q17, Q20A, Q20B, Q25, Q27, Q34, Q44-SBS, Q65",4051470001.0,.,.,.,77.0,.,.,.,.,.,Francis Lewis High School,631.0,.,Yes,Yes–Academic support and enrichment.,.,.,.,
11X556,Bronx Park Middle School,10467.0,.,.,,,Collegiate Institute for Math and Science,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,98.0,Fitness Club,,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx22, Bx26, Bx39, Bx8, BxM11",2044320001.0,,.,.,69.0,,,,.,.,Bronx Academy for Software Engineering (BASE),535.0,.,"Yes—Top, bottom, and shoes specific colors or styles",Yes,.,,.,
21K096,I.S. 096 Seth Low,11204.0,.,.,,,Edward R. Murrow High School,.,,.,.,,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,,,95.0,Basketball League,,.,.,.,.,.,No,.,,,"B4, B6, B82",3065950033.0,,.,,124.0,.,.,.,.,.,New Utrecht High School,307.0,.,No,Yes–Academic support and enrichment.,.,,.,
04M096,P.S. 096 Joseph Lanzetta,,.,.,.,Academic and Personal Behaviors,Manhattan International High School,.,,Then to students and residents of District 4.,.,.,No,.,.,,,.,.,.,,.,.,1,.,Attendance at an Open House/School Tour,82.0,,,.,.,.,.,.,No,.,,,"Bx15, BxM10, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",,.,.,.,24.0,,.,,.,.,Esperanza Preparatory Academy,64.0,.,Yes—Official uniform must be purchased,Yes,.,.,.,
10X045,Thomas C. Giordano Middle School 45,10458.0,.,.,,,Harry S Truman High School,.,,,.,.,No,.,.,,,.,.,.,,.,,,,,97.0,Soccer,,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx34, Bx41, Bx41-SBS, Bx9",2030670001.0,,.,.,119.0,,,,.,.,Bronx High School for Law and Community Service,377.0,.,Yes—Top only-specific color or style,Yes–Academic support for certain students,.,,.,
06M210,P.S./I.S. 210 The Twenty-First Century Academy for Community Leadership,10031.0,.,.,,,,.,,.,.,,No,.,.,,Priority to continuing 5th grade students,.,.,.,Attendance and Punctuality,.,.,,,,95.0,,,.,.,.,.,.,No,.,,,"Bx19, Bx6, M10, M100, M101, M11, M2, M3, M4, M5",1020840129.0,,.,,46.0,.,.,.,.,.,,126.0,.,"Yes–Top and bottom, specific colors or styles",No,.,,.,
15K821,Sunset Park Prep,11232.0,.,.,.,,Midwood High School,.,,,.,.,No,.,.,,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.",.,.,.,,.,.,,.,,92.0,,,.,.,.,.,.,Yes,.,,,"B11, B35, B37, B63, B70",3007130020.0,.,.,.,131.0,,.,,.,.,Sunset Park High School,562.0,.,No,Yes–Academic support for certain students.,.,.,.,
04M057,James Weldon Johnson,10029.0,.,.,.,,"Heritage School, The",.,,,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,.,,.,,80.0,,,.,.,.,.,.,Yes,.,,,"BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M35, M4, M98",1016400139.0,.,.,.,71.0,,.,,.,.,Chelsea Career and Technical Education High School,183.0,.,Yes,Yes,.,.,.,
29Q295,P.S./I.S. 295,11428.0,.,.,,,Benjamin N. Cardozo High School,.,,,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,,,,,90.0,,,.,.,.,.,.,Yes,.,,,Q27,4108130005.0,,.,.,51.0,,,,.,.,Francis Lewis High School,511.0,.,Yes,No,.,,.,
17K002,Parkside Preparatory Academy,11226.0,.,.,.,,Kurt Hahn Expeditionary Learning School,.,,.,.,.,Yes,.,.,,,.,.,,Attendance: 10%,.,.,4,.,,93.0,Basketball League,,.,.,.,.,.,Yes,.,,,"B12, B35, B41, B44, B44-SBS, B49",3050500051.0,.,.,.,58.0,.,.,.,.,.,Medgar Evers College Preparatory School,268.0,.,Yes,Yes,.,.,.,
32K383,J.H.S. 383 Philippa Schuyler,11237.0,.,.,,,Brooklyn College Academy,.,,,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,,,,,96.0,Basketball League,,.,.,.,.,.,Yes,.,,,"B13, B26, B38, B52, B54, B60, Q55, Q58",3032980001.0,,.,.,285.0,,,,.,.,Midwood High School,1392.0,.,Yes,No,.,,.,
12X286,Fannie Lou Hamer Middle School,10460.0,.,.,.,.,The Metropolitan Soundview High School,.,,.,.,.,Yes,.,.,,Open to students and residents of District 12,.,.,.,,.,.,,.,.,40.0,,,.,.,.,.,.,No,.,.,.,"Bx11, Bx19, Bx21, Bx27, Bx35, Bx36, Bx4, Bx4A",2030080001.0,,.,.,64.0,.,.,.,.,.,Renaissance High School for Musical Theater & Technology,344.0,.,Yes—Top only-specific color or style.,Yes—Academic support and enrichment.,.,.,.,
03M415,Wadleigh Secondary School for the Performing & Visual Arts,10026.0,.,.,.,,,.,,.,.,.,Yes,.,.,,Priority to students and residents of Districts 3 and 5,.,.,.,,.,.,,,,86.0,Basketball League,,.,.,.,.,.,No,.,.,.,"M1, M10, M102, M11, M116, M2, M3, M4, M7",1018300019.0,.,.,.,28.0,.,.,.,.,.,,187.0,.,Yes—Top and bottom-specific colors or styles,Yes–Academic support and enrichment.,.,.,.,
13K301,Satellite East Middle School,11216.0,.,.,,,,.,,,.,.,No,.,.,,Priority to students and residents of District 13,.,.,.,,.,,,,,97.0,,,.,.,.,.,.,No,.,,,"B15, B25, B26, B38, B43, B44, B44-SBS, B52",3018190014.0,,.,.,74.0,,,,.,.,,194.0,.,Yes,No,.,,.,
31R061,I.S. 061 William A Morris,10301.0,.,.,.,.,New Dorp High School,.,,.,.,.,No,.,.,,,.,.,.,,.,.,4,.,.,88.0,,Open to students residing in the zone,.,.,.,.,.,Yes,.,.,.,"S42, S44, S46, S48, S94, S96, S98, X30",5001000100.0,,.,.,22.0,.,.,.,.,.,Ralph R. McKee Career and Technical Education High School,145.0,.,No,Yes—For incoming sixth graders.,.,.,.,Zoned
26Q266,PS/IS 266Q,11426.0,.,.,.,,Francis Lewis High School,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,,,.,.,,.,,100.0,,,.,.,.,.,.,Yes,.,,,"Q36, Q43, Q46, QM36, QM6",4078700074.0,.,.,.,70.0,.,.,.,.,.,"Queens High School of Teaching, Liberal Arts and the Sciences",186.0,.,No,Yes–Academic support for certain students.,.,.,.,
