code_prog1,selectioncriteria10_prog4,prefnote_prog3,schoolday,selectioncriteria3_prog3,priority6_prog6,activities,borough,priority1_prog6,geseats_prog6,address,selectioncriteria9_prog4,selectioncriteria6_prog5,geappsperseat_prog1,geapps_prog3,neighborhood,geapps_prog6,priority1_prog2,overview,code_prog3,selectioncriteria12_prog1,champscoed,elaprof,priority5_prog2,swdseats_prog3,geappsperseat_prog5,selectioncriteria1_prog2,priority5_prog4,priority6_prog3,revealed_prog6,priority5_prog3,priority4_prog1,accessibility,lowestpriority_prog6,geappsperseat_prog4,selectioncriteria3_prog2,lowestpriority_prog5,code_prog4,selectioncriteria5_prog5,priority4_prog5,priority2_prog1,selectioncriteria2_prog4,selectioncriteria12_prog2,selectioncriteria10_prog2,tophs1,swdfilled_prog6,prefnote_prog2,community_board,nta,selectioncriteria7_prog1,gradespan,othersports,selectioncriteria11_prog3,swdappsperseat_prog4,swdapps_prog4,admissionsmethod_prog6,selectioncriteria1_prog3,selectioncriteria2_prog1,geseats_prog2,selectioncriteria9_prog1,selectioncriteria1_prog6,selectioncriteria8_prog1,lowestpriority_prog2,languageclasses,swdseats_prog1,bin,swdseats_prog5,electiveclasses,selectioncriteria8_prog6,name_prog6
X532U,.,.,8:15am-2:35pm,,.,"After-School Clubs: Blogging, Breakdancing, Chess, Cooking, Regents Prep, Student Council, Theater, Web Design; School Trips to: Boston, MA, Broadway, Mini-Golf, Museums, Rock Climbing, Sporting Events, Washington DC",BRONX,.,.,"3750 Baychester Avenue, Bronx NY 10466",.,.,5,,Eastchester-Edenwald-Baychester,.,,"Five reasons to make Baychester Middle School your #1 choice: (1) Our scholars are surrounded by a top-notch team of educators that pushes them to exceed their goals (2) We believe that both academic and character education are valuable in preparing students for college (3) Our organization's philosophy is built on the pillars of trust, try, train, and thank (4) Parents play a major role in the school, from attending scholar-led conferences to being chaperones and contributing to various school committees (5) Scholars in our accelerated Honors Program take Regents courses Email: LEARN@BaychesterWaves.org to schedule a tour Follow us on Facebook by visiting: facebook.com/BaychesterMiddleSchool",,.,"Developmental Basketball, Fitness Club, Flag Football",19.0,.,,,,.,.,.,.,,Not Accessible,.,,,.,,.,.,Then to students and residents of District 11.,,.,.,Harry S Truman High School,.,.,212.0,Eastchester-Edenwald-Baychester,,Gr 6-8,"Boys and Girls Basketball, Cheerleading, Track and Field",.,,,.,,,,.,.,.,,,15,2066190.0,,"Accelerated: Algebra I, Living Environment, US History, Elective: Dance, Film Studies, Foreign Language, Theater",.,.
K353U,.,.,8:10am-2:30pm,.,.,Academic Contests; Accelerated High School Program; After-School Programs; Art; Basketball; Career Fairs; Cheerleaders; Community Partnerships; Curriculum Fairs; Dance; Drama; Drumming; Field Trips; M.S. 353 Honor Society; Music; Service Learning Projects; Specialized High School Classes; Step; Student Government Organization; Talent Explorations; Technology; Track,BROOKLYN,.,.,"750 Classon Avenue, Brooklyn NY 11238",.,.,2,,Prospect Heights,.,,"Students enjoy being immersed in project-based learning activities that allow them to develop strong computer literacy skills. They also love our clubs and student government, which provide multiple opportunities for them to express their views and build school spirit through a variety of special events. Our school is a hub of daytime, after-school, and weekend activities that combine to create an intimate and child-centered environment that challenges students academically, while allowing them to explore their talents and interests. With fewer than 300 students enrolled each year, we are able to improve academic achievement for our students by personalizing the learning process for each child.",,.,Dance,30.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students residing in the zone,.,.,.,Clara Barton High School,.,.,308.0,Prospect Heights,.,6-8,"Basketball, European Team Handball, Flag Football, Soccer, Volleyball",.,.,.,.,,,,.,.,.,,Please contact the school for more information.,17,3029246.0,.,Please contact the school for more information.,.,.
M104M,.,.,8:20am-2:40pm,,.,Art; Ceramics; Chess; Coding; Cooking; Dance Team; Debate Team; Drama Production; Glee Club; Green Team; Hitmakers; Instrumental Music; Photography; STEM Club; Step Team; Video Game Design; Yearbook Committee,MANHATTAN,.,.,"330 East 21st Street, Manhattan NY 10010",.,.,7,,Gramercy,.,,"Simon Baruch Middle School is a traditional middle school committed to developing students who think critically and who are civic minded. The school utilizes a house structure as an organizational model that allows teachers to know our students well. An assistant principal and guidance counselor are assigned to every grade level to ensure that support services are available to all students. We offer all students the chance to engage in a rigorous academic curriculum that challenges students to think critically and independently. Students engage in a balance of independent learning tasks and collaborative learning experiences. Our rigorous core content is supplemented by extensive arts and technology offerings that provide students with opportunities to develop their interests and talents. Our school supplements the regular instructional program with an extensive after-school program that provides students with academic enrichment, academic intervention, arts, and athletics.",,.,,67.0,.,,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,Not Accessible,.,.,Attendance and Punctuality,.,.,.,.,Then to students and residents of District 2.,.,.,.,Brooklyn Technical High School,.,.,106.0,Gramercy,,Gr 6-8,"Baseball, Basketball, Cheerleading, Fencing, Flag Football, Running Club, Soccer, Softball, Table Tennis, Tennis, Track, Ultimate Frisbee, Volleyball, Wrestling, Yoga",.,.,.,.,,Academic and Personal Behaviors,199,.,.,,,"French, Spanish",23,1081671.0,.,"Advanced Seventh Grade Math, Ceramics, Creative Writing, Drama, Instrumental Music, STEM, Technology, Visual Art, Yoga",.,.
M312M,.,.,8am-2:20pm,,.,"We have a robust after-school program run by our community based partner Manhattan Youth. Over 400 students participate in our after-school and sports programs. The activities vary by trimester but include classes like: Arts & Crafts, Band, Calligraphy, Chess, Chorus, Cooking, Creative Writing, Debate, Digital Design, Film Making, Gardening, Gator Gazette Newspaper, Math Team, Origami, Science Clubs, SHSAT Prep, Stock Market Club, and Theater. We also have student led clubs during the school day.",MANHATTAN,.,.,"333 West 17th Street, Manhattan NY 10011",.,.,4,,Chelsea,.,,"Located in Chelsea, our community embodies our core values of collaboration, compassion, academic rigor, and diversity and pluralism. Our Labbies put the ""lab"" in collaborative! Our academically nurturing and rigorous environment fosters curiosity and lifelong learning. Students engage in inquiry across all disciplines. In humanities classes, we combine social studies and ELA and offer enrichment courses on unique topics. To enhance our core curriculum, we provide Regents math and science courses for students ready for the challenge. Students also participate in national competitions (math, writing, and vocabulary) and work with local arts organizations. We are proud of our inclusion program and offer supports so all students succeed: full- and part-time ICT classes, small group specialized instruction, executive functioning support, and all related services. Across the three years, all students take typing, transitions to middle school, coding, advisory, visual art, and drama. Our PA works tirelessly to supplement students' experiences and organize family events such as a Lunar New Year celebration. Former Labbies report back that teachers' high expectations and three years of Spanish have prepared them well for high school.",,.,"Flag Football, Table Tennis",86.0,.,,.,,.,.,.,.,,Fully Accessible,.,.,,.,.,.,.,,.,.,.,Stuyvesant High School,.,.,104.0,Hudson Yards-Chelsea-Flatiron-Union Square,,Gr 6-8,"Baseball, Basketball, Cross Country, Dance Team, Fencing, Flag Football, Golf, Martial Arts, Pep Squad, Soccer, Softball, Sports Conditioning, Table Tennis, Tennis, Track and Field, Ultimate Frisbee, Volleyball, Wrestling, Yoga",.,.,.,.,,Academic and Personal Behaviors,,.,.,,,Spanish,34,1079152.0,.,"Creative Writing, Gender Studies, History of the American Presidency, Journalism, Shakespeare, Tribeca Film",.,.
K384Z,.,.,8:05am-2:25pm,,.,,BROOKLYN,.,.,"242 Cooper Street, Brooklyn NY 11207",.,.,,,Bushwick,.,,Please contact the school for more information.,,.,,33.0,.,,,,.,.,.,.,,Partially Accessible,.,,,.,,.,.,Then to students residing in the elementary school zone.,,.,.,Williamsburg Preparatory School,.,.,304.0,Bushwick North,,Gr K-8,"Sports and Arts in Schools Foundation: (Seasonal): Basketball, Flag Football, Soccer, Softball",.,,,.,,,,.,.,.,,Spanish,,3080043.0,,"Art, Music, Technology",.,.
R080U,.,.,8am-2:20pm,.,.,National Junior Honor Society,STATEN IS,.,.,"715 Ocean Terrace, Staten Island NY 10301",.,.,12,,Todt Hill-Heartland Village,.,,"The Michael J. Petrides School is committed to creating an environment for learning that nurtures the whole child: mind, body, and spirit. Teachers, parents, administrators, and support staff collaborate to provide an education that celebrates the diversity of our students and recognizes the individuality and creativity of each child. We engage students in active learning, developing self-esteem, and promoting literate, creative, lifelong learners. The Petrides School serves students in pre-kindergarten through grade twelve. Our unique organizational structure has allowed us to develop a truly seamless curriculum. Our stimulating learning environment offers an accelerated, rigorous curriculum, including rich arts opportunities for all students.",,.,Floor Hockey,54.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,.,.,,.,.,Then to students and residents of District 31.,.,.,.,The Michael J. Petrides School,.,.,502.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,Gr K-12,"Basketball, Flag Football, Floor Hockey, Soccer, Swimming, Wrestling",.,.,.,.,,,,.,.,,,"Italian, Spanish",26,5113169.0,.,"Art, Concert Band, Dance, Graphic Design, Orchestra, Vocal Music",.,.
X015U,.,.,8am-2:20pm,,.,"Ballroom Dancing, Basketball, Community Service, Debate, Flag Football, Good Shepherd After School, Specialized High School Prep, Service Squad, Student Government, Thurgood Marshall Mock Trial, Yearbook Committee, Yoga",BRONX,.,.,"2195 Andrews Avenue, Bronx NY 10453",.,.,5,,Kingsbridge Heights,.,,"PS/MS 15 is an ""Institute of Excellence"". We encourage the involvement of all constituents through collaborative decision making. Our focus is to build a ""Community of Learners and Leaders"", by emphasizing the importance of academics, personal growth/development and high expectations. We encourage active participation and exploration. We strive to educate the whole child to excel in all areas. Our expectation is for every learner to reach their highest social, emotional and academic potential on their road to becoming college and career ready.",,.,Cross Country,40.0,.,,,,.,.,.,.,,Fully Accessible,.,,,.,,.,.,Then to student and residents of District 10.,,.,.,New Visions Charter High School for Advanced Math and Science,.,.,207.0,Kingsbridge Heights,,Gr K-8,"Basketball, Flag Football",.,,,.,,,,.,.,.,,Spanish,12,2096013.0,,"Language: Spanish Art, Math, Physical Education, Technology",.,.
M256M,.,.,8:40am-3pm,,.,"Basketball; Chorus; Dance; Debate; Field Trips to: the DOE NASA Lab, Broadway Shows, Philadelphia, and Museums Throughout New York; Flag Football; Homework Help; Leadership Program; Music; NY State Exam Test Prep; Theater; Track and Field; Tutoring; Video Game Design; Visual Arts; Volleyball",MANHATTAN,.,.,"154 West 93rd Street, Manhattan NY 10025",.,.,3,,Upper West Side,.,,"A rising star, M.S. 256 is a small school with approximately 150 students and is home to some of the most dynamic and engaged teachers in New York City. We are a community with a passion for educational excellence. Our school's size enables us to provide a supportive, diverse learning environment which fosters each student's academic, emotional, and athletic growth. Our successful French Dual Language Program, the only one in Manhattan, provides students from French dual-language programs and French native speakers the opportunity to further their study of French language arts and select content area courses in French. Recognizing the many developmental changes that middle school students face, we focus our practices and curriculum on supporting our students to ensure they are ready to tackle the challenges of high school and beyond. We empower our students to become productive citizens and leaders in our school and all facets of their lives. Our graduates have been accepted into schools such as Brooklyn Tech, Beacon, Laguardia, NYC iSchool, NYC Museum School, Pace High School, and other high achieving high schools around the city.",,.,Track and Field,22.0,.,,.,4th Grade New York State ELA and Math Exams,.,.,.,.,,Partially Accessible,.,.,Attendance and Punctuality,.,.,.,.,,.,.,.,A. Philip Randolph Campus High School,.,.,107.0,Upper West Side,,Gr 6-8,"Basketball, Dance, Football, Step",.,.,.,.,,Attendance,47,.,.,,,"French, Spanish",12,1032522.0,.,"Choir, Debate, French, Music, Spanish, Visual Arts",.,.
K447M,.,.,8:20am-2:35pm,.,.,Chess; Comprehensive After-School enrichment programs through SONYC/Big Brothers Big Sisters of NY; Daily Sports Clubs and Arts Clubs; Garden Club; Instrumental Music; LEGO Robotics; Office hours with teachers after-school; Peer Mediation Program; Performance Arts; School Newspaper; Science Enrichment; Student Government; Technology; Visual Arts; Yearbook Committee,BROOKLYN,.,.,"345 Dean Street, Brooklyn NY 11217",.,.,14,,Boerum Hill,.,,"Our school community offers students a rigorous and engaging academic program. Supported by dedicated teaching staff, administration, and PTA, students are provided with opportunities to engage in hands-on, inquiry-based curriculum while constructing knowledge within a meaningful context. Our Exploration Program is an outgrowth of our school's philosophy: middle school students are social individuals and benefit from learning through cooperative groups. The Exploration experience provides students with the opportunity to explore city-wide educational institutions. We understand that the middle school experience is truly unique, and we offer a safe and fun place to be a kid. Our advisory program supports students' academic, social, and emotional learning. Our after-school program allows students and teachers to learn new skills and share common interests. We have earned a Blackboard Award for Outstanding School in Brooklyn and a ""Well Developed"" designation from the Quality Review Score. Our admissions policies reflect our commitment to diversity.",,.,,87.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,,.,.,.,Brooklyn Technical High School,.,.,302.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,.,Gr 6-8,"Basketball, Soccer, Ultimate Frisbee, Wrestling",.,.,.,.,,,,.,.,.,,Spanish,42,3001190.0,.,"Art, Dance, Music, Technology, Theater",.,.
K292M,.,.,8:20am-2:40pm,,.,"After-School Programs, Baseball, Basketball, Coding, Flag Football, Robotics, Soccer, Track and Field",BROOKLYN,.,.,"301 Vermont Street, Brooklyn NY 11207",.,.,3,,East New York,.,Priority to students residing in the zone,"The mission of J.H.S. 292 is to create a secure environment that embraces each student's individual talents and maximizes his or her potential. Our programs assist in preparing students for higher education while developing their sense of responsibility and building self-esteem. In our quest to produce successful young adults, we have created an open-door policy where teachers, parents, and students work side by side on academics and life experiences to further the growth of students. This is done by the implementation and sustenance of mentoring groups and Student Council, all of which focus on fostering leadership potential, community service, and helping students gain the world view that they need. Parents are impressed by the fact that we offer a performing arts component where each child has the opportunity to participate in an elective that will complement their academics, making them well-rounded citizens.",,.,"Cross Country, Soccer",36.0,.,,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,,.,.,.,W. H. Maxwell Career and Technical Education High School,.,.,305.0,East New York (Pennsylvania Ave),,Gr 6-8,"Baseball, Basketball, Flag Football, New York Rising Road Runners, Track and Field, Soccer",.,.,.,.,,Academic and Personal Behaviors,79,.,.,,"Last year, this program admitted students from all priority groups.",,19,3083931.0,.,"Ensemble Music, Fitness, Modern Dance, Photography, Steel Pan Ensemble, Vocals",.,.
