omppropid,global_id,descriptio,mou,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype
XZ327,{CEFFE243-DECC-4064-9FD5-E8E44C9BBB1B},University Malls,Other,77,NYCPARKS,Type 1 Greenstreet,,,10453,14717.5106049,,S
QZ429,{4E2848FE-66AA-47D0-985D-C2377470467C},Greenstreet,DOT,27,NYCPARKS,Type 1 Greenstreet,,,11415,2750.01525879,,S
QZ228,{D0712E7D-0FAB-4A51-8E42-153C0ADDD317},Greenstreet,DOT,37,NYCPARKS,Type 2,,,11101,13083.455719,,S
QZ148,{F6CB86DA-BE1E-4953-B3CC-128545AC4520},Greenstreet,DOT,40,NYCPARKS,Type 1,,,11357,511.014099121,,S
MZ393,{13B3A1F4-36B7-4DC4-B346-7C6BB4E264ED},Greenwich Ave & 7th Ave,DOT,66,NYCPARKS,,,,10014,114.222549438,,S
BZ183,{5F59E8CD-1C3E-44A3-826A-06D45A252E14},GREENSTREET-Flatbush Malls,,"44, 42",NYCPARKS,Type 2 Greenstreet,,,11230,1408.10548401,,S
QZ364,{49C8436E-C8E7-45D5-A59E-0A9168DC217E},Greenstreet,DOT,40,NYCPARKS,Type 1,,,11357,573.304107666,,S
QZ49,{2875EE78-85D7-4203-8551-CE77A79E3804},Greenstreet,DOT,35,NYCPARKS,Type 1,,,11373,1539.22038269,,S
QZ153,{98E41803-4E4F-4099-A3AF-E616FB9FBFB9},Greenstreet,DOT,40,NYCPARKS,Type 1,,,11357,1012.70649719,,S
QZ138,{9149CDBF-6D28-4E7E-B996-1BE29D11EA2C},Greenstreet,DOT,37,NYCPARKS,Type 2,,,11101,2332.11395264,,S
QZ370,{2F797851-E102-428A-A374-CB2C6D657941},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,3038.60282898,,S
QZ110,{8AE2C859-C2F5-4219-81BD-C5D5C43AE273},Greenstreet,DOT,30,NYCPARKS,Type 1,,,11377,1012.57501221,,S
QZ82,{726D0E67-176B-4E92-BCDF-BFC4ED8D62DB},Greenstreet,DOT,25,NYCPARKS,Type 1,,,11364,2275.31309509,,S
XZ407,{B9CEAA50-AF40-47C5-AFF4-300D3FBF84CD},Olmsted Triangle,,87,NYCPARKS,Type 1 Greenstreet,,,10462,29836.6232605,,S
QZ499,{AF3ACA92-9A0B-4ACB-945B-FE31806D71BA},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11423,2411.06352234,,S
BZ561,{9E8B6B83-A6A6-45C3-9ACF-61D555C83203},"Vanderbilt Av Pedestrian Refuges, Park to Dean",DOT,57,NYCPARKS,,,,11238,2306.99453735,,S
QZ765,{3A61C5AF-687D-4745-BD4D-335ECD6566EE},Greenstreet,DOT,25,NYCPARKS,,,,11365,1452.70996094,,S
XZ415,{395E1DD2-2B44-4032-A49E-A48CDD420DBA},St Lawrence Triangle,,87,NYCPARKS,Type 1 Greenstreet,,,10472,10262.8613892,,S
QZ466,{E31B79B5-9D27-410C-AD56-EF0A01272AD5},Greenstreet,,26,NYCPARKS,Type 2 Greenstreet,,,11362,3016.45735168,,S
QZ128,{556950E0-21BA-4602-B0EB-C70292E8DC27},Greenstreet,DOT,24,NYCPARKS,Type 1,,,11423,566.996673584,,S
QZ601,{E8CE767F-5894-4924-ABC4-8638880DE695},Greenstreet,DOT,33,NYCPARKS,Type 1,,,11411,6059.31440735,,S
MZ223,{F186028E-795D-42DE-BFB7-F096D20BE0A1},Riverside Park-Greenstreet,Other,70,NYCPARKS,Type 2,,,10031,1306.47663879,,S
MZ104,{B6DD36D9-FC0F-4870-A518-2881CE1F487C},Greenstreet,,68,NYCPARKS,Type 1,,,10025,2739.8253479,,S
QZ318,{B9EE529F-470C-4537-ABDB-CBB659087A32},Handball Haven,,35,NYCPARKS,Type 1,,,11375,11768.1815033,,S
QZ140,{8B8F30BC-3D15-460A-B982-AB127C3707A6},Greenstreet,DOT,35,NYCPARKS,Type 1,,,11369,1174.81408691,,S
