id,_fivetran_deleted,_fivetran_synced,created_date,header_from_email,header_from_name,header_reply_to_email,header_subject,message_library_id,message_message_id,message_message_text,modified_date,organization_id,owner_id,parent_distribution_id,recipient_contact_id,recipient_library_id,recipient_mailing_list_id,recipient_sample_id,request_status,request_type,send_date,survey_link_expiration_date,survey_link_link_type,survey_link_survey_id
,False,2023-05-02 00:28:21.455,2021-09-16 09:54:07,,,,,,,,2021-09-16 03:54:07,puppydev,UR_cYdNGsrFUemlDbD,,,UR_cYdNGsrFUemlDbD,CG_6nYnmPWONC4JziN,,Generated,GeneratedInvite,2021-09-16 09:54:07,2021-11-15 09:54:06,Individual,SV_afWZKdnyaANAL5j
,False,2023-05-02 00:04:45.632,2020-06-25 10:58:24,,,,,,,,2020-06-25 04:58:24,puppydev,UR_cYdNGsrFUemlDbD,,,UR_cYdNGsrFUemlDbD,CG_2B4IIbgp8ZC0NVn,CG_3dVV5daI3GYd8KD,Generated,GeneratedInvite,2020-06-25 10:58:24,2020-08-24 10:58:23,Individual,SV_1MKtxtk2owJjOol
,False,2023-05-02 00:11:56.931,2022-12-08 12:48:07,,,,,,,,2022-12-08 05:53:39,puppydev,UR_cYdNGsrFUemlDbD,,CGC_kKkUtjVs3mFxeAK,UR_cYdNGsrFUemlDbD,CG_OI48zJxTuMsKUq5,,Generated,GeneratedInvite,2022-12-08 12:48:07,2022-12-09 12:48:07,Individual,SV_6Jcja72TpOiHjdX
,False,2023-05-02 00:34:44.169,2022-04-06 12:16:14,,,,,,,,2022-04-06 06:16:14,puppydev,UR_cYdNGsrFUemlDbD,,,UR_cYdNGsrFUemlDbD,CG_6nYnmPWONC4JziN,,Generated,GeneratedInvite,2022-04-06 12:16:14,2022-06-05 12:16:14,Individual,SV_djzINkbJIFJUs05
,False,2023-05-02 00:34:44.169,2022-04-06 11:27:16,noreply@qemailserver.com,Developers,developers@puppy.com,Test Survey,,,,2022-04-06 05:29:56,puppydev,UR_cYdNGsrFUemlDbD,,,,,,Done,TestEmail,2022-04-06 11:27:16,,,SV_djzINkbJIFJUs05
1,False,2023-05-02 00:00:00.000,2021-03-01 00:00:00,noreply@QemailServEr.com1,DevElopers,devElopers@puppy.com5,Test8 SurvEy3,vAL6,Val3,vAl6,2021-04-13 00:00:00,Puppydev,UR_cYdNGsrFUemLDbD,Val,CGC_kKkUtjVs3mfxeAK,uR_cYDNGsrFUemlDbD,CG_OI48zJXTuMsKUq52,CG_3dVV5daI3GYD1Kd0,GeNerated,generatedInvite0,2021-04-10 00:00:00,2022-06-03 00:00:00,IndiVIduAl5,SV_1mKtxtk2owJjool
2,False,2023-05-02 00:00:00.000,2021-03-19 00:00:00,norepLy@QemailservEr.cOm18,DEVElopers,DevElopers@puppy.com58,test Survey5,vAl6,Val35,vAL6,2021-07-28 00:00:00,puppYdev,Ur_cYdNGsrFUemlDbD,vAL8,CGC_kKkUtJVs3mfxeaK3,UR_cYdNGsrFuemlDbD,CG_2B4IIbgp8ZC0Nvn4,cG_3dVV5daI3GYD8KD0,gEnerateD0,GeNeratEDInvite,2020-08-24 00:00:00,2022-05-20 00:00:00,IndivIdual,SV_6Jcja71TpOIHjdX7
3,False,2023-05-02 00:00:00.000,2022-04-05 00:00:00,noReply@qemailServer.com,DEVeLopers,developers@puppy.com1,Test5 SurvEy2,vaL60,VAl3,vAl6,2021-06-05 00:00:00,puPpYdeV1,uR_cYdNGsrFUemLDbD,val,CGC_kKkUtjVs3MFxeAK4,UR_cYdNGsrfUemlDbD,CG_6NYnMPWONC6JziN8,CG_3dvV5daI3GyD1Kd0,Done8,GeneRatEDInvite2,2022-10-27 00:00:00,2020-11-17 00:00:00,Individual2,sV_1mKtxTk2owjjool4
4,False,2023-05-02 00:00:00.000,2021-11-03 00:00:00,noreply@qemailserver.coM1,DEvelOperS7,developErs@puppy.com1,TeSt6 SurvEy21,VaL6,Val758,val00,2022-01-31 00:00:00,pUPpYdeV10,UR_cYDNGsrFUemlDbD5,VAl,CGC_kKkUtjVs3MFxeAK2,UR_cYdNGsrfUemlDbD1,CG3_OI48zJxTuMsKUq52,CG_3dvV3daI3GYD1Kd2,gEnerateD1,GeneraTedInvItE,2022-11-10 00:00:00,2022-11-12 00:00:00,IndIvidual3,sV_1mKTxTk2oWjjool45
5,False,2023-05-02 00:00:00.000,2022-03-30 00:00:00,noreply@qemailseRver.coM2,devEloPeRs,DevElopers@pupPy.com50,TeSt2 SurvEY24,VAl84,vAl39,val403,2022-01-26 00:00:00,puPPYdev3,Ur_cYdNGsrFUemlDbd,VAL7,CgC_kKkutjVs0MFxeAK48,UR_cYdNGsrFUeMlDbD,CG_OI48zJxTuMSKUq51,CG6_3dvv5daI3Gyd1Kd09,GEnerated9,generAtedinvitE06,2020-12-19 00:00:00,2021-08-08 00:00:00,IndividUaL2,sV_djzINkbJIFjUs073
